"datetime","estimatedALBConsumedLCUs"
"2022-03-16T00:05:00Z",0.14554
"2022-03-16T00:06:00Z",0.28199
"2022-03-16T00:07:00Z",0.0401
"2022-03-16T00:08:00Z",0.12008
"2022-03-16T00:09:00Z",0.25224
"2022-03-16T00:10:00Z",0.24531
"2022-03-16T00:11:00Z",0.18486
"2022-03-16T00:12:00Z",0.38798
"2022-03-16T00:13:00Z",0.33364
"2022-03-16T00:14:00Z",0.17887
"2022-03-16T00:15:00Z",0.37569
"2022-03-16T00:16:00Z",0.37932
"2022-03-16T00:17:00Z",0.13402
"2022-03-16T00:18:00Z",0.28887
"2022-03-16T00:19:00Z",0.38931
"2022-03-16T00:20:00Z",0.16099
"2022-03-16T00:21:00Z",0.17174
"2022-03-16T00:22:00Z",0.38754
"2022-03-16T00:23:00Z",0.32532
"2022-03-16T00:24:00Z",0.18336
"2022-03-16T00:25:00Z",0.38522
"2022-03-16T00:26:00Z",0.38993
"2022-03-16T00:27:00Z",0.23326
"2022-03-16T00:28:00Z",0.33391
"2022-03-16T00:29:00Z",0.38663
"2022-03-16T00:30:00Z",0.32649
"2022-03-16T00:31:00Z",0.24242
"2022-03-16T00:32:00Z",0.38665
"2022-03-16T00:33:00Z",0.32641
"2022-03-16T00:34:00Z",0.17943
"2022-03-16T00:35:00Z",0.37672
"2022-03-16T00:36:00Z",0.33368
"2022-03-16T00:37:00Z",0.18762
"2022-03-16T00:38:00Z",0.39418
"2022-03-16T00:39:00Z",0.38392
"2022-03-16T00:40:00Z",0.26403
"2022-03-16T00:41:00Z",0.1409
"2022-03-16T00:42:00Z",0.29513
"2022-03-16T00:43:00Z",0.3679
"2022-03-16T00:44:00Z",0.3684
"2022-03-16T00:45:00Z",0.37205
"2022-03-16T00:46:00Z",0.36814
"2022-03-16T00:47:00Z",0.31475
"2022-03-16T00:48:00Z",0.18332
"2022-03-16T00:49:00Z",0.38504
"2022-03-16T00:50:00Z",0.38601
"2022-03-16T00:51:00Z",0.38405
"2022-03-16T00:52:00Z",0.39062
"2022-03-16T00:53:00Z",0.33356
"2022-03-16T00:54:00Z",0.18264
"2022-03-16T00:55:00Z",0.38335
"2022-03-16T00:56:00Z",0.37972
"2022-03-16T00:57:00Z",0.3807
"2022-03-16T00:58:00Z",0.32754
"2022-03-16T00:59:00Z",0.32549
"2022-03-16T01:00:00Z",0.37886
"2022-03-16T01:01:00Z",0.37886
"2022-03-16T01:02:00Z",0.37354
"2022-03-16T01:03:00Z",0.37837
"2022-03-16T01:04:00Z",0.37804
"2022-03-16T01:05:00Z",0.3288
"2022-03-16T01:06:00Z",0.14385
"2022-03-16T01:07:00Z",0.00031
"2022-03-16T01:08:00Z",0.052
"2022-03-16T01:09:00Z",0.10689
"2022-03-16T01:10:00Z",0.15097
"2022-03-16T01:11:00Z",0.16418
"2022-03-16T01:12:00Z",0.23174
"2022-03-16T01:13:00Z",0.25013
"2022-03-16T01:14:00Z",0.25984
"2022-03-16T01:15:00Z",0.3172
"2022-03-16T01:16:00Z",0.37334
"2022-03-16T01:17:00Z",0.36774
"2022-03-16T01:18:00Z",0.3744
"2022-03-16T01:19:00Z",0.36871
"2022-03-16T01:20:00Z",0.37046
"2022-03-16T01:21:00Z",0.36739
"2022-03-16T01:22:00Z",0.35874
"2022-03-16T01:23:00Z",0.3393
"2022-03-16T01:24:00Z",0.18401
"2022-03-16T01:25:00Z",0.00032
"2022-03-16T01:26:00Z",0.03847
"2022-03-16T01:27:00Z",0.07881
"2022-03-16T01:28:00Z",0.14793
"2022-03-16T01:29:00Z",0.17696
"2022-03-16T01:30:00Z",0.23054
"2022-03-16T01:31:00Z",0.25219
"2022-03-16T01:32:00Z",0.30997
"2022-03-16T01:33:00Z",0.34855
"2022-03-16T01:34:00Z",0.35125
"2022-03-16T01:35:00Z",0.34864
"2022-03-16T01:36:00Z",0.35266
"2022-03-16T01:37:00Z",0.33974
"2022-03-16T01:38:00Z",0.34686
"2022-03-16T01:39:00Z",0.34231
"2022-03-16T01:40:00Z",0.35887
"2022-03-16T01:41:00Z",0.3607
"2022-03-16T01:42:00Z",0.25902
"2022-03-16T01:43:00Z",0.00036
"2022-03-16T01:44:00Z",0.0285
"2022-03-16T01:45:00Z",0.06058
"2022-03-16T01:46:00Z",0.12613
"2022-03-16T01:47:00Z",0.13588
"2022-03-16T01:48:00Z",0.19693
"2022-03-16T01:49:00Z",0.25686
"2022-03-16T01:50:00Z",0.24472
"2022-03-16T01:51:00Z",0.24019
"2022-03-16T01:52:00Z",0.36782
"2022-03-16T01:53:00Z",0.3685
"2022-03-16T01:54:00Z",0.35551
"2022-03-16T01:55:00Z",0.36942
"2022-03-16T01:56:00Z",0.37761
"2022-03-16T01:57:00Z",0.35699
"2022-03-16T01:58:00Z",0.36181
"2022-03-16T01:59:00Z",0.36164
"2022-03-16T02:00:00Z",0.28517
"2022-03-16T02:01:00Z",0.00033
