"datetime","estimatedALBActiveConnectionCount"
"2022-03-16T07:10:00Z",11
"2022-03-16T07:11:00Z",10
"2022-03-16T07:12:00Z",11.5
"2022-03-16T07:13:00Z",19.5
"2022-03-16T07:14:00Z",17.5
"2022-03-16T07:15:00Z",20.5
"2022-03-16T07:16:00Z",15.5
"2022-03-16T07:17:00Z",7.5
"2022-03-16T07:18:00Z",16.5
"2022-03-16T07:19:00Z",16.5
"2022-03-16T07:20:00Z",16.5
"2022-03-16T07:21:00Z",26
"2022-03-16T07:22:00Z",17
"2022-03-16T07:23:00Z",17
"2022-03-16T07:24:00Z",17
"2022-03-16T07:25:00Z",17
"2022-03-16T07:26:00Z",28.5
"2022-03-16T07:27:00Z",18.5
"2022-03-16T07:28:00Z",18.5
"2022-03-16T07:29:00Z",30
"2022-03-16T07:30:00Z",7.5
"2022-03-16T07:31:00Z",18.5
"2022-03-16T07:32:00Z",19.5
"2022-03-16T07:33:00Z",19.5
"2022-03-16T07:34:00Z",31.5
"2022-03-16T07:35:00Z",19.5
"2022-03-16T07:36:00Z",19.5
"2022-03-16T07:37:00Z",20.5
"2022-03-16T07:38:00Z",8
"2022-03-16T07:39:00Z",20
"2022-03-16T07:40:00Z",21.5
"2022-03-16T07:41:00Z",32.5
"2022-03-16T07:42:00Z",20.5
"2022-03-16T07:43:00Z",32.5
"2022-03-16T07:44:00Z",31.5
"2022-03-16T07:45:00Z",20
"2022-03-16T07:46:00Z",19.5
"2022-03-16T07:47:00Z",32.5
"2022-03-16T07:48:00Z",32.5
"2022-03-16T07:49:00Z",32.5
"2022-03-16T07:50:00Z",33
"2022-03-16T07:51:00Z",20.5
"2022-03-16T07:52:00Z",19.5
"2022-03-16T07:53:00Z",32.5
"2022-03-16T07:54:00Z",32.5
"2022-03-16T07:55:00Z",32.5
"2022-03-16T07:56:00Z",32.5
"2022-03-16T07:57:00Z",20.5
"2022-03-16T07:58:00Z",19.5
"2022-03-16T07:59:00Z",32.5
"2022-03-16T08:00:00Z",32.5
"2022-03-16T08:01:00Z",32.5
"2022-03-16T08:02:00Z",32.5
"2022-03-16T08:03:00Z",20.5
"2022-03-16T08:04:00Z",6.5
"2022-03-16T08:05:00Z",4.5
"2022-03-16T08:06:00Z",3.5
"2022-03-16T08:07:00Z",15.5
"2022-03-16T08:08:00Z",29.5
"2022-03-16T08:09:00Z",30
"2022-03-16T08:10:00Z",33.5
"2022-03-16T08:11:00Z",33
"2022-03-16T08:12:00Z",21
"2022-03-16T08:13:00Z",32.5
"2022-03-16T08:14:00Z",20.5
"2022-03-16T08:15:00Z",32.5
"2022-03-16T08:16:00Z",31.5
"2022-03-16T08:17:00Z",32.5
"2022-03-16T08:18:00Z",34
"2022-03-16T08:19:00Z",32
"2022-03-16T08:20:00Z",33.5
"2022-03-16T08:21:00Z",31.5
"2022-03-16T08:22:00Z",20.5
"2022-03-16T08:23:00Z",6.5
"2022-03-16T08:24:00Z",4.5
"2022-03-16T08:25:00Z",3.5
"2022-03-16T08:26:00Z",16.5
"2022-03-16T08:27:00Z",27.5
"2022-03-16T08:28:00Z",29.5
"2022-03-16T08:29:00Z",29.5
"2022-03-16T08:30:00Z",32.5
"2022-03-16T08:31:00Z",32.5
"2022-03-16T08:32:00Z",33.5
"2022-03-16T08:33:00Z",31.5
"2022-03-16T08:34:00Z",33.5
"2022-03-16T08:35:00Z",32.5
"2022-03-16T08:36:00Z",32.5
"2022-03-16T08:37:00Z",32.5
"2022-03-16T08:38:00Z",32.5
"2022-03-16T08:39:00Z",33
"2022-03-16T08:40:00Z",20
"2022-03-16T08:41:00Z",7
"2022-03-16T08:42:00Z",5.5
"2022-03-16T08:43:00Z",4
"2022-03-16T08:44:00Z",16.5
"2022-03-16T08:45:00Z",28.5
"2022-03-16T08:46:00Z",27.5
"2022-03-16T08:47:00Z",30.5
"2022-03-16T08:48:00Z",32.5
"2022-03-16T08:49:00Z",33.5
"2022-03-16T08:50:00Z",32.5
"2022-03-16T08:51:00Z",19.5
"2022-03-16T08:52:00Z",32.5
"2022-03-16T08:53:00Z",19.5
"2022-03-16T08:54:00Z",33.5
"2022-03-16T08:55:00Z",31.5
"2022-03-16T08:56:00Z",33.5
"2022-03-16T08:57:00Z",31.5
"2022-03-16T08:58:00Z",32.5
"2022-03-16T08:59:00Z",20.5
"2022-03-16T09:00:00Z",7.5
"2022-03-16T09:01:00Z",7
