"datetime","estimatedProcessedBytes"
"2022-03-16T07:10:00Z",16124968
"2022-03-16T07:11:00Z",37164164
"2022-03-16T07:12:00Z",21211418
"2022-03-16T07:13:00Z",32519064
"2022-03-16T07:14:00Z",41902084
"2022-03-16T07:15:00Z",36555651
"2022-03-16T07:16:00Z",79805270
"2022-03-16T07:17:00Z",48156126
"2022-03-16T07:18:00Z",70306817
"2022-03-16T07:19:00Z",116148619
"2022-03-16T07:20:00Z",59506516
"2022-03-16T07:21:00Z",100054164
"2022-03-16T07:22:00Z",96916157
"2022-03-16T07:23:00Z",58097878
"2022-03-16T07:24:00Z",97650087
"2022-03-16T07:25:00Z",47944781
"2022-03-16T07:26:00Z",77307245
"2022-03-16T07:27:00Z",100297195
"2022-03-16T07:28:00Z",62602917
"2022-03-16T07:29:00Z",124049853
"2022-03-16T07:30:00Z",83122476
"2022-03-16T07:31:00Z",68912271
"2022-03-16T07:32:00Z",115683730
"2022-03-16T07:33:00Z",60002382
"2022-03-16T07:34:00Z",103246910
"2022-03-16T07:35:00Z",99953876
"2022-03-16T07:36:00Z",68946113
"2022-03-16T07:37:00Z",130068511
"2022-03-16T07:38:00Z",64795774
"2022-03-16T07:39:00Z",1207843
"2022-03-16T07:40:00Z",86972638
"2022-03-16T07:41:00Z",144640994
"2022-03-16T07:42:00Z",152075272
"2022-03-16T07:43:00Z",142546282
"2022-03-16T07:44:00Z",151626748
"2022-03-16T07:45:00Z",87808151
"2022-03-16T07:46:00Z",64920348
"2022-03-16T07:47:00Z",151093452
"2022-03-16T07:48:00Z",169219472
"2022-03-16T07:49:00Z",169930686
"2022-03-16T07:50:00Z",168722560
"2022-03-16T07:51:00Z",111982201
"2022-03-16T07:52:00Z",62420574
"2022-03-16T07:53:00Z",134516042
"2022-03-16T07:54:00Z",161110717
"2022-03-16T07:55:00Z",161535976
"2022-03-16T07:56:00Z",160186881
"2022-03-16T07:57:00Z",115500243
"2022-03-16T07:58:00Z",67339787
"2022-03-16T07:59:00Z",130747498
"2022-03-16T08:00:00Z",156384699
"2022-03-16T08:01:00Z",163017827
"2022-03-16T08:02:00Z",164148912
"2022-03-16T08:03:00Z",121196745
"2022-03-16T08:04:00Z",33014261
"2022-03-16T08:05:00Z",2120
"2022-03-16T08:06:00Z",1706
"2022-03-16T08:07:00Z",4245137
"2022-03-16T08:08:00Z",29207597
"2022-03-16T08:09:00Z",52719698
"2022-03-16T08:10:00Z",55287382
"2022-03-16T08:11:00Z",96400024
"2022-03-16T08:12:00Z",106124169
"2022-03-16T08:13:00Z",113237468
"2022-03-16T08:14:00Z",149204299
"2022-03-16T08:15:00Z",166247348
"2022-03-16T08:16:00Z",152790805
"2022-03-16T08:17:00Z",155762448
"2022-03-16T08:18:00Z",165713679
"2022-03-16T08:19:00Z",156152157
"2022-03-16T08:20:00Z",164532603
"2022-03-16T08:21:00Z",162631169
"2022-03-16T08:22:00Z",113032834
"2022-03-16T08:23:00Z",28487597
"2022-03-16T08:24:00Z",1818
"2022-03-16T08:25:00Z",1706
"2022-03-16T08:26:00Z",22908065
"2022-03-16T08:27:00Z",46656632
"2022-03-16T08:28:00Z",60096264
"2022-03-16T08:29:00Z",56555858
"2022-03-16T08:30:00Z",67884301
"2022-03-16T08:31:00Z",101353266
"2022-03-16T08:32:00Z",108538186
"2022-03-16T08:33:00Z",117481095
"2022-03-16T08:34:00Z",141511280
"2022-03-16T08:35:00Z",155900040
"2022-03-16T08:36:00Z",157069031
"2022-03-16T08:37:00Z",162280450
"2022-03-16T08:38:00Z",154656447
"2022-03-16T08:39:00Z",155448845
"2022-03-16T08:40:00Z",154974532
"2022-03-16T08:41:00Z",70022220
"2022-03-16T08:42:00Z",4868
"2022-03-16T08:43:00Z",1888
"2022-03-16T08:44:00Z",8595416
"2022-03-16T08:45:00Z",34028127
"2022-03-16T08:46:00Z",52947975
"2022-03-16T08:47:00Z",59989881
"2022-03-16T08:48:00Z",95544154
"2022-03-16T08:49:00Z",115153547
"2022-03-16T08:50:00Z",143771947
"2022-03-16T08:51:00Z",134753524
"2022-03-16T08:52:00Z",160382698
"2022-03-16T08:53:00Z",168475909
"2022-03-16T08:54:00Z",157455968
"2022-03-16T08:55:00Z",155814244
"2022-03-16T08:56:00Z",168492621
"2022-03-16T08:57:00Z",147268183
"2022-03-16T08:58:00Z",146738644
"2022-03-16T08:59:00Z",105159993
"2022-03-16T09:00:00Z",22899285
"2022-03-16T09:01:00Z",1490
