"datetime","estimatedProcessedBytes"
"2022-03-16T21:00:00Z",9793669
"2022-03-16T21:01:00Z",211495953
"2022-03-16T21:02:00Z",266355058
"2022-03-16T21:03:00Z",53281161
"2022-03-16T21:04:00Z",248416558
"2022-03-16T21:05:00Z",218388058
"2022-03-16T21:06:00Z",165997286
"2022-03-16T21:07:00Z",320449163
"2022-03-16T21:08:00Z",511868614
"2022-03-16T21:09:00Z",243954878
"2022-03-16T21:10:00Z",281276803
"2022-03-16T21:11:00Z",690654739
"2022-03-16T21:12:00Z",491986839
"2022-03-16T21:13:00Z",278443775
"2022-03-16T21:14:00Z",663635393
"2022-03-16T21:15:00Z",582258072
"2022-03-16T21:16:00Z",163030885
"2022-03-16T21:17:00Z",433365926
"2022-03-16T21:18:00Z",726143802
"2022-03-16T21:19:00Z",408364091
"2022-03-16T21:20:00Z",234630271
"2022-03-16T21:21:00Z",745568284
"2022-03-16T21:22:00Z",615704877
"2022-03-16T21:23:00Z",70693785
"2022-03-16T21:24:00Z",707307208
"2022-03-16T21:25:00Z",743376546
"2022-03-16T21:26:00Z",88962356
"2022-03-16T21:27:00Z",566771336
"2022-03-16T21:28:00Z",743362477
"2022-03-16T21:29:00Z",288656816
"2022-03-16T21:30:00Z",375795509
"2022-03-16T21:31:00Z",740418633
"2022-03-16T21:32:00Z",496615942
"2022-03-16T21:33:00Z",151448994
"2022-03-16T21:34:00Z",741850788
"2022-03-16T21:35:00Z",663705126
"2022-03-16T21:36:00Z",35384544
"2022-03-16T21:37:00Z",8855850
"2022-03-16T21:38:00Z",649622734
"2022-03-16T21:39:00Z",701109030
"2022-03-16T21:40:00Z",696122331
"2022-03-16T21:41:00Z",702846255
"2022-03-16T21:42:00Z",701262354
"2022-03-16T21:43:00Z",236134825
"2022-03-16T21:44:00Z",448923161
"2022-03-16T21:45:00Z",726757366
"2022-03-16T21:46:00Z",734970645
"2022-03-16T21:47:00Z",721497013
"2022-03-16T21:48:00Z",731980288
"2022-03-16T21:49:00Z",272673082
"2022-03-16T21:50:00Z",385989303
"2022-03-16T21:51:00Z",745701351
"2022-03-16T21:52:00Z",742434857
"2022-03-16T21:53:00Z",744856068
"2022-03-16T21:54:00Z",737050111
"2022-03-16T21:55:00Z",359519269
"2022-03-16T21:56:00Z",311846123
"2022-03-16T21:57:00Z",741791012
"2022-03-16T21:58:00Z",761636770
"2022-03-16T21:59:00Z",748376830
"2022-03-16T22:00:00Z",740844970
"2022-03-16T22:01:00Z",431151874
"2022-03-16T22:02:00Z",2264
"2022-03-16T22:03:00Z",1742
"2022-03-16T22:04:00Z",8562680
"2022-03-16T22:05:00Z",213880633
"2022-03-16T22:06:00Z",282861217
"2022-03-16T22:07:00Z",371321144
"2022-03-16T22:08:00Z",510123127
"2022-03-16T22:09:00Z",501510024
"2022-03-16T22:10:00Z",589948099
"2022-03-16T22:11:00Z",707102142
"2022-03-16T22:12:00Z",720294077
"2022-03-16T22:13:00Z",710305007
"2022-03-16T22:14:00Z",725672352
"2022-03-16T22:15:00Z",713453374
"2022-03-16T22:16:00Z",723282860
"2022-03-16T22:17:00Z",720025895
"2022-03-16T22:18:00Z",712453526
"2022-03-16T22:19:00Z",573408648
"2022-03-16T22:20:00Z",2288
"2022-03-16T22:21:00Z",2905
"2022-03-16T22:22:00Z",2885
"2022-03-16T22:23:00Z",197196840
"2022-03-16T22:24:00Z",267630467
"2022-03-16T22:25:00Z",285723344
"2022-03-16T22:26:00Z",361920797
"2022-03-16T22:27:00Z",473065499
"2022-03-16T22:28:00Z",501813910
"2022-03-16T22:29:00Z",580237634
"2022-03-16T22:30:00Z",703482951
"2022-03-16T22:31:00Z",706898892
"2022-03-16T22:32:00Z",718324723
"2022-03-16T22:33:00Z",726677776
"2022-03-16T22:34:00Z",712487134
"2022-03-16T22:35:00Z",711646605
"2022-03-16T22:36:00Z",718476148
"2022-03-16T22:37:00Z",651037624
"2022-03-16T22:38:00Z",7040051
"2022-03-16T22:39:00Z",2008
"2022-03-16T22:40:00Z",1632
"2022-03-16T22:41:00Z",150918139
"2022-03-16T22:42:00Z",268822010
"2022-03-16T22:43:00Z",287237363
"2022-03-16T22:44:00Z",279607154
"2022-03-16T22:45:00Z",274829433
"2022-03-16T22:46:00Z",358426411
"2022-03-16T22:47:00Z",483904731
"2022-03-16T22:48:00Z",508597434
"2022-03-16T22:49:00Z",503149822
"2022-03-16T22:50:00Z",522978009
"2022-03-16T22:51:00Z",655065707
"2022-03-16T22:52:00Z",719401693
"2022-03-16T22:53:00Z",709037410
"2022-03-16T22:54:00Z",708404518
"2022-03-16T22:55:00Z",696901374
"2022-03-16T22:56:00Z",58645575
"2022-03-16T22:57:00Z",2452
