"datetime","estimatedALBActiveConnectionCount"
"2022-03-17T00:16:00Z",3
"2022-03-17T00:17:00Z",3
"2022-03-17T00:18:00Z",3
"2022-03-17T00:19:00Z",3
"2022-03-17T00:20:00Z",7
"2022-03-17T00:21:00Z",37.5
"2022-03-17T00:22:00Z",69
"2022-03-17T00:23:00Z",38
"2022-03-17T00:24:00Z",40
"2022-03-17T00:25:00Z",68.5
"2022-03-17T00:26:00Z",24
"2022-03-17T00:27:00Z",8.75
"2022-03-17T00:28:00Z",40
"2022-03-17T00:29:00Z",40
"2022-03-17T00:30:00Z",9
"2022-03-17T00:31:00Z",40.5
"2022-03-17T00:32:00Z",39.5
"2022-03-17T00:33:00Z",9
"2022-03-17T00:34:00Z",9
"2022-03-17T00:35:00Z",41.25
"2022-03-17T00:36:00Z",40.75
"2022-03-17T00:37:00Z",11.25
"2022-03-17T00:38:00Z",37.6
"2022-03-17T00:39:00Z",35.8
"2022-03-17T00:40:00Z",30.5
"2022-03-17T00:41:00Z",30.666666666666668
"2022-03-17T00:42:00Z",8.833333333333334
"2022-03-17T00:43:00Z",15.833333333333334
"2022-03-17T00:44:00Z",29.666666666666668
"2022-03-17T00:45:00Z",30.833333333333332
"2022-03-17T00:46:00Z",8.833333333333334
"2022-03-17T00:47:00Z",31.5
"2022-03-17T00:48:00Z",31.666666666666668
"2022-03-17T00:49:00Z",8.166666666666666
"2022-03-17T00:50:00Z",5.833333333333333
"2022-03-17T00:51:00Z",24.875
"2022-03-17T00:52:00Z",25.25
"2022-03-17T00:53:00Z",8.571428571428571
"2022-03-17T00:54:00Z",32.666666666666664
"2022-03-17T00:55:00Z",31.833333333333332
"2022-03-17T00:56:00Z",20.333333333333332
"2022-03-17T00:57:00Z",8.666666666666666
"2022-03-17T00:58:00Z",20.5
"2022-03-17T00:59:00Z",32
"2022-03-17T01:00:00Z",28.666666666666668
"2022-03-17T01:01:00Z",31.333333333333332
"2022-03-17T01:02:00Z",32
"2022-03-17T01:03:00Z",31.333333333333332
"2022-03-17T01:04:00Z",9
"2022-03-17T01:05:00Z",45
"2022-03-17T01:06:00Z",45
"2022-03-17T01:07:00Z",44.75
"2022-03-17T01:08:00Z",43.5
"2022-03-17T01:09:00Z",44
"2022-03-17T01:10:00Z",9
"2022-03-17T01:11:00Z",44
"2022-03-17T01:12:00Z",43.25
"2022-03-17T01:13:00Z",44
"2022-03-17T01:14:00Z",81.5
"2022-03-17T01:15:00Z",79.5
"2022-03-17T01:16:00Z",12
"2022-03-17T01:17:00Z",79
"2022-03-17T01:18:00Z",78
"2022-03-17T01:19:00Z",77
"2022-03-17T01:20:00Z",76
"2022-03-17T01:21:00Z",79
"2022-03-17T01:22:00Z",6
"2022-03-17T01:23:00Z",4.5
"2022-03-17T01:24:00Z",4.5
"2022-03-17T01:25:00Z",23.5
"2022-03-17T01:26:00Z",74.5
"2022-03-17T01:27:00Z",73
"2022-03-17T01:28:00Z",74
"2022-03-17T01:29:00Z",74
"2022-03-17T01:30:00Z",73.5
"2022-03-17T01:31:00Z",113
"2022-03-17T01:32:00Z",77
"2022-03-17T01:33:00Z",76
"2022-03-17T01:34:00Z",78
"2022-03-17T01:35:00Z",78
"2022-03-17T01:36:00Z",77.5
"2022-03-17T01:37:00Z",77.5
"2022-03-17T01:38:00Z",77.5
"2022-03-17T01:39:00Z",77.5
"2022-03-17T01:40:00Z",4.5
"2022-03-17T01:41:00Z",3.5
"2022-03-17T01:42:00Z",4
"2022-03-17T01:43:00Z",74
"2022-03-17T01:44:00Z",74
"2022-03-17T01:45:00Z",74
"2022-03-17T01:46:00Z",73
"2022-03-17T01:47:00Z",74
"2022-03-17T01:48:00Z",131.5
"2022-03-17T01:49:00Z",95.5
"2022-03-17T01:50:00Z",76
"2022-03-17T01:51:00Z",77.5
"2022-03-17T01:52:00Z",77
"2022-03-17T01:53:00Z",78.5
"2022-03-17T01:54:00Z",79
"2022-03-17T01:55:00Z",78
"2022-03-17T01:56:00Z",77
"2022-03-17T01:57:00Z",7
"2022-03-17T01:58:00Z",4.5
"2022-03-17T01:59:00Z",4.5
"2022-03-17T02:00:00Z",76
"2022-03-17T02:01:00Z",74.5
"2022-03-17T02:02:00Z",74.5
"2022-03-17T02:03:00Z",73.5
"2022-03-17T02:04:00Z",73
"2022-03-17T02:05:00Z",74
"2022-03-17T02:06:00Z",112
"2022-03-17T02:07:00Z",112
"2022-03-17T02:08:00Z",75.5
"2022-03-17T02:09:00Z",78.5
"2022-03-17T02:10:00Z",76.5
"2022-03-17T02:11:00Z",74.5
"2022-03-17T02:12:00Z",74
"2022-03-17T02:13:00Z",78.5
"2022-03-17T02:14:00Z",43
"2022-03-17T02:15:00Z",8
"2022-03-17T02:16:00Z",8
