"datetime","estimatedProcessedBytes"
"2022-03-17T00:16:00Z",364
"2022-03-17T00:17:00Z",910
"2022-03-17T00:18:00Z",758
"2022-03-17T00:19:00Z",1008
"2022-03-17T00:20:00Z",5978
"2022-03-17T00:21:00Z",451200162
"2022-03-17T00:22:00Z",1190554025
"2022-03-17T00:23:00Z",870153316
"2022-03-17T00:24:00Z",429220097
"2022-03-17T00:25:00Z",1005191185
"2022-03-17T00:26:00Z",1045940758
"2022-03-17T00:27:00Z",333995472
"2022-03-17T00:28:00Z",321849372
"2022-03-17T00:29:00Z",748582788
"2022-03-17T00:30:00Z",534108889
"2022-03-17T00:31:00Z",131335174
"2022-03-17T00:32:00Z",746791862
"2022-03-17T00:33:00Z",738609009
"2022-03-17T00:34:00Z",10016
"2022-03-17T00:35:00Z",671740589
"2022-03-17T00:36:00Z",218621517
"2022-03-17T00:37:00Z",195374090
"2022-03-17T00:38:00Z",476287659
"2022-03-17T00:39:00Z",747413971
"2022-03-17T00:40:00Z",677604681
"2022-03-17T00:41:00Z",1231550473
"2022-03-17T00:42:00Z",1140796506
"2022-03-17T00:43:00Z",40695
"2022-03-17T00:44:00Z",1171205570
"2022-03-17T00:45:00Z",1244786894
"2022-03-17T00:46:00Z",273728530
"2022-03-17T00:47:00Z",839569097
"2022-03-17T00:48:00Z",1244722664
"2022-03-17T00:49:00Z",581574339
"2022-03-17T00:50:00Z",11736
"2022-03-17T00:51:00Z",790057976
"2022-03-17T00:52:00Z",1488113524
"2022-03-17T00:53:00Z",946157057
"2022-03-17T00:54:00Z",379120379
"2022-03-17T00:55:00Z",1515335253
"2022-03-17T00:56:00Z",1361985584
"2022-03-17T00:57:00Z",8008700
"2022-03-17T00:58:00Z",14178471
"2022-03-17T00:59:00Z",1359024777
"2022-03-17T01:00:00Z",1485188532
"2022-03-17T01:01:00Z",1487751036
"2022-03-17T01:02:00Z",1490006557
"2022-03-17T01:03:00Z",1488486022
"2022-03-17T01:04:00Z",208673321
"2022-03-17T01:05:00Z",1134905779
"2022-03-17T01:06:00Z",1492902301
"2022-03-17T01:07:00Z",1512392750
"2022-03-17T01:08:00Z",1511127699
"2022-03-17T01:09:00Z",1511048001
"2022-03-17T01:10:00Z",358226876
"2022-03-17T01:11:00Z",978675015
"2022-03-17T01:12:00Z",1512340596
"2022-03-17T01:13:00Z",1507522212
"2022-03-17T01:14:00Z",1512851275
"2022-03-17T01:15:00Z",1498896096
"2022-03-17T01:16:00Z",517933517
"2022-03-17T01:17:00Z",822586183
"2022-03-17T01:18:00Z",1443730441
"2022-03-17T01:19:00Z",1501535931
"2022-03-17T01:20:00Z",1489374094
"2022-03-17T01:21:00Z",1495180119
"2022-03-17T01:22:00Z",672478169
"2022-03-17T01:23:00Z",8126
"2022-03-17T01:24:00Z",3574
"2022-03-17T01:25:00Z",15177
"2022-03-17T01:26:00Z",582514272
"2022-03-17T01:27:00Z",646668204
"2022-03-17T01:28:00Z",655637973
"2022-03-17T01:29:00Z",645670045
"2022-03-17T01:30:00Z",629672126
"2022-03-17T01:31:00Z",826656288
"2022-03-17T01:32:00Z",1332209624
"2022-03-17T01:33:00Z",1327982043
"2022-03-17T01:34:00Z",1338133445
"2022-03-17T01:35:00Z",1331864949
"2022-03-17T01:36:00Z",1306293241
"2022-03-17T01:37:00Z",1321366304
"2022-03-17T01:38:00Z",1395337165
"2022-03-17T01:39:00Z",1390214929
"2022-03-17T01:40:00Z",422120594
"2022-03-17T01:41:00Z",3400
"2022-03-17T01:42:00Z",3862
"2022-03-17T01:43:00Z",291152158
"2022-03-17T01:44:00Z",536996666
"2022-03-17T01:45:00Z",544611744
"2022-03-17T01:46:00Z",545136823
"2022-03-17T01:47:00Z",545163862
"2022-03-17T01:48:00Z",541318031
"2022-03-17T01:49:00Z",1282996653
"2022-03-17T01:50:00Z",1309018374
"2022-03-17T01:51:00Z",1306873334
"2022-03-17T01:52:00Z",1314305687
"2022-03-17T01:53:00Z",1313250662
"2022-03-17T01:54:00Z",1324372553
"2022-03-17T01:55:00Z",1427699268
"2022-03-17T01:56:00Z",1465965220
"2022-03-17T01:57:00Z",924440516
"2022-03-17T01:58:00Z",3546
"2022-03-17T01:59:00Z",3398
"2022-03-17T02:00:00Z",123638943
"2022-03-17T02:01:00Z",566120777
"2022-03-17T02:02:00Z",573037220
"2022-03-17T02:03:00Z",572978836
"2022-03-17T02:04:00Z",568635175
"2022-03-17T02:05:00Z",570264012
"2022-03-17T02:06:00Z",589283898
"2022-03-17T02:07:00Z",644334382
"2022-03-17T02:08:00Z",1217347432
"2022-03-17T02:09:00Z",1275469886
"2022-03-17T02:10:00Z",1269199651
"2022-03-17T02:11:00Z",1271189642
"2022-03-17T02:12:00Z",1348234737
"2022-03-17T02:13:00Z",1390868727
"2022-03-17T02:14:00Z",1394945734
"2022-03-17T02:15:00Z",106450357
"2022-03-17T02:16:00Z",5074
