"datetime","estimatedALBActiveConnectionCount"
"2022-03-17T04:15:00Z",3
"2022-03-17T04:16:00Z",19
"2022-03-17T04:17:00Z",3
"2022-03-17T04:18:00Z",15
"2022-03-17T04:19:00Z",24
"2022-03-17T04:20:00Z",7.5
"2022-03-17T04:21:00Z",25
"2022-03-17T04:22:00Z",25
"2022-03-17T04:23:00Z",7
"2022-03-17T04:24:00Z",26.5
"2022-03-17T04:25:00Z",7.5
"2022-03-17T04:26:00Z",27.5
"2022-03-17T04:27:00Z",27.5
"2022-03-17T04:28:00Z",7.5
"2022-03-17T04:29:00Z",28.5
"2022-03-17T04:30:00Z",7.5
"2022-03-17T04:31:00Z",7.5
"2022-03-17T04:32:00Z",29.5
"2022-03-17T04:33:00Z",7.5
"2022-03-17T04:34:00Z",31
"2022-03-17T04:35:00Z",31
"2022-03-17T04:36:00Z",8
"2022-03-17T04:37:00Z",32
"2022-03-17T04:38:00Z",8
"2022-03-17T04:39:00Z",33
"2022-03-17T04:40:00Z",33
"2022-03-17T04:41:00Z",8
"2022-03-17T04:42:00Z",7.5
"2022-03-17T04:43:00Z",32.5
"2022-03-17T04:44:00Z",32.5
"2022-03-17T04:45:00Z",32.5
"2022-03-17T04:46:00Z",32.5
"2022-03-17T04:47:00Z",32
"2022-03-17T04:48:00Z",7
"2022-03-17T04:49:00Z",32
"2022-03-17T04:50:00Z",32
"2022-03-17T04:51:00Z",32
"2022-03-17T04:52:00Z",32.5
"2022-03-17T04:53:00Z",32.5
"2022-03-17T04:54:00Z",7.5
"2022-03-17T04:55:00Z",32.5
"2022-03-17T04:56:00Z",32.5
"2022-03-17T04:57:00Z",32.5
"2022-03-17T04:58:00Z",32.5
"2022-03-17T04:59:00Z",32.5
"2022-03-17T05:00:00Z",7.5
"2022-03-17T05:01:00Z",19.5
"2022-03-17T05:02:00Z",32.5
"2022-03-17T05:03:00Z",32.5
"2022-03-17T05:04:00Z",32.5
"2022-03-17T05:05:00Z",32.5
"2022-03-17T05:06:00Z",20.5
"2022-03-17T05:07:00Z",5.5
"2022-03-17T05:08:00Z",4
"2022-03-17T05:09:00Z",4
"2022-03-17T05:10:00Z",29
"2022-03-17T05:11:00Z",29
"2022-03-17T05:12:00Z",29
"2022-03-17T05:13:00Z",33
"2022-03-17T05:14:00Z",33
"2022-03-17T05:15:00Z",32.5
"2022-03-17T05:16:00Z",32.5
"2022-03-17T05:17:00Z",32.5
"2022-03-17T05:18:00Z",32
"2022-03-17T05:19:00Z",23
"2022-03-17T05:20:00Z",33
"2022-03-17T05:21:00Z",19
"2022-03-17T05:22:00Z",32
"2022-03-17T05:23:00Z",32.5
"2022-03-17T05:24:00Z",32
"2022-03-17T05:25:00Z",5.5
"2022-03-17T05:26:00Z",3.5
"2022-03-17T05:27:00Z",3.5
"2022-03-17T05:28:00Z",28.5
"2022-03-17T05:29:00Z",28.5
"2022-03-17T05:30:00Z",28.5
"2022-03-17T05:31:00Z",33.5
"2022-03-17T05:32:00Z",32.5
"2022-03-17T05:33:00Z",32.5
"2022-03-17T05:34:00Z",32.5
"2022-03-17T05:35:00Z",19.5
"2022-03-17T05:36:00Z",20.5
"2022-03-17T05:37:00Z",32.5
"2022-03-17T05:38:00Z",33
"2022-03-17T05:39:00Z",33
"2022-03-17T05:40:00Z",33
"2022-03-17T05:41:00Z",33
"2022-03-17T05:42:00Z",33
"2022-03-17T05:43:00Z",7.5
"2022-03-17T05:44:00Z",4
"2022-03-17T05:45:00Z",4
"2022-03-17T05:46:00Z",29
"2022-03-17T05:47:00Z",29
"2022-03-17T05:48:00Z",29
"2022-03-17T05:49:00Z",29
"2022-03-17T05:50:00Z",15.5
"2022-03-17T05:51:00Z",20.5
"2022-03-17T05:52:00Z",32.5
"2022-03-17T05:53:00Z",32.5
"2022-03-17T05:54:00Z",32.5
"2022-03-17T05:55:00Z",32.5
"2022-03-17T05:56:00Z",32
"2022-03-17T05:57:00Z",32
"2022-03-17T05:58:00Z",32
"2022-03-17T05:59:00Z",32
"2022-03-17T06:00:00Z",32.5
"2022-03-17T06:01:00Z",7.5
"2022-03-17T06:02:00Z",7
"2022-03-17T06:03:00Z",7
