"datetime","estimatedALBConsumedLCUs"
"2022-03-17T04:15:00Z",0.01285
"2022-03-17T04:16:00Z",0.01608
"2022-03-17T04:17:00Z",0.02601
"2022-03-17T04:18:00Z",0.00183
"2022-03-17T04:19:00Z",0.0469
"2022-03-17T04:20:00Z",0.02521
"2022-03-17T04:21:00Z",0.02353
"2022-03-17T04:22:00Z",0.06645
"2022-03-17T04:23:00Z",0.00944
"2022-03-17T04:24:00Z",0.05426
"2022-03-17T04:25:00Z",0.04528
"2022-03-17T04:26:00Z",0.01466
"2022-03-17T04:27:00Z",0.0699
"2022-03-17T04:28:00Z",0.02505
"2022-03-17T04:29:00Z",0.03947
"2022-03-17T04:30:00Z",0.06611
"2022-03-17T04:31:00Z",0.00034
"2022-03-17T04:32:00Z",0.06706
"2022-03-17T04:33:00Z",0.03858
"2022-03-17T04:34:00Z",0.02504
"2022-03-17T04:35:00Z",0.07274
"2022-03-17T04:36:00Z",0.01407
"2022-03-17T04:37:00Z",0.0525
"2022-03-17T04:38:00Z",0.06078
"2022-03-17T04:39:00Z",0.01065
"2022-03-17T04:40:00Z",0.07229
"2022-03-17T04:41:00Z",0.03142
"2022-03-17T04:42:00Z",0.00083
"2022-03-17T04:43:00Z",0.037
"2022-03-17T04:44:00Z",0.07193
"2022-03-17T04:45:00Z",0.06879
"2022-03-17T04:46:00Z",0.06665
"2022-03-17T04:47:00Z",0.07161
"2022-03-17T04:48:00Z",0.05643
"2022-03-17T04:49:00Z",0.01681
"2022-03-17T04:50:00Z",0.07541
"2022-03-17T04:51:00Z",0.07774
"2022-03-17T04:52:00Z",0.07931
"2022-03-17T04:53:00Z",0.07931
"2022-03-17T04:54:00Z",0.06581
"2022-03-17T04:55:00Z",0.00923
"2022-03-17T04:56:00Z",0.07287
"2022-03-17T04:57:00Z",0.07452
"2022-03-17T04:58:00Z",0.0744
"2022-03-17T04:59:00Z",0.07437
"2022-03-17T05:00:00Z",0.06558
"2022-03-17T05:01:00Z",0.00107
"2022-03-17T05:02:00Z",0.06708
"2022-03-17T05:03:00Z",0.069
"2022-03-17T05:04:00Z",0.06993
"2022-03-17T05:05:00Z",0.06917
"2022-03-17T05:06:00Z",0.06926
"2022-03-17T05:07:00Z",0.00358
"2022-03-17T05:08:00Z",0.00032
"2022-03-17T05:09:00Z",0.00044
"2022-03-17T05:10:00Z",0.01183
"2022-03-17T05:11:00Z",0.02298
"2022-03-17T05:12:00Z",0.02666
"2022-03-17T05:13:00Z",0.02763
"2022-03-17T05:14:00Z",0.03589
"2022-03-17T05:15:00Z",0.04947
"2022-03-17T05:16:00Z",0.05196
"2022-03-17T05:17:00Z",0.05644
"2022-03-17T05:18:00Z",0.07201
"2022-03-17T05:19:00Z",0.06956
"2022-03-17T05:20:00Z",0.07968
"2022-03-17T05:21:00Z",0.0782
"2022-03-17T05:22:00Z",0.08061
"2022-03-17T05:23:00Z",0.06338
"2022-03-17T05:24:00Z",0.0703
"2022-03-17T05:25:00Z",0.01624
"2022-03-17T05:26:00Z",0.00026
"2022-03-17T05:27:00Z",0.00034
"2022-03-17T05:28:00Z",0.00819
"2022-03-17T05:29:00Z",0.02261
"2022-03-17T05:30:00Z",0.02528
"2022-03-17T05:31:00Z",0.03064
"2022-03-17T05:32:00Z",0.05198
"2022-03-17T05:33:00Z",0.05125
"2022-03-17T05:34:00Z",0.06907
"2022-03-17T05:35:00Z",0.06924
"2022-03-17T05:36:00Z",0.07618
"2022-03-17T05:37:00Z",0.07283
"2022-03-17T05:38:00Z",0.06928
"2022-03-17T05:39:00Z",0.07446
"2022-03-17T05:40:00Z",0.0707
"2022-03-17T05:41:00Z",0.07067
"2022-03-17T05:42:00Z",0.07095
"2022-03-17T05:43:00Z",0.02878
"2022-03-17T05:44:00Z",0.00134
"2022-03-17T05:45:00Z",0.00024
"2022-03-17T05:46:00Z",0.00575
"2022-03-17T05:47:00Z",0.02388
"2022-03-17T05:48:00Z",0.02899
"2022-03-17T05:49:00Z",0.02954
"2022-03-17T05:50:00Z",0.02813
"2022-03-17T05:51:00Z",0.02933
"2022-03-17T05:52:00Z",0.05283
"2022-03-17T05:53:00Z",0.05428
"2022-03-17T05:54:00Z",0.06558
"2022-03-17T05:55:00Z",0.07067
"2022-03-17T05:56:00Z",0.07523
"2022-03-17T05:57:00Z",0.06812
"2022-03-17T05:58:00Z",0.07117
"2022-03-17T05:59:00Z",0.07107
"2022-03-17T06:00:00Z",0.06528
"2022-03-17T06:01:00Z",0.03901
"2022-03-17T06:02:00Z",4e-05
"2022-03-17T06:03:00Z",0.00012
