"datetime","estimatedALBActiveConnectionCount"
"2022-03-17T07:11:00Z",4
"2022-03-17T07:12:00Z",4
"2022-03-17T07:13:00Z",4
"2022-03-17T07:14:00Z",6
"2022-03-17T07:15:00Z",23
"2022-03-17T07:16:00Z",16
"2022-03-17T07:17:00Z",16
"2022-03-17T07:18:00Z",24
"2022-03-17T07:19:00Z",8
"2022-03-17T07:20:00Z",25
"2022-03-17T07:21:00Z",16
"2022-03-17T07:22:00Z",17
"2022-03-17T07:23:00Z",26
"2022-03-17T07:24:00Z",8
"2022-03-17T07:25:00Z",27
"2022-03-17T07:26:00Z",18
"2022-03-17T07:27:00Z",18
"2022-03-17T07:28:00Z",28
"2022-03-17T07:29:00Z",8
"2022-03-17T07:30:00Z",29
"2022-03-17T07:31:00Z",18
"2022-03-17T07:32:00Z",19.5
"2022-03-17T07:33:00Z",30
"2022-03-17T07:34:00Z",8.5
"2022-03-17T07:35:00Z",31
"2022-03-17T07:36:00Z",31.5
"2022-03-17T07:37:00Z",8.5
"2022-03-17T07:38:00Z",33
"2022-03-17T07:39:00Z",8.5
"2022-03-17T07:40:00Z",33
"2022-03-17T07:41:00Z",33
"2022-03-17T07:42:00Z",8
"2022-03-17T07:43:00Z",8
"2022-03-17T07:44:00Z",33
"2022-03-17T07:45:00Z",33
"2022-03-17T07:46:00Z",33
"2022-03-17T07:47:00Z",33
"2022-03-17T07:48:00Z",33
"2022-03-17T07:49:00Z",8
"2022-03-17T07:50:00Z",33
"2022-03-17T07:51:00Z",33
"2022-03-17T07:52:00Z",33
"2022-03-17T07:53:00Z",33
"2022-03-17T07:54:00Z",33
"2022-03-17T07:55:00Z",8
"2022-03-17T07:56:00Z",33
"2022-03-17T07:57:00Z",33
"2022-03-17T07:58:00Z",33
"2022-03-17T07:59:00Z",33
"2022-03-17T08:00:00Z",33
"2022-03-17T08:01:00Z",8
"2022-03-17T08:02:00Z",33
"2022-03-17T08:03:00Z",33
"2022-03-17T08:04:00Z",33
"2022-03-17T08:05:00Z",33
"2022-03-17T08:06:00Z",33.5
"2022-03-17T08:07:00Z",4.5
"2022-03-17T08:08:00Z",4
"2022-03-17T08:09:00Z",4
"2022-03-17T08:10:00Z",17
"2022-03-17T08:11:00Z",28.5
"2022-03-17T08:12:00Z",28.5
"2022-03-17T08:13:00Z",27.5
"2022-03-17T08:14:00Z",28.5
"2022-03-17T08:15:00Z",44
"2022-03-17T08:16:00Z",38.5
"2022-03-17T08:17:00Z",40
"2022-03-17T08:18:00Z",32.5
"2022-03-17T08:19:00Z",34
"2022-03-17T08:20:00Z",33
"2022-03-17T08:21:00Z",33.5
"2022-03-17T08:22:00Z",33.5
"2022-03-17T08:23:00Z",20.5
"2022-03-17T08:24:00Z",33.5
"2022-03-17T08:25:00Z",4.5
"2022-03-17T08:26:00Z",3.5
"2022-03-17T08:27:00Z",3.5
"2022-03-17T08:28:00Z",28.5
"2022-03-17T08:29:00Z",28.5
"2022-03-17T08:30:00Z",28.5
"2022-03-17T08:31:00Z",28.5
"2022-03-17T08:32:00Z",28.5
"2022-03-17T08:33:00Z",28.5
"2022-03-17T08:34:00Z",28.5
"2022-03-17T08:35:00Z",46.5
"2022-03-17T08:36:00Z",45.5
"2022-03-17T08:37:00Z",33
"2022-03-17T08:38:00Z",33
"2022-03-17T08:39:00Z",33
"2022-03-17T08:40:00Z",33
"2022-03-17T08:41:00Z",33.5
"2022-03-17T08:42:00Z",6
"2022-03-17T08:43:00Z",3.5
"2022-03-17T08:44:00Z",3.5
"2022-03-17T08:45:00Z",28.5
"2022-03-17T08:46:00Z",45.5
"2022-03-17T08:47:00Z",45.5
"2022-03-17T08:48:00Z",32.5
"2022-03-17T08:49:00Z",32.5
"2022-03-17T08:50:00Z",32.5
"2022-03-17T08:51:00Z",32.5
"2022-03-17T08:52:00Z",33
"2022-03-17T08:53:00Z",33
"2022-03-17T08:54:00Z",33
"2022-03-17T08:55:00Z",33
"2022-03-17T08:56:00Z",33
"2022-03-17T08:57:00Z",33
"2022-03-17T08:58:00Z",33
"2022-03-17T08:59:00Z",8
"2022-03-17T09:00:00Z",8
"2022-03-17T09:01:00Z",7
