"datetime","estimatedProcessedBytes"
"2022-03-17T07:11:00Z",3476
"2022-03-17T07:12:00Z",3442
"2022-03-17T07:13:00Z",3530
"2022-03-17T07:14:00Z",6661
"2022-03-17T07:15:00Z",64471880
"2022-03-17T07:16:00Z",119674963
"2022-03-17T07:17:00Z",11906320
"2022-03-17T07:18:00Z",120371677
"2022-03-17T07:19:00Z",65090323
"2022-03-17T07:20:00Z",60482096
"2022-03-17T07:21:00Z",123973535
"2022-03-17T07:22:00Z",14426570
"2022-03-17T07:23:00Z",117042371
"2022-03-17T07:24:00Z",70397563
"2022-03-17T07:25:00Z",54096481
"2022-03-17T07:26:00Z",124858571
"2022-03-17T07:27:00Z",16617537
"2022-03-17T07:28:00Z",112995281
"2022-03-17T07:29:00Z",77349431
"2022-03-17T07:30:00Z",48671439
"2022-03-17T07:31:00Z",127890470
"2022-03-17T07:32:00Z",18487675
"2022-03-17T07:33:00Z",109815277
"2022-03-17T07:34:00Z",84204010
"2022-03-17T07:35:00Z",41917154
"2022-03-17T07:36:00Z",129137701
"2022-03-17T07:37:00Z",22067711
"2022-03-17T07:38:00Z",103207801
"2022-03-17T07:39:00Z",88222360
"2022-03-17T07:40:00Z",36105509
"2022-03-17T07:41:00Z",130002416
"2022-03-17T07:42:00Z",28474782
"2022-03-17T07:43:00Z",5060
"2022-03-17T07:44:00Z",89005641
"2022-03-17T07:45:00Z",123674959
"2022-03-17T07:46:00Z",124986477
"2022-03-17T07:47:00Z",124980636
"2022-03-17T07:48:00Z",125418876
"2022-03-17T07:49:00Z",42520154
"2022-03-17T07:50:00Z",82023890
"2022-03-17T07:51:00Z",127397094
"2022-03-17T07:52:00Z",125639841
"2022-03-17T07:53:00Z",127252499
"2022-03-17T07:54:00Z",126736164
"2022-03-17T07:55:00Z",44193453
"2022-03-17T07:56:00Z",78388229
"2022-03-17T07:57:00Z",126812940
"2022-03-17T07:58:00Z",126752704
"2022-03-17T07:59:00Z",127293011
"2022-03-17T08:00:00Z",120973696
"2022-03-17T08:01:00Z",47598938
"2022-03-17T08:02:00Z",75231522
"2022-03-17T08:03:00Z",126574645
"2022-03-17T08:04:00Z",126459924
"2022-03-17T08:05:00Z",126109885
"2022-03-17T08:06:00Z",124821737
"2022-03-17T08:07:00Z",50509731
"2022-03-17T08:08:00Z",8648
"2022-03-17T08:09:00Z",3940
"2022-03-17T08:10:00Z",3427070
"2022-03-17T08:11:00Z",41343596
"2022-03-17T08:12:00Z",42625671
"2022-03-17T08:13:00Z",42432084
"2022-03-17T08:14:00Z",42745512
"2022-03-17T08:15:00Z",43804570
"2022-03-17T08:16:00Z",42958455
"2022-03-17T08:17:00Z",80844801
"2022-03-17T08:18:00Z",86554242
"2022-03-17T08:19:00Z",86521739
"2022-03-17T08:20:00Z",86196782
"2022-03-17T08:21:00Z",86755267
"2022-03-17T08:22:00Z",86071220
"2022-03-17T08:23:00Z",128345511
"2022-03-17T08:24:00Z",129541093
"2022-03-17T08:25:00Z",11384926
"2022-03-17T08:26:00Z",4036
"2022-03-17T08:27:00Z",3982
"2022-03-17T08:28:00Z",34169603
"2022-03-17T08:29:00Z",42842023
"2022-03-17T08:30:00Z",41229319
"2022-03-17T08:31:00Z",42697229
"2022-03-17T08:32:00Z",42561603
"2022-03-17T08:33:00Z",43194887
"2022-03-17T08:34:00Z",42815145
"2022-03-17T08:35:00Z",44461293
"2022-03-17T08:36:00Z",69192554
"2022-03-17T08:37:00Z",86194429
"2022-03-17T08:38:00Z",86158578
"2022-03-17T08:39:00Z",85405889
"2022-03-17T08:40:00Z",86085675
"2022-03-17T08:41:00Z",86411677
"2022-03-17T08:42:00Z",33610375
"2022-03-17T08:43:00Z",3864
"2022-03-17T08:44:00Z",3980
"2022-03-17T08:45:00Z",23173511
"2022-03-17T08:46:00Z",44773927
"2022-03-17T08:47:00Z",62120118
"2022-03-17T08:48:00Z",85063272
"2022-03-17T08:49:00Z",85580702
"2022-03-17T08:50:00Z",84826386
"2022-03-17T08:51:00Z",85369654
"2022-03-17T08:52:00Z",84645433
"2022-03-17T08:53:00Z",99581691
"2022-03-17T08:54:00Z",111555192
"2022-03-17T08:55:00Z",111242568
"2022-03-17T08:56:00Z",110759965
"2022-03-17T08:57:00Z",111357141
"2022-03-17T08:58:00Z",110313874
"2022-03-17T08:59:00Z",66765075
"2022-03-17T09:00:00Z",5354
"2022-03-17T09:01:00Z",2264
