"datetime","estimatedALBConsumedLCUs"
"2022-03-17T09:31:00Z",0.04754
"2022-03-17T09:32:00Z",0.00406
"2022-03-17T09:33:00Z",0.02751
"2022-03-17T09:34:00Z",0.02263
"2022-03-17T09:35:00Z",0.02553
"2022-03-17T09:36:00Z",0.06426
"2022-03-17T09:37:00Z",0.01342
"2022-03-17T09:38:00Z",0.04501
"2022-03-17T09:39:00Z",0.0479
"2022-03-17T09:40:00Z",0.01767
"2022-03-17T09:41:00Z",0.0796
"2022-03-17T09:42:00Z",0.03522
"2022-03-17T09:43:00Z",0.04938
"2022-03-17T09:44:00Z",0.07197
"2022-03-17T09:45:00Z",0.00774
"2022-03-17T09:46:00Z",0.07401
"2022-03-17T09:47:00Z",0.05409
"2022-03-17T09:48:00Z",0.03766
"2022-03-17T09:49:00Z",0.09275
"2022-03-17T09:50:00Z",0.02004
"2022-03-17T09:51:00Z",0.07618
"2022-03-17T09:52:00Z",0.06784
"2022-03-17T09:53:00Z",0.01675
"2022-03-17T09:54:00Z",0.08583
"2022-03-17T09:55:00Z",0.03836
"2022-03-17T09:56:00Z",0.05358
"2022-03-17T09:57:00Z",0.0837
"2022-03-17T09:58:00Z",0.00971
"2022-03-17T09:59:00Z",0.00086
"2022-03-17T10:00:00Z",0.07459
"2022-03-17T10:01:00Z",0.07608
"2022-03-17T10:02:00Z",0.08076
"2022-03-17T10:03:00Z",0.0776
"2022-03-17T10:04:00Z",0.08767
"2022-03-17T10:05:00Z",0.03121
"2022-03-17T10:06:00Z",0.0583
"2022-03-17T10:07:00Z",0.08332
"2022-03-17T10:08:00Z",0.08619
"2022-03-17T10:09:00Z",0.08596
"2022-03-17T10:10:00Z",0.08856
"2022-03-17T10:11:00Z",0.04008
"2022-03-17T10:12:00Z",0.05288
"2022-03-17T10:13:00Z",0.09025
"2022-03-17T10:14:00Z",0.09132
"2022-03-17T10:15:00Z",0.08898
"2022-03-17T10:16:00Z",0.08385
"2022-03-17T10:17:00Z",0.0495
"2022-03-17T10:18:00Z",0.03984
"2022-03-17T10:19:00Z",0.08142
"2022-03-17T10:20:00Z",0.08112
"2022-03-17T10:21:00Z",0.08057
"2022-03-17T10:22:00Z",0.07898
"2022-03-17T10:23:00Z",0.05455
"2022-03-17T10:24:00Z",0.00037
"2022-03-17T10:25:00Z",0.00046
"2022-03-17T10:26:00Z",0.00037
"2022-03-17T10:27:00Z",0.01025
"2022-03-17T10:28:00Z",0.02524
"2022-03-17T10:29:00Z",0.04062
"2022-03-17T10:30:00Z",0.05467
"2022-03-17T10:31:00Z",0.05681
"2022-03-17T10:32:00Z",0.06057
"2022-03-17T10:33:00Z",0.07391
"2022-03-17T10:34:00Z",0.06891
"2022-03-17T10:35:00Z",0.07317
"2022-03-17T10:36:00Z",0.07997
"2022-03-17T10:37:00Z",0.08307
"2022-03-17T10:38:00Z",0.07603
"2022-03-17T10:39:00Z",0.07669
"2022-03-17T10:40:00Z",0.07056
"2022-03-17T10:41:00Z",0.07861
"2022-03-17T10:42:00Z",0.0309
"2022-03-17T10:43:00Z",0.00058
"2022-03-17T10:44:00Z",0.00029
"2022-03-17T10:45:00Z",0.00611
"2022-03-17T10:46:00Z",0.02575
"2022-03-17T10:47:00Z",0.03177
"2022-03-17T10:48:00Z",0.03116
"2022-03-17T10:49:00Z",0.05844
"2022-03-17T10:50:00Z",0.0567
"2022-03-17T10:51:00Z",0.06013
"2022-03-17T10:52:00Z",0.05537
"2022-03-17T10:53:00Z",0.08288
"2022-03-17T10:54:00Z",0.07812
"2022-03-17T10:55:00Z",0.07624
"2022-03-17T10:56:00Z",0.08431
"2022-03-17T10:57:00Z",0.07418
"2022-03-17T10:58:00Z",0.07018
"2022-03-17T10:59:00Z",0.08032
"2022-03-17T11:00:00Z",0.08181
"2022-03-17T11:01:00Z",0.05169
"2022-03-17T11:02:00Z",0.0004
"2022-03-17T11:03:00Z",0.00029
"2022-03-17T11:04:00Z",0.00597
"2022-03-17T11:05:00Z",0.02211
"2022-03-17T11:06:00Z",0.02758
"2022-03-17T11:07:00Z",0.03128
"2022-03-17T11:08:00Z",0.05453
"2022-03-17T11:09:00Z",0.05397
"2022-03-17T11:10:00Z",0.06729
"2022-03-17T11:11:00Z",0.08558
"2022-03-17T11:12:00Z",0.07709
"2022-03-17T11:13:00Z",0.0815
"2022-03-17T11:14:00Z",0.08213
"2022-03-17T11:15:00Z",0.07898
"2022-03-17T11:16:00Z",0.06944
"2022-03-17T11:17:00Z",0.08216
"2022-03-17T11:18:00Z",0.08213
"2022-03-17T11:19:00Z",0.06814
"2022-03-17T11:20:00Z",0.03973
