"datetime","estimatedProcessedBytes"
"2022-03-17T09:31:00Z",47544769
"2022-03-17T09:32:00Z",4058768
"2022-03-17T09:33:00Z",52274648
"2022-03-17T09:34:00Z",34340730
"2022-03-17T09:35:00Z",34420210
"2022-03-17T09:36:00Z",108763349
"2022-03-17T09:37:00Z",17051958
"2022-03-17T09:38:00Z",76025240
"2022-03-17T09:39:00Z",83827433
"2022-03-17T09:40:00Z",17671239
"2022-03-17T09:41:00Z",147764763
"2022-03-17T09:42:00Z",56314672
"2022-03-17T09:43:00Z",76147735
"2022-03-17T09:44:00Z",142136802
"2022-03-17T09:45:00Z",8900903
"2022-03-17T09:46:00Z",130475098
"2022-03-17T09:47:00Z",89459543
"2022-03-17T09:48:00Z",49237693
"2022-03-17T09:49:00Z",159621517
"2022-03-17T09:50:00Z",26977029
"2022-03-17T09:51:00Z",117642899
"2022-03-17T09:52:00Z",131429723
"2022-03-17T09:53:00Z",16752433
"2022-03-17T09:54:00Z",154920341
"2022-03-17T09:55:00Z",62780216
"2022-03-17T09:56:00Z",80751360
"2022-03-17T09:57:00Z",157484860
"2022-03-17T09:58:00Z",9716437
"2022-03-17T09:59:00Z",2398
"2022-03-17T10:00:00Z",129329751
"2022-03-17T10:01:00Z",148442278
"2022-03-17T10:02:00Z",154625838
"2022-03-17T10:03:00Z",151147179
"2022-03-17T10:04:00Z",153172102
"2022-03-17T10:05:00Z",54378547
"2022-03-17T10:06:00Z",93525808
"2022-03-17T10:07:00Z",162146308
"2022-03-17T10:08:00Z",164187449
"2022-03-17T10:09:00Z",160441523
"2022-03-17T10:10:00Z",160456285
"2022-03-17T10:11:00Z",67077771
"2022-03-17T10:12:00Z",79070427
"2022-03-17T10:13:00Z",163326337
"2022-03-17T10:14:00Z",166151228
"2022-03-17T10:15:00Z",163566340
"2022-03-17T10:16:00Z",162009764
"2022-03-17T10:17:00Z",83312565
"2022-03-17T10:18:00Z",56503148
"2022-03-17T10:19:00Z",151163929
"2022-03-17T10:20:00Z",151120299
"2022-03-17T10:21:00Z",153292115
"2022-03-17T10:22:00Z",152149032
"2022-03-17T10:23:00Z",95636687
"2022-03-17T10:24:00Z",2406
"2022-03-17T10:25:00Z",1706
"2022-03-17T10:26:00Z",1706
"2022-03-17T10:27:00Z",15605922
"2022-03-17T10:28:00Z",49369575
"2022-03-17T10:29:00Z",69072951
"2022-03-17T10:30:00Z",108746472
"2022-03-17T10:31:00Z",110694308
"2022-03-17T10:32:00Z",117342588
"2022-03-17T10:33:00Z",144862281
"2022-03-17T10:34:00Z",131509429
"2022-03-17T10:35:00Z",143687931
"2022-03-17T10:36:00Z",153272831
"2022-03-17T10:37:00Z",159427520
"2022-03-17T10:38:00Z",145304450
"2022-03-17T10:39:00Z",149492201
"2022-03-17T10:40:00Z",139971733
"2022-03-17T10:41:00Z",144551195
"2022-03-17T10:42:00Z",50536757
"2022-03-17T10:43:00Z",3118
"2022-03-17T10:44:00Z",2544
"2022-03-17T10:45:00Z",7636996
"2022-03-17T10:46:00Z",46335205
"2022-03-17T10:47:00Z",57274740
"2022-03-17T10:48:00Z",61073908
"2022-03-17T10:49:00Z",108363234
"2022-03-17T10:50:00Z",106606132
"2022-03-17T10:51:00Z",110236231
"2022-03-17T10:52:00Z",109477099
"2022-03-17T10:53:00Z",145054134
"2022-03-17T10:54:00Z",148783048
"2022-03-17T10:55:00Z",150533041
"2022-03-17T10:56:00Z",148003705
"2022-03-17T10:57:00Z",144364716
"2022-03-17T10:58:00Z",145751287
"2022-03-17T10:59:00Z",151448539
"2022-03-17T11:00:00Z",78366505
"2022-03-17T11:01:00Z",2572
"2022-03-17T11:02:00Z",1706
"2022-03-17T11:03:00Z",1706
"2022-03-17T11:04:00Z",7009812
"2022-03-17T11:05:00Z",46716460
"2022-03-17T11:06:00Z",57242067
"2022-03-17T11:07:00Z",59461955
"2022-03-17T11:08:00Z",108495405
"2022-03-17T11:09:00Z",107479286
"2022-03-17T11:10:00Z",113909599
"2022-03-17T11:11:00Z",148405680
"2022-03-17T11:12:00Z",140549593
"2022-03-17T11:13:00Z",149730299
"2022-03-17T11:14:00Z",148327911
"2022-03-17T11:15:00Z",148416818
"2022-03-17T11:16:00Z",147004175
"2022-03-17T11:17:00Z",153126182
"2022-03-17T11:18:00Z",140654233
"2022-03-17T11:19:00Z",69062759
"2022-03-17T11:20:00Z",2452
