"datetime","backendConnectionErrors"
"2022-03-18T02:22:00Z",100
"2022-03-18T02:24:00Z",200
"2022-03-18T02:25:00Z",101
"2022-03-18T02:32:00Z",100
"2022-03-18T02:34:00Z",1
"2022-03-18T02:38:00Z",1
"2022-03-18T02:41:00Z",1
"2022-03-18T03:05:00Z",1
"2022-03-18T03:11:00Z",1
"2022-03-18T03:13:00Z",1
"2022-03-18T03:14:00Z",1
"2022-03-18T03:15:00Z",1
"2022-03-18T03:18:00Z",200
"2022-03-18T03:26:00Z",202
"2022-03-18T03:42:00Z",200
"2022-03-18T03:51:00Z",100
"2022-03-18T03:59:00Z",100
"2022-03-18T04:00:00Z",101
"2022-03-18T04:01:00Z",100
