"datetime","estimatedALBConsumedLCUs"
"2022-03-18T02:20:00Z",0.00128
"2022-03-18T02:21:00Z",0.00059
"2022-03-18T02:22:00Z",0.00026
"2022-03-18T02:23:00Z",0.0002
"2022-03-18T02:24:00Z",0.00157
"2022-03-18T02:25:00Z",0.00764
"2022-03-18T02:26:00Z",0.02429
"2022-03-18T02:27:00Z",0.01128
"2022-03-18T02:28:00Z",0.01979
"2022-03-18T02:29:00Z",0.01708
"2022-03-18T02:30:00Z",0.00671
"2022-03-18T02:31:00Z",0.02418
"2022-03-18T02:32:00Z",0.02467
"2022-03-18T02:33:00Z",0.01798
"2022-03-18T02:34:00Z",0.02966
"2022-03-18T02:35:00Z",0.01343
"2022-03-18T02:36:00Z",0.02467
"2022-03-18T02:37:00Z",0.02592
"2022-03-18T02:38:00Z",0.01689
"2022-03-18T02:39:00Z",0.02268
"2022-03-18T02:40:00Z",0.02405
"2022-03-18T02:41:00Z",0.04777
"2022-03-18T02:42:00Z",0.01565
"2022-03-18T02:43:00Z",0.04743
"2022-03-18T02:44:00Z",0.0262
"2022-03-18T02:45:00Z",0.0262
"2022-03-18T02:46:00Z",0.01977
"2022-03-18T02:47:00Z",0.0449
"2022-03-18T02:48:00Z",0.02142
"2022-03-18T02:49:00Z",0.04332
"2022-03-18T02:50:00Z",0.02824
"2022-03-18T02:51:00Z",0.0227
"2022-03-18T02:52:00Z",0.00946
"2022-03-18T02:53:00Z",0.00047
"2022-03-18T02:54:00Z",0.04043
"2022-03-18T02:55:00Z",0.04768
"2022-03-18T02:56:00Z",0.0485
"2022-03-18T02:57:00Z",0.0479
"2022-03-18T02:58:00Z",0.04913
"2022-03-18T02:59:00Z",0.01163
"2022-03-18T03:00:00Z",0.03473
"2022-03-18T03:01:00Z",0.04903
"2022-03-18T03:02:00Z",0.04911
"2022-03-18T03:03:00Z",0.04953
"2022-03-18T03:04:00Z",0.04965
"2022-03-18T03:05:00Z",0.01316
"2022-03-18T03:06:00Z",0.03402
"2022-03-18T03:07:00Z",0.04692
"2022-03-18T03:08:00Z",0.04802
"2022-03-18T03:09:00Z",0.04837
"2022-03-18T03:10:00Z",0.04837
"2022-03-18T03:11:00Z",0.04726
"2022-03-18T03:12:00Z",0.02412
"2022-03-18T03:13:00Z",0.03566
"2022-03-18T03:14:00Z",0.04821
"2022-03-18T03:15:00Z",0.04837
"2022-03-18T03:16:00Z",0.04743
"2022-03-18T03:17:00Z",0.0479
"2022-03-18T03:18:00Z",0.01274
"2022-03-18T03:19:00Z",0.00073
"2022-03-18T03:20:00Z",0.00652
"2022-03-18T03:21:00Z",0.00876
"2022-03-18T03:22:00Z",0.00922
"2022-03-18T03:23:00Z",0.00789
"2022-03-18T03:24:00Z",0.00825
"2022-03-18T03:25:00Z",0.00775
"2022-03-18T03:26:00Z",0.01735
"2022-03-18T03:27:00Z",0.02266
"2022-03-18T03:28:00Z",0.04922
"2022-03-18T03:29:00Z",0.04852
"2022-03-18T03:30:00Z",0.04907
"2022-03-18T03:31:00Z",0.04965
"2022-03-18T03:32:00Z",0.04623
"2022-03-18T03:33:00Z",0.04906
"2022-03-18T03:34:00Z",0.04782
"2022-03-18T03:35:00Z",0.04879
"2022-03-18T03:36:00Z",0.00291
"2022-03-18T03:37:00Z",0.00591
"2022-03-18T03:38:00Z",0.00927
"2022-03-18T03:39:00Z",0.00934
"2022-03-18T03:40:00Z",0.00967
"2022-03-18T03:41:00Z",0.00948
"2022-03-18T03:42:00Z",0.0104
"2022-03-18T03:43:00Z",0.0299
"2022-03-18T03:44:00Z",0.04742
"2022-03-18T03:45:00Z",0.0461
"2022-03-18T03:46:00Z",0.04616
"2022-03-18T03:47:00Z",0.04567
"2022-03-18T03:48:00Z",0.04705
"2022-03-18T03:49:00Z",0.04792
"2022-03-18T03:50:00Z",0.04831
"2022-03-18T03:51:00Z",0.0469
"2022-03-18T03:52:00Z",0.03042
"2022-03-18T03:53:00Z",0.00665
"2022-03-18T03:54:00Z",0.00053
"2022-03-18T03:55:00Z",0.00231
"2022-03-18T03:56:00Z",0.00595
"2022-03-18T03:57:00Z",0.00778
"2022-03-18T03:58:00Z",0.00808
"2022-03-18T03:59:00Z",0.008
"2022-03-18T04:00:00Z",0.0071
"2022-03-18T04:01:00Z",0.02395
"2022-03-18T04:02:00Z",0.04942
"2022-03-18T04:03:00Z",0.04732
"2022-03-18T04:04:00Z",0.04867
"2022-03-18T04:05:00Z",0.05073
"2022-03-18T04:06:00Z",0.04858
"2022-03-18T04:07:00Z",0.04848
"2022-03-18T04:08:00Z",0.04762
"2022-03-18T04:09:00Z",0.04968
"2022-03-18T04:10:00Z",0.03626
