"datetime","estimatedProcessedBytes"
"2022-03-18T02:20:00Z",1408
"2022-03-18T02:21:00Z",6328
"2022-03-18T02:22:00Z",2802
"2022-03-18T02:23:00Z",3016
"2022-03-18T02:24:00Z",7649945
"2022-03-18T02:25:00Z",33538151
"2022-03-18T02:26:00Z",15708640
"2022-03-18T02:27:00Z",21569527
"2022-03-18T02:28:00Z",31510278
"2022-03-18T02:29:00Z",12492381
"2022-03-18T02:30:00Z",40228072
"2022-03-18T02:31:00Z",29754140
"2022-03-18T02:32:00Z",19664402
"2022-03-18T02:33:00Z",48238477
"2022-03-18T02:34:00Z",18671950
"2022-03-18T02:35:00Z",39431185
"2022-03-18T02:36:00Z",32822751
"2022-03-18T02:37:00Z",17232908
"2022-03-18T02:38:00Z",66705428
"2022-03-18T02:39:00Z",26863824
"2022-03-18T02:40:00Z",46095539
"2022-03-18T02:41:00Z",55663069
"2022-03-18T02:42:00Z",16109121
"2022-03-18T02:43:00Z",68324388
"2022-03-18T02:44:00Z",28956575
"2022-03-18T02:45:00Z",42908927
"2022-03-18T02:46:00Z",53731398
"2022-03-18T02:47:00Z",16638926
"2022-03-18T02:48:00Z",64736709
"2022-03-18T02:49:00Z",30101994
"2022-03-18T02:50:00Z",41303772
"2022-03-18T02:51:00Z",57977299
"2022-03-18T02:52:00Z",5032877
"2022-03-18T02:53:00Z",12607958
"2022-03-18T02:54:00Z",63431740
"2022-03-18T02:55:00Z",70436900
"2022-03-18T02:56:00Z",71377042
"2022-03-18T02:57:00Z",69900824
"2022-03-18T02:58:00Z",60761887
"2022-03-18T02:59:00Z",21379433
"2022-03-18T03:00:00Z",58247906
"2022-03-18T03:01:00Z",72638728
"2022-03-18T03:02:00Z",72691489
"2022-03-18T03:03:00Z",73401885
"2022-03-18T03:04:00Z",62809612
"2022-03-18T03:05:00Z",20980908
"2022-03-18T03:06:00Z",55542102
"2022-03-18T03:07:00Z",67897985
"2022-03-18T03:08:00Z",69471826
"2022-03-18T03:09:00Z",69925404
"2022-03-18T03:10:00Z",59717223
"2022-03-18T03:11:00Z",22034295
"2022-03-18T03:12:00Z",59775642
"2022-03-18T03:13:00Z",71560951
"2022-03-18T03:14:00Z",71869870
"2022-03-18T03:15:00Z",71830266
"2022-03-18T03:16:00Z",61903183
"2022-03-18T03:17:00Z",12741502
"2022-03-18T03:18:00Z",9180
"2022-03-18T03:19:00Z",3635
"2022-03-18T03:20:00Z",7688775
"2022-03-18T03:21:00Z",17868037
"2022-03-18T03:22:00Z",17023490
"2022-03-18T03:23:00Z",15419570
"2022-03-18T03:24:00Z",15999524
"2022-03-18T03:25:00Z",14632773
"2022-03-18T03:26:00Z",29512198
"2022-03-18T03:27:00Z",71876585
"2022-03-18T03:28:00Z",70913817
"2022-03-18T03:29:00Z",71687137
"2022-03-18T03:30:00Z",72327115
"2022-03-18T03:31:00Z",68958201
"2022-03-18T03:32:00Z",71313230
"2022-03-18T03:33:00Z",69855424
"2022-03-18T03:34:00Z",57394890
"2022-03-18T03:35:00Z",2916260
"2022-03-18T03:36:00Z",3244
"2022-03-18T03:37:00Z",5908992
"2022-03-18T03:38:00Z",18188729
"2022-03-18T03:39:00Z",19007343
"2022-03-18T03:40:00Z",18711078
"2022-03-18T03:41:00Z",20054154
"2022-03-18T03:42:00Z",38593005
"2022-03-18T03:43:00Z",63099800
"2022-03-18T03:44:00Z",64186038
"2022-03-18T03:45:00Z",62726197
"2022-03-18T03:46:00Z",63952460
"2022-03-18T03:47:00Z",64330149
"2022-03-18T03:48:00Z",66880164
"2022-03-18T03:49:00Z",67522493
"2022-03-18T03:50:00Z",65772996
"2022-03-18T03:51:00Z",48921825
"2022-03-18T03:52:00Z",6653723
"2022-03-18T03:53:00Z",2892
"2022-03-18T03:54:00Z",1941000
"2022-03-18T03:55:00Z",10745114
"2022-03-18T03:56:00Z",13824089
"2022-03-18T03:57:00Z",14648943
"2022-03-18T03:58:00Z",13874546
"2022-03-18T03:59:00Z",12924077
"2022-03-18T04:00:00Z",44125012
"2022-03-18T04:01:00Z",74106803
"2022-03-18T04:02:00Z",71532245
"2022-03-18T04:03:00Z",74252974
"2022-03-18T04:04:00Z",75146388
"2022-03-18T04:05:00Z",73689369
"2022-03-18T04:06:00Z",73581991
"2022-03-18T04:07:00Z",72094205
"2022-03-18T04:08:00Z",74350864
"2022-03-18T04:09:00Z",37307584
"2022-03-18T04:10:00Z",4032
