"datetime","estimatedALBConsumedLCUs"
"2022-03-18T04:56:00Z",0.00359
"2022-03-18T04:57:00Z",0.01681
"2022-03-18T04:58:00Z",0.01474
"2022-03-18T04:59:00Z",0.01683
"2022-03-18T05:00:00Z",0.02524
"2022-03-18T05:01:00Z",0.00816
"2022-03-18T05:02:00Z",0.05148
"2022-03-18T05:03:00Z",0.02278
"2022-03-18T05:04:00Z",0.03117
"2022-03-18T05:05:00Z",0.05688
"2022-03-18T05:06:00Z",0.00614
"2022-03-18T05:07:00Z",0.05516
"2022-03-18T05:08:00Z",0.03603
"2022-03-18T05:09:00Z",0.01591
"2022-03-18T05:10:00Z",0.04832
"2022-03-18T05:11:00Z",0.01543
"2022-03-18T05:12:00Z",0.04503
"2022-03-18T05:13:00Z",0.05241
"2022-03-18T05:14:00Z",0.00888
"2022-03-18T05:15:00Z",0.06239
"2022-03-18T05:16:00Z",0.03268
"2022-03-18T05:17:00Z",0.03453
"2022-03-18T05:18:00Z",0.06271
"2022-03-18T05:19:00Z",0.00824
"2022-03-18T05:20:00Z",0.06209
"2022-03-18T05:21:00Z",0.04552
"2022-03-18T05:22:00Z",0.02057
"2022-03-18T05:23:00Z",0.06453
"2022-03-18T05:24:00Z",0.02138
"2022-03-18T05:25:00Z",0.00072
"2022-03-18T05:26:00Z",0.04102
"2022-03-18T05:27:00Z",0.05364
"2022-03-18T05:28:00Z",0.05533
"2022-03-18T05:29:00Z",0.05894
"2022-03-18T05:30:00Z",0.06038
"2022-03-18T05:31:00Z",0.04188
"2022-03-18T05:32:00Z",0.02744
"2022-03-18T05:33:00Z",0.06389
"2022-03-18T05:34:00Z",0.06418
"2022-03-18T05:35:00Z",0.06324
"2022-03-18T05:36:00Z",0.06375
"2022-03-18T05:37:00Z",0.04416
"2022-03-18T05:38:00Z",0.02029
"2022-03-18T05:39:00Z",0.06409
"2022-03-18T05:40:00Z",0.06262
"2022-03-18T05:41:00Z",0.06301
"2022-03-18T05:42:00Z",0.06298
"2022-03-18T05:43:00Z",0.05023
"2022-03-18T05:44:00Z",0.01429
"2022-03-18T05:45:00Z",0.06592
"2022-03-18T05:46:00Z",0.06656
"2022-03-18T05:47:00Z",0.06765
"2022-03-18T05:48:00Z",0.06816
"2022-03-18T05:49:00Z",0.0588
"2022-03-18T05:50:00Z",0.00042
"2022-03-18T05:51:00Z",0.00033
"2022-03-18T05:52:00Z",0.00037
"2022-03-18T05:53:00Z",0.00032
"2022-03-18T05:54:00Z",0.01668
"2022-03-18T05:55:00Z",0.02458
"2022-03-18T05:56:00Z",0.04607
"2022-03-18T05:57:00Z",0.04686
"2022-03-18T05:58:00Z",0.04882
"2022-03-18T05:59:00Z",0.05241
"2022-03-18T06:00:00Z",0.06149
"2022-03-18T06:01:00Z",0.06203
"2022-03-18T06:02:00Z",0.06341
"2022-03-18T06:03:00Z",0.0608
"2022-03-18T06:04:00Z",0.06072
"2022-03-18T06:05:00Z",0.06758
"2022-03-18T06:06:00Z",0.06119
"2022-03-18T06:07:00Z",0.06041
"2022-03-18T06:08:00Z",0.05382
"2022-03-18T06:09:00Z",0.00037
"2022-03-18T06:10:00Z",0.00034
"2022-03-18T06:11:00Z",0.00031
"2022-03-18T06:12:00Z",0.00033
"2022-03-18T06:13:00Z",0.01618
"2022-03-18T06:14:00Z",0.02516
"2022-03-18T06:15:00Z",0.0391
"2022-03-18T06:16:00Z",0.04471
"2022-03-18T06:17:00Z",0.04381
"2022-03-18T06:18:00Z",0.05525
"2022-03-18T06:19:00Z",0.06214
"2022-03-18T06:20:00Z",0.05863
"2022-03-18T06:21:00Z",0.05994
"2022-03-18T06:22:00Z",0.0588
"2022-03-18T06:23:00Z",0.06167
"2022-03-18T06:24:00Z",0.05599
"2022-03-18T06:25:00Z",0.06594
"2022-03-18T06:26:00Z",0.05976
"2022-03-18T06:27:00Z",0.0546
"2022-03-18T06:28:00Z",0.00089
"2022-03-18T06:29:00Z",0.00042
"2022-03-18T06:30:00Z",0.0003
"2022-03-18T06:31:00Z",0.01424
"2022-03-18T06:32:00Z",0.02475
"2022-03-18T06:33:00Z",0.02628
"2022-03-18T06:34:00Z",0.04061
"2022-03-18T06:35:00Z",0.04872
"2022-03-18T06:36:00Z",0.04881
"2022-03-18T06:37:00Z",0.04818
"2022-03-18T06:38:00Z",0.05703
"2022-03-18T06:39:00Z",0.06298
"2022-03-18T06:40:00Z",0.06267
"2022-03-18T06:41:00Z",0.06387
"2022-03-18T06:42:00Z",0.0627
"2022-03-18T06:43:00Z",0.06259
"2022-03-18T06:44:00Z",0.05447
"2022-03-18T06:45:00Z",0.07064
"2022-03-18T06:46:00Z",0.00031
