"datetime","estimatedProcessedBytes"
"2022-03-18T04:56:00Z",9303554
"2022-03-18T04:57:00Z",31551593
"2022-03-18T04:58:00Z",6785534
"2022-03-18T04:59:00Z",37378574
"2022-03-18T05:00:00Z",44640982
"2022-03-18T05:01:00Z",8158996
"2022-03-18T05:02:00Z",95316525
"2022-03-18T05:03:00Z",40241182
"2022-03-18T05:04:00Z",52887338
"2022-03-18T05:05:00Z",108344106
"2022-03-18T05:06:00Z",6139389
"2022-03-18T05:07:00Z",94517950
"2022-03-18T05:08:00Z",67891639
"2022-03-18T05:09:00Z",24167559
"2022-03-18T05:10:00Z",95002181
"2022-03-18T05:11:00Z",22359872
"2022-03-18T05:12:00Z",77320604
"2022-03-18T05:13:00Z",99471203
"2022-03-18T05:14:00Z",8876488
"2022-03-18T05:15:00Z",122384998
"2022-03-18T05:16:00Z",55530442
"2022-03-18T05:17:00Z",57406250
"2022-03-18T05:18:00Z",125214917
"2022-03-18T05:19:00Z",8245276
"2022-03-18T05:20:00Z",109233993
"2022-03-18T05:21:00Z",83386186
"2022-03-18T05:22:00Z",29884408
"2022-03-18T05:23:00Z",126939897
"2022-03-18T05:24:00Z",32341877
"2022-03-18T05:25:00Z",2398
"2022-03-18T05:26:00Z",71771448
"2022-03-18T05:27:00Z",105968767
"2022-03-18T05:28:00Z",108437525
"2022-03-18T05:29:00Z",117853495
"2022-03-18T05:30:00Z",117401682
"2022-03-18T05:31:00Z",78204083
"2022-03-18T05:32:00Z",42187551
"2022-03-18T05:33:00Z",122777697
"2022-03-18T05:34:00Z",123866068
"2022-03-18T05:35:00Z",122218974
"2022-03-18T05:36:00Z",122814068
"2022-03-18T05:37:00Z",80850810
"2022-03-18T05:38:00Z",29368432
"2022-03-18T05:39:00Z",124662516
"2022-03-18T05:40:00Z",122688146
"2022-03-18T05:41:00Z",123278737
"2022-03-18T05:42:00Z",123927008
"2022-03-18T05:43:00Z",93512006
"2022-03-18T05:44:00Z",17013805
"2022-03-18T05:45:00Z",127460207
"2022-03-18T05:46:00Z",128528873
"2022-03-18T05:47:00Z",129362842
"2022-03-18T05:48:00Z",130219510
"2022-03-18T05:49:00Z",112785985
"2022-03-18T05:50:00Z",2574
"2022-03-18T05:51:00Z",1816
"2022-03-18T05:52:00Z",1706
"2022-03-18T05:53:00Z",1760
"2022-03-18T05:54:00Z",29057905
"2022-03-18T05:55:00Z",48736709
"2022-03-18T05:56:00Z",87406851
"2022-03-18T05:57:00Z",90315533
"2022-03-18T05:58:00Z",95038874
"2022-03-18T05:59:00Z",102567795
"2022-03-18T06:00:00Z",111441006
"2022-03-18T06:01:00Z",120149009
"2022-03-18T06:02:00Z",126593194
"2022-03-18T06:03:00Z",121445598
"2022-03-18T06:04:00Z",118589124
"2022-03-18T06:05:00Z",126578610
"2022-03-18T06:06:00Z",121796755
"2022-03-18T06:07:00Z",117932976
"2022-03-18T06:08:00Z",100206003
"2022-03-18T06:09:00Z",2492
"2022-03-18T06:10:00Z",2046
"2022-03-18T06:11:00Z",1778
"2022-03-18T06:12:00Z",1632
"2022-03-18T06:13:00Z",30305808
"2022-03-18T06:14:00Z",49365403
"2022-03-18T06:15:00Z",72708738
"2022-03-18T06:16:00Z",86906682
"2022-03-18T06:17:00Z",85347798
"2022-03-18T06:18:00Z",106608125
"2022-03-18T06:19:00Z",116623903
"2022-03-18T06:20:00Z",116482764
"2022-03-18T06:21:00Z",117544269
"2022-03-18T06:22:00Z",116280035
"2022-03-18T06:23:00Z",107936518
"2022-03-18T06:24:00Z",109018465
"2022-03-18T06:25:00Z",116683531
"2022-03-18T06:26:00Z",113836653
"2022-03-18T06:27:00Z",97956378
"2022-03-18T06:28:00Z",6624
"2022-03-18T06:29:00Z",2148
"2022-03-18T06:30:00Z",1728
"2022-03-18T06:31:00Z",26716661
"2022-03-18T06:32:00Z",47487605
"2022-03-18T06:33:00Z",51066442
"2022-03-18T06:34:00Z",81058708
"2022-03-18T06:35:00Z",94941364
"2022-03-18T06:36:00Z",95367962
"2022-03-18T06:37:00Z",95997832
"2022-03-18T06:38:00Z",107468189
"2022-03-18T06:39:00Z",117543043
"2022-03-18T06:40:00Z",117045204
"2022-03-18T06:41:00Z",119867857
"2022-03-18T06:42:00Z",122111979
"2022-03-18T06:43:00Z",114431793
"2022-03-18T06:44:00Z",108376619
"2022-03-18T06:45:00Z",108860184
"2022-03-18T06:46:00Z",2304
