"datetime","estimatedProcessedBytes"
"2022-03-21T05:43:00Z",426
"2022-03-21T05:44:00Z",848
"2022-03-21T05:45:00Z",806
"2022-03-21T05:46:00Z",870
"2022-03-21T05:47:00Z",125060
"2022-03-21T05:48:00Z",94895539
"2022-03-21T05:49:00Z",47864339
"2022-03-21T05:50:00Z",65559809
"2022-03-21T05:51:00Z",141907647
"2022-03-21T05:52:00Z",3373922
"2022-03-21T05:53:00Z",134542277
"2022-03-21T05:54:00Z",78430901
"2022-03-21T05:55:00Z",60649157
"2022-03-21T05:56:00Z",141562904
"2022-03-21T05:57:00Z",10257763
"2022-03-21T05:58:00Z",130033266
"2022-03-21T05:59:00Z",85705781
"2022-03-21T06:00:00Z",53709317
"2022-03-21T06:01:00Z",145027227
"2022-03-21T06:02:00Z",17458243
"2022-03-21T06:03:00Z",123218611
"2022-03-21T06:04:00Z",92958897
"2022-03-21T06:05:00Z",47097371
"2022-03-21T06:06:00Z",142723936
"2022-03-21T06:07:00Z",24284014
"2022-03-21T06:08:00Z",115388961
"2022-03-21T06:09:00Z",98638304
"2022-03-21T06:10:00Z",40562974
"2022-03-21T06:11:00Z",143503531
"2022-03-21T06:12:00Z",32750595
"2022-03-21T06:13:00Z",107621458
"2022-03-21T06:14:00Z",103411501
"2022-03-21T06:15:00Z",5252
"2022-03-21T06:16:00Z",25955642
"2022-03-21T06:17:00Z",141041272
"2022-03-21T06:18:00Z",140772688
"2022-03-21T06:19:00Z",141650823
"2022-03-21T06:20:00Z",141526495
"2022-03-21T06:21:00Z",122650702
"2022-03-21T06:22:00Z",17712344
"2022-03-21T06:23:00Z",143075627
"2022-03-21T06:24:00Z",142986808
"2022-03-21T06:25:00Z",142749644
"2022-03-21T06:26:00Z",141261079
"2022-03-21T06:27:00Z",124329721
"2022-03-21T06:28:00Z",14723301
"2022-03-21T06:29:00Z",143085685
"2022-03-21T06:30:00Z",141576350
"2022-03-21T06:31:00Z",143081414
"2022-03-21T06:32:00Z",143644544
"2022-03-21T06:33:00Z",127663949
"2022-03-21T06:34:00Z",11065255
"2022-03-21T06:35:00Z",142165336
"2022-03-21T06:36:00Z",143047219
"2022-03-21T06:37:00Z",143291791
"2022-03-21T06:38:00Z",142916364
"2022-03-21T06:39:00Z",128768727
"2022-03-21T06:40:00Z",1029
"2022-03-21T06:41:00Z",9276
"2022-03-21T06:42:00Z",3544
"2022-03-21T06:43:00Z",22781638
"2022-03-21T06:44:00Z",48670763
"2022-03-21T06:45:00Z",48694114
"2022-03-21T06:46:00Z",48685982
"2022-03-21T06:47:00Z",48566766
"2022-03-21T06:48:00Z",48593981
"2022-03-21T06:49:00Z",64208391
"2022-03-21T06:50:00Z",91806702
"2022-03-21T06:51:00Z",97438663
"2022-03-21T06:52:00Z",96838536
"2022-03-21T06:53:00Z",97575431
"2022-03-21T06:54:00Z",97415896
"2022-03-21T06:55:00Z",112287723
"2022-03-21T06:56:00Z",144472132
"2022-03-21T06:57:00Z",101514664
"2022-03-21T06:58:00Z",3782
"2022-03-21T06:59:00Z",3518
"2022-03-21T07:00:00Z",10910380
"2022-03-21T07:01:00Z",47314098
"2022-03-21T07:02:00Z",47076334
"2022-03-21T07:03:00Z",47475105
"2022-03-21T07:04:00Z",47130572
"2022-03-21T07:05:00Z",47218226
"2022-03-21T07:06:00Z",47286526
"2022-03-21T07:07:00Z",53828463
"2022-03-21T07:08:00Z",97143444
"2022-03-21T07:09:00Z",97245555
"2022-03-21T07:10:00Z",97000862
"2022-03-21T07:11:00Z",97409743
"2022-03-21T07:12:00Z",97443482
"2022-03-21T07:13:00Z",99898222
"2022-03-21T07:14:00Z",135186805
"2022-03-21T07:15:00Z",3866
"2022-03-21T07:16:00Z",3520
"2022-03-21T07:17:00Z",119580
"2022-03-21T07:18:00Z",48730455
"2022-03-21T07:19:00Z",48511495
"2022-03-21T07:20:00Z",48164207
"2022-03-21T07:21:00Z",48451586
"2022-03-21T07:22:00Z",48833581
"2022-03-21T07:23:00Z",93545497
"2022-03-21T07:24:00Z",97643928
"2022-03-21T07:25:00Z",95418544
"2022-03-21T07:26:00Z",96456925
"2022-03-21T07:27:00Z",96965847
"2022-03-21T07:28:00Z",96166283
"2022-03-21T07:29:00Z",139062265
"2022-03-21T07:30:00Z",143389538
"2022-03-21T07:31:00Z",146418132
"2022-03-21T07:32:00Z",24206895
"2022-03-21T07:33:00Z",5080
