"datetime","groupInServiceCapacity"
"2022-03-21T05:43:00Z",1
"2022-03-21T05:44:00Z",1
"2022-03-21T05:45:00Z",1
"2022-03-21T05:46:00Z",1
"2022-03-21T05:47:00Z",3
"2022-03-21T05:48:00Z",3
"2022-03-21T05:49:00Z",3
"2022-03-21T05:50:00Z",3
"2022-03-21T05:51:00Z",3
"2022-03-21T05:52:00Z",3
"2022-03-21T05:53:00Z",3
"2022-03-21T05:54:00Z",3
"2022-03-21T05:55:00Z",3
"2022-03-21T05:56:00Z",3
"2022-03-21T05:57:00Z",3
"2022-03-21T05:58:00Z",3
"2022-03-21T05:59:00Z",3
"2022-03-21T06:00:00Z",3
"2022-03-21T06:01:00Z",3
"2022-03-21T06:02:00Z",3
"2022-03-21T06:03:00Z",3
"2022-03-21T06:04:00Z",3
"2022-03-21T06:05:00Z",3
"2022-03-21T06:06:00Z",3
"2022-03-21T06:07:00Z",3
"2022-03-21T06:08:00Z",3
"2022-03-21T06:09:00Z",3
"2022-03-21T06:10:00Z",3
"2022-03-21T06:11:00Z",3
"2022-03-21T06:12:00Z",3
"2022-03-21T06:13:00Z",3
"2022-03-21T06:14:00Z",3
"2022-03-21T06:15:00Z",3
"2022-03-21T06:16:00Z",3
"2022-03-21T06:17:00Z",3
"2022-03-21T06:18:00Z",3
"2022-03-21T06:19:00Z",3
"2022-03-21T06:20:00Z",3
"2022-03-21T06:21:00Z",3
"2022-03-21T06:22:00Z",3
"2022-03-21T06:23:00Z",3
"2022-03-21T06:24:00Z",3
"2022-03-21T06:25:00Z",3
"2022-03-21T06:26:00Z",3
"2022-03-21T06:27:00Z",3
"2022-03-21T06:28:00Z",3
"2022-03-21T06:29:00Z",3
"2022-03-21T06:30:00Z",3
"2022-03-21T06:31:00Z",3
"2022-03-21T06:32:00Z",3
"2022-03-21T06:33:00Z",3
"2022-03-21T06:34:00Z",3
"2022-03-21T06:36:00Z",3
"2022-03-21T06:37:00Z",3
"2022-03-21T06:38:00Z",3
"2022-03-21T06:39:00Z",3
"2022-03-21T06:40:00Z",0
"2022-03-21T06:41:00Z",1
"2022-03-21T06:42:00Z",1
"2022-03-21T06:43:00Z",1
"2022-03-21T06:44:00Z",1
"2022-03-21T06:45:00Z",1
"2022-03-21T06:46:00Z",1
"2022-03-21T06:47:00Z",1
"2022-03-21T06:48:00Z",1
"2022-03-21T06:49:00Z",2
"2022-03-21T06:50:00Z",2
"2022-03-21T06:51:00Z",2
"2022-03-21T06:52:00Z",2
"2022-03-21T06:53:00Z",2
"2022-03-21T06:54:00Z",2
"2022-03-21T06:55:00Z",3
"2022-03-21T06:56:00Z",3
"2022-03-21T06:57:00Z",3
"2022-03-21T06:58:00Z",1
"2022-03-21T06:59:00Z",1
"2022-03-21T07:00:00Z",1
"2022-03-21T07:01:00Z",1
"2022-03-21T07:02:00Z",1
"2022-03-21T07:03:00Z",1
"2022-03-21T07:04:00Z",1
"2022-03-21T07:05:00Z",1
"2022-03-21T07:06:00Z",1
"2022-03-21T07:07:00Z",2
"2022-03-21T07:08:00Z",2
"2022-03-21T07:09:00Z",2
"2022-03-21T07:10:00Z",2
"2022-03-21T07:11:00Z",2
"2022-03-21T07:12:00Z",2
"2022-03-21T07:13:00Z",3
"2022-03-21T07:14:00Z",3
"2022-03-21T07:15:00Z",1
"2022-03-21T07:16:00Z",1
"2022-03-21T07:17:00Z",1
"2022-03-21T07:18:00Z",1
"2022-03-21T07:19:00Z",1
"2022-03-21T07:20:00Z",1
"2022-03-21T07:21:00Z",1
"2022-03-21T07:22:00Z",2
"2022-03-21T07:23:00Z",2
"2022-03-21T07:24:00Z",2
"2022-03-21T07:25:00Z",2
"2022-03-21T07:26:00Z",2
"2022-03-21T07:27:00Z",2
"2022-03-21T07:28:00Z",3
"2022-03-21T07:29:00Z",3
"2022-03-21T07:30:00Z",3
"2022-03-21T07:31:00Z",3
"2022-03-21T07:32:00Z",3
"2022-03-21T07:33:00Z",3
"2022-03-21T07:34:00Z",3
