"datetime","estimatedProcessedBytes"
"2022-03-21T08:29:00Z",88
"2022-03-21T08:30:00Z",1222721
"2022-03-21T08:31:00Z",48549896
"2022-03-21T08:32:00Z",22808838
"2022-03-21T08:33:00Z",40111849
"2022-03-21T08:34:00Z",95970756
"2022-03-21T08:35:00Z",6529472
"2022-03-21T08:36:00Z",115644593
"2022-03-21T08:37:00Z",96888142
"2022-03-21T08:38:00Z",32778450
"2022-03-21T08:39:00Z",157750093
"2022-03-21T08:40:00Z",45056435
"2022-03-21T08:41:00Z",97216698
"2022-03-21T08:42:00Z",145741309
"2022-03-21T08:43:00Z",2145412
"2022-03-21T08:44:00Z",161947957
"2022-03-21T08:45:00Z",82992167
"2022-03-21T08:46:00Z",63327754
"2022-03-21T08:47:00Z",161008781
"2022-03-21T08:48:00Z",15670151
"2022-03-21T08:49:00Z",128759193
"2022-03-21T08:50:00Z",119902167
"2022-03-21T08:51:00Z",28265617
"2022-03-21T08:52:00Z",170355637
"2022-03-21T08:53:00Z",56670557
"2022-03-21T08:54:00Z",94789166
"2022-03-21T08:55:00Z",157994331
"2022-03-21T08:56:00Z",2378
"2022-03-21T08:57:00Z",156052917
"2022-03-21T08:58:00Z",89356885
"2022-03-21T08:59:00Z",2378
"2022-03-21T09:00:00Z",43963866
"2022-03-21T09:01:00Z",147770796
"2022-03-21T09:02:00Z",159028893
"2022-03-21T09:03:00Z",151149875
"2022-03-21T09:04:00Z",139957822
"2022-03-21T09:05:00Z",153853675
"2022-03-21T09:06:00Z",6768384
"2022-03-21T09:07:00Z",167223919
"2022-03-21T09:08:00Z",169839689
"2022-03-21T09:09:00Z",170411614
"2022-03-21T09:10:00Z",165979950
"2022-03-21T09:11:00Z",158086026
"2022-03-21T09:12:00Z",2378
"2022-03-21T09:13:00Z",147114399
"2022-03-21T09:14:00Z",157261484
"2022-03-21T09:15:00Z",157990297
"2022-03-21T09:16:00Z",159083508
"2022-03-21T09:17:00Z",158984449
"2022-03-21T09:18:00Z",8453667
"2022-03-21T09:19:00Z",136140282
"2022-03-21T09:20:00Z",165558702
"2022-03-21T09:21:00Z",165377662
"2022-03-21T09:22:00Z",165406465
"2022-03-21T09:23:00Z",165479308
"2022-03-21T09:24:00Z",26718003
"2022-03-21T09:25:00Z",1648
"2022-03-21T09:26:00Z",1706
"2022-03-21T09:27:00Z",17895299
"2022-03-21T09:28:00Z",49905328
"2022-03-21T09:29:00Z",57443516
"2022-03-21T09:30:00Z",56581612
"2022-03-21T09:31:00Z",65885544
"2022-03-21T09:32:00Z",110940227
"2022-03-21T09:33:00Z",113781086
"2022-03-21T09:34:00Z",158339955
"2022-03-21T09:35:00Z",169168467
"2022-03-21T09:36:00Z",152829108
"2022-03-21T09:37:00Z",154701955
"2022-03-21T09:38:00Z",154719118
"2022-03-21T09:39:00Z",136029836
"2022-03-21T09:40:00Z",154008792
"2022-03-21T09:41:00Z",156043255
"2022-03-21T09:42:00Z",52147454
"2022-03-21T09:43:00Z",2164
"2022-03-21T09:44:00Z",2096
"2022-03-21T09:45:00Z",12491236
"2022-03-21T09:46:00Z",47522323
"2022-03-21T09:47:00Z",75020542
"2022-03-21T09:48:00Z",112379860
"2022-03-21T09:49:00Z",114082895
"2022-03-21T09:50:00Z",160522251
"2022-03-21T09:51:00Z",165209456
"2022-03-21T09:52:00Z",168238920
"2022-03-21T09:53:00Z",165698885
"2022-03-21T09:54:00Z",160115369
"2022-03-21T09:55:00Z",160836233
"2022-03-21T09:56:00Z",156890583
"2022-03-21T09:57:00Z",158198171
"2022-03-21T09:58:00Z",163805499
"2022-03-21T09:59:00Z",159573564
"2022-03-21T10:00:00Z",73998776
"2022-03-21T10:01:00Z",2698
"2022-03-21T10:02:00Z",1706
"2022-03-21T10:03:00Z",1706
"2022-03-21T10:04:00Z",9891049
"2022-03-21T10:05:00Z",47856376
"2022-03-21T10:06:00Z",56850712
"2022-03-21T10:07:00Z",58901004
"2022-03-21T10:08:00Z",114190723
"2022-03-21T10:09:00Z",117620645
"2022-03-21T10:10:00Z",112522574
"2022-03-21T10:11:00Z",113442153
"2022-03-21T10:12:00Z",159956423
"2022-03-21T10:13:00Z",169409847
"2022-03-21T10:14:00Z",156407942
"2022-03-21T10:15:00Z",154276796
"2022-03-21T10:16:00Z",155310403
"2022-03-21T10:17:00Z",152576834
"2022-03-21T10:18:00Z",158319464
"2022-03-21T10:19:00Z",84143549
"2022-03-21T10:20:00Z",1488
"2022-03-21T10:21:00Z",1488
