"datetime","groupDesiredCapacity"
"2022-03-21T08:25:00Z",1
"2022-03-21T08:26:00Z",1
"2022-03-21T08:27:00Z",1
"2022-03-21T08:28:00Z",1
"2022-03-21T08:29:00Z",3
"2022-03-21T08:30:00Z",3
"2022-03-21T08:31:00Z",3
"2022-03-21T08:32:00Z",3
"2022-03-21T08:33:00Z",3
"2022-03-21T08:34:00Z",3
"2022-03-21T08:35:00Z",3
"2022-03-21T08:36:00Z",3
"2022-03-21T08:37:00Z",3
"2022-03-21T08:38:00Z",3
"2022-03-21T08:39:00Z",3
"2022-03-21T08:40:00Z",3
"2022-03-21T08:41:00Z",3
"2022-03-21T08:42:00Z",3
"2022-03-21T08:43:00Z",3
"2022-03-21T08:44:00Z",3
"2022-03-21T08:45:00Z",3
"2022-03-21T08:46:00Z",3
"2022-03-21T08:47:00Z",3
"2022-03-21T08:48:00Z",3
"2022-03-21T08:49:00Z",3
"2022-03-21T08:50:00Z",3
"2022-03-21T08:51:00Z",3
"2022-03-21T08:52:00Z",3
"2022-03-21T08:53:00Z",3
"2022-03-21T08:54:00Z",3
"2022-03-21T08:55:00Z",3
"2022-03-21T08:56:00Z",3
"2022-03-21T08:57:00Z",3
"2022-03-21T08:58:00Z",3
"2022-03-21T08:59:00Z",3
"2022-03-21T09:00:00Z",3
"2022-03-21T09:01:00Z",3
"2022-03-21T09:02:00Z",3
"2022-03-21T09:03:00Z",3
"2022-03-21T09:04:00Z",3
"2022-03-21T09:05:00Z",3
"2022-03-21T09:06:00Z",3
"2022-03-21T09:07:00Z",3
"2022-03-21T09:08:00Z",3
"2022-03-21T09:09:00Z",3
"2022-03-21T09:10:00Z",3
"2022-03-21T09:11:00Z",3
"2022-03-21T09:12:00Z",3
"2022-03-21T09:13:00Z",3
"2022-03-21T09:14:00Z",3
"2022-03-21T09:15:00Z",3
"2022-03-21T09:16:00Z",3
"2022-03-21T09:17:00Z",3
"2022-03-21T09:18:00Z",3
"2022-03-21T09:19:00Z",3
"2022-03-21T09:20:00Z",3
"2022-03-21T09:21:00Z",3
"2022-03-21T09:22:00Z",3
"2022-03-21T09:23:00Z",1
"2022-03-21T09:24:00Z",1
"2022-03-21T09:25:00Z",1
"2022-03-21T09:26:00Z",1
"2022-03-21T09:27:00Z",1
"2022-03-21T09:28:00Z",2
"2022-03-21T09:29:00Z",2
"2022-03-21T09:30:00Z",2
"2022-03-21T09:31:00Z",3
"2022-03-21T09:32:00Z",3
"2022-03-21T09:33:00Z",3
"2022-03-21T09:34:00Z",3
"2022-03-21T09:35:00Z",3
"2022-03-21T09:36:00Z",3
"2022-03-21T09:37:00Z",3
"2022-03-21T09:38:00Z",3
"2022-03-21T09:39:00Z",3
"2022-03-21T09:40:00Z",3
"2022-03-21T09:41:00Z",1
"2022-03-21T09:42:00Z",1
"2022-03-21T09:43:00Z",1
"2022-03-21T09:44:00Z",1
"2022-03-21T09:45:00Z",2
"2022-03-21T09:46:00Z",2
"2022-03-21T09:47:00Z",3
"2022-03-21T09:48:00Z",3
"2022-03-21T09:49:00Z",3
"2022-03-21T09:50:00Z",3
"2022-03-21T09:51:00Z",3
"2022-03-21T09:52:00Z",3
"2022-03-21T09:53:00Z",3
"2022-03-21T09:54:00Z",3
"2022-03-21T09:55:00Z",3
"2022-03-21T09:56:00Z",3
"2022-03-21T09:57:00Z",3
"2022-03-21T09:58:00Z",3
"2022-03-21T09:59:00Z",3
"2022-03-21T10:00:00Z",1
"2022-03-21T10:01:00Z",1
"2022-03-21T10:02:00Z",1
"2022-03-21T10:03:00Z",1
"2022-03-21T10:04:00Z",1
"2022-03-21T10:05:00Z",2
"2022-03-21T10:06:00Z",2
"2022-03-21T10:07:00Z",3
"2022-03-21T10:08:00Z",3
"2022-03-21T10:09:00Z",3
"2022-03-21T10:10:00Z",3
"2022-03-21T10:11:00Z",3
"2022-03-21T10:12:00Z",3
"2022-03-21T10:13:00Z",3
"2022-03-21T10:14:00Z",3
"2022-03-21T10:15:00Z",3
"2022-03-21T10:16:00Z",3
"2022-03-21T10:17:00Z",3
"2022-03-21T10:18:00Z",3
"2022-03-21T10:19:00Z",3
"2022-03-21T10:20:00Z",3
"2022-03-21T10:21:00Z",3
