"datetime","estimatedALBActiveConnectionCount"
"2022-03-22T19:49:00Z",66.5
"2022-03-22T19:50:00Z",67
"2022-03-22T19:51:00Z",7.5
"2022-03-22T19:52:00Z",70
"2022-03-22T19:53:00Z",67
"2022-03-22T19:54:00Z",23.75
"2022-03-22T19:55:00Z",7.25
"2022-03-22T19:56:00Z",38
"2022-03-22T19:57:00Z",38.5
"2022-03-22T19:58:00Z",7.25
"2022-03-22T19:59:00Z",38.25
"2022-03-22T20:00:00Z",38.75
"2022-03-22T20:01:00Z",7.5
"2022-03-22T20:02:00Z",23.5
"2022-03-22T20:03:00Z",40
"2022-03-22T20:04:00Z",40
"2022-03-22T20:05:00Z",7.75
"2022-03-22T20:06:00Z",40.25
"2022-03-22T20:07:00Z",39.5
"2022-03-22T20:08:00Z",7.666666666666667
"2022-03-22T20:09:00Z",29.666666666666668
"2022-03-22T20:10:00Z",29.666666666666668
"2022-03-22T20:11:00Z",7.666666666666667
"2022-03-22T20:12:00Z",29.166666666666668
"2022-03-22T20:13:00Z",29.5
"2022-03-22T20:14:00Z",7.5
"2022-03-22T20:15:00Z",30.166666666666668
"2022-03-22T20:16:00Z",30.333333333333332
"2022-03-22T20:17:00Z",8.6
"2022-03-22T20:18:00Z",7.5
"2022-03-22T20:19:00Z",31.166666666666668
"2022-03-22T20:20:00Z",30.5
"2022-03-22T20:21:00Z",7.333333333333333
"2022-03-22T20:22:00Z",30.333333333333332
"2022-03-22T20:23:00Z",30
"2022-03-22T20:24:00Z",7.333333333333333
"2022-03-22T20:25:00Z",7.333333333333333
"2022-03-22T20:26:00Z",7.333333333333333
"2022-03-22T20:27:00Z",30.666666666666668
"2022-03-22T20:28:00Z",30.666666666666668
"2022-03-22T20:29:00Z",30.666666666666668
"2022-03-22T20:30:00Z",30.833333333333332
"2022-03-22T20:31:00Z",30.166666666666668
"2022-03-22T20:32:00Z",8
"2022-03-22T20:33:00Z",43.75
"2022-03-22T20:34:00Z",43.75
"2022-03-22T20:35:00Z",43.25
"2022-03-22T20:36:00Z",43
"2022-03-22T20:37:00Z",41.75
"2022-03-22T20:38:00Z",7.5
"2022-03-22T20:39:00Z",42
"2022-03-22T20:40:00Z",42.25
"2022-03-22T20:41:00Z",42.5
"2022-03-22T20:42:00Z",42.5
"2022-03-22T20:43:00Z",42
"2022-03-22T20:44:00Z",11
"2022-03-22T20:45:00Z",80
"2022-03-22T20:46:00Z",80.5
"2022-03-22T20:47:00Z",77
"2022-03-22T20:48:00Z",78
"2022-03-22T20:49:00Z",77
"2022-03-22T20:50:00Z",8
"2022-03-22T20:51:00Z",3.5
"2022-03-22T20:52:00Z",3.5
"2022-03-22T20:53:00Z",3.5
"2022-03-22T20:54:00Z",73.5
"2022-03-22T20:55:00Z",72.5
"2022-03-22T20:56:00Z",112
"2022-03-22T20:57:00Z",77
"2022-03-22T20:58:00Z",76
"2022-03-22T20:59:00Z",77
"2022-03-22T21:00:00Z",77
"2022-03-22T21:01:00Z",77
"2022-03-22T21:02:00Z",75.5
"2022-03-22T21:03:00Z",77
"2022-03-22T21:04:00Z",76.5
"2022-03-22T21:05:00Z",77.5
"2022-03-22T21:06:00Z",77.5
"2022-03-22T21:07:00Z",76.5
"2022-03-22T21:08:00Z",8
"2022-03-22T21:09:00Z",6
"2022-03-22T21:10:00Z",4
"2022-03-22T21:11:00Z",4
"2022-03-22T21:12:00Z",74
"2022-03-22T21:13:00Z",74
"2022-03-22T21:14:00Z",78
"2022-03-22T21:15:00Z",78
"2022-03-22T21:16:00Z",77.5
"2022-03-22T21:17:00Z",77.5
"2022-03-22T21:18:00Z",77.5
"2022-03-22T21:19:00Z",77
"2022-03-22T21:20:00Z",78
"2022-03-22T21:21:00Z",78
"2022-03-22T21:22:00Z",66
"2022-03-22T21:23:00Z",43
"2022-03-22T21:24:00Z",78
"2022-03-22T21:25:00Z",78
"2022-03-22T21:26:00Z",77.5
"2022-03-22T21:27:00Z",6
"2022-03-22T21:28:00Z",5
"2022-03-22T21:29:00Z",4
"2022-03-22T21:30:00Z",73.5
"2022-03-22T21:31:00Z",38
"2022-03-22T21:32:00Z",38
"2022-03-22T21:33:00Z",72
"2022-03-22T21:34:00Z",80
"2022-03-22T21:35:00Z",76
"2022-03-22T21:36:00Z",77
"2022-03-22T21:37:00Z",77
"2022-03-22T21:38:00Z",76
"2022-03-22T21:39:00Z",76.5
"2022-03-22T21:40:00Z",76.5
"2022-03-22T21:41:00Z",76.5
"2022-03-22T21:42:00Z",77.5
"2022-03-22T21:43:00Z",76.5
"2022-03-22T21:44:00Z",77.5
"2022-03-22T21:45:00Z",8
"2022-03-22T21:46:00Z",8
"2022-03-22T21:47:00Z",8
