"datetime","estimatedALBActiveConnectionCount"
"2022-03-22T23:33:00Z",3
"2022-03-22T23:34:00Z",3
"2022-03-22T23:35:00Z",3
"2022-03-22T23:36:00Z",4.5
"2022-03-22T23:37:00Z",15
"2022-03-22T23:38:00Z",67
"2022-03-22T23:39:00Z",68
"2022-03-22T23:40:00Z",8
"2022-03-22T23:41:00Z",39
"2022-03-22T23:42:00Z",23.75
"2022-03-22T23:43:00Z",23
"2022-03-22T23:44:00Z",39.25
"2022-03-22T23:45:00Z",39.25
"2022-03-22T23:46:00Z",8.25
"2022-03-22T23:47:00Z",39.75
"2022-03-22T23:48:00Z",39.75
"2022-03-22T23:49:00Z",24.75
"2022-03-22T23:50:00Z",7
"2022-03-22T23:51:00Z",29.833333333333332
"2022-03-22T23:52:00Z",19.166666666666668
"2022-03-22T23:53:00Z",19.833333333333332
"2022-03-22T23:54:00Z",29.833333333333332
"2022-03-22T23:55:00Z",19.333333333333332
"2022-03-22T23:56:00Z",12.333333333333334
"2022-03-22T23:57:00Z",30.666666666666668
"2022-03-22T23:58:00Z",30.833333333333332
"2022-03-22T23:59:00Z",20.5
"2022-03-23T00:00:00Z",10.166666666666666
"2022-03-23T00:01:00Z",26.142857142857142
"2022-03-23T00:02:00Z",8.625
"2022-03-23T00:03:00Z",16.625
"2022-03-23T00:04:00Z",28.285714285714285
"2022-03-23T00:05:00Z",20.5
"2022-03-23T00:06:00Z",21
"2022-03-23T00:07:00Z",31.5
"2022-03-23T00:08:00Z",31.833333333333332
"2022-03-23T00:09:00Z",9
"2022-03-23T00:10:00Z",32.333333333333336
"2022-03-23T00:11:00Z",32.333333333333336
"2022-03-23T00:12:00Z",9
"2022-03-23T00:13:00Z",9.166666666666666
"2022-03-23T00:14:00Z",33.4
"2022-03-23T00:15:00Z",45.25
"2022-03-23T00:16:00Z",43.5
"2022-03-23T00:17:00Z",42
"2022-03-23T00:18:00Z",43
"2022-03-23T00:19:00Z",26.5
"2022-03-23T00:20:00Z",26
"2022-03-23T00:21:00Z",43.5
"2022-03-23T00:22:00Z",43.25
"2022-03-23T00:23:00Z",43.75
"2022-03-23T00:24:00Z",79.5
"2022-03-23T00:25:00Z",46
"2022-03-23T00:26:00Z",44
"2022-03-23T00:27:00Z",79
"2022-03-23T00:28:00Z",78
"2022-03-23T00:29:00Z",78.5
"2022-03-23T00:30:00Z",76
"2022-03-23T00:31:00Z",44
"2022-03-23T00:32:00Z",44
"2022-03-23T00:33:00Z",78
"2022-03-23T00:34:00Z",77.5
"2022-03-23T00:35:00Z",78.5
"2022-03-23T00:36:00Z",77.5
"2022-03-23T00:37:00Z",43.5
"2022-03-23T00:38:00Z",5.5
"2022-03-23T00:39:00Z",3.5
"2022-03-23T00:40:00Z",3
"2022-03-23T00:41:00Z",38
"2022-03-23T00:42:00Z",72
"2022-03-23T00:43:00Z",73
"2022-03-23T00:44:00Z",73
"2022-03-23T00:45:00Z",72.5
"2022-03-23T00:46:00Z",94
"2022-03-23T00:47:00Z",96
"2022-03-23T00:48:00Z",75
"2022-03-23T00:49:00Z",78
"2022-03-23T00:50:00Z",77
"2022-03-23T00:51:00Z",78
"2022-03-23T00:52:00Z",77
"2022-03-23T00:53:00Z",78
"2022-03-23T00:54:00Z",78
"2022-03-23T00:55:00Z",43
"2022-03-23T00:56:00Z",6
"2022-03-23T00:57:00Z",4
"2022-03-23T00:58:00Z",25.5
"2022-03-23T00:59:00Z",111.5
"2022-03-23T01:00:00Z",113.5
"2022-03-23T01:01:00Z",78
"2022-03-23T01:02:00Z",78
"2022-03-23T01:03:00Z",77.5
"2022-03-23T01:04:00Z",76
"2022-03-23T01:05:00Z",78.5
"2022-03-23T01:06:00Z",79
"2022-03-23T01:07:00Z",79
"2022-03-23T01:08:00Z",78
"2022-03-23T01:09:00Z",78.5
"2022-03-23T01:10:00Z",76
"2022-03-23T01:11:00Z",78
"2022-03-23T01:12:00Z",78.5
"2022-03-23T01:13:00Z",6.5
"2022-03-23T01:14:00Z",4.5
"2022-03-23T01:15:00Z",4.5
"2022-03-23T01:16:00Z",74.5
"2022-03-23T01:17:00Z",74.5
"2022-03-23T01:18:00Z",72
"2022-03-23T01:19:00Z",73
"2022-03-23T01:20:00Z",74.5
"2022-03-23T01:21:00Z",95.5
"2022-03-23T01:22:00Z",95.5
"2022-03-23T01:23:00Z",77.5
"2022-03-23T01:24:00Z",77.5
"2022-03-23T01:25:00Z",76.5
"2022-03-23T01:26:00Z",72.5
"2022-03-23T01:27:00Z",42.5
"2022-03-23T01:28:00Z",75.5
"2022-03-23T01:29:00Z",77
"2022-03-23T01:30:00Z",43
"2022-03-23T01:31:00Z",8
"2022-03-23T01:32:00Z",8
