"datetime","estimatedALBConsumedLCUs"
"2022-03-22T23:33:00Z",0.00022
"2022-03-22T23:34:00Z",0.00062
"2022-03-22T23:35:00Z",0.00027
"2022-03-22T23:36:00Z",0.00032
"2022-03-22T23:37:00Z",0.00168
"2022-03-22T23:38:00Z",0.1961
"2022-03-22T23:39:00Z",0.0606
"2022-03-22T23:40:00Z",0.05154
"2022-03-22T23:41:00Z",0.35627
"2022-03-22T23:42:00Z",0.74432
"2022-03-22T23:43:00Z",0.65076
"2022-03-22T23:44:00Z",0.36352
"2022-03-22T23:45:00Z",0.75963
"2022-03-22T23:46:00Z",0.76133
"2022-03-22T23:47:00Z",0.48983
"2022-03-22T23:48:00Z",0.59665
"2022-03-22T23:49:00Z",0.76033
"2022-03-22T23:50:00Z",0.27017
"2022-03-22T23:51:00Z",0.34798
"2022-03-22T23:52:00Z",0.73266
"2022-03-22T23:53:00Z",0.62543
"2022-03-22T23:54:00Z",0.36621
"2022-03-22T23:55:00Z",0.72864
"2022-03-22T23:56:00Z",0.72013
"2022-03-22T23:57:00Z",0.54126
"2022-03-22T23:58:00Z",0.68408
"2022-03-22T23:59:00Z",0.73049
"2022-03-23T00:00:00Z",0.61301
"2022-03-23T00:01:00Z",0.70538
"2022-03-23T00:02:00Z",1.20674
"2022-03-23T00:03:00Z",0.66866
"2022-03-23T00:04:00Z",0.26253
"2022-03-23T00:05:00Z",0.84445
"2022-03-23T00:06:00Z",0.72892
"2022-03-23T00:07:00Z",0.40879
"2022-03-23T00:08:00Z",0.85429
"2022-03-23T00:09:00Z",0.85565
"2022-03-23T00:10:00Z",0.38222
"2022-03-23T00:11:00Z",0.65236
"2022-03-23T00:12:00Z",0.87726
"2022-03-23T00:13:00Z",0.5592
"2022-03-23T00:14:00Z",0.18368
"2022-03-23T00:15:00Z",0.41164
"2022-03-23T00:16:00Z",0.85935
"2022-03-23T00:17:00Z",0.86329
"2022-03-23T00:18:00Z",0.87205
"2022-03-23T00:19:00Z",0.87059
"2022-03-23T00:20:00Z",0.63871
"2022-03-23T00:21:00Z",0.41906
"2022-03-23T00:22:00Z",0.8757
"2022-03-23T00:23:00Z",0.88087
"2022-03-23T00:24:00Z",0.88447
"2022-03-23T00:25:00Z",0.88149
"2022-03-23T00:26:00Z",0.64418
"2022-03-23T00:27:00Z",0.42238
"2022-03-23T00:28:00Z",0.88257
"2022-03-23T00:29:00Z",0.88365
"2022-03-23T00:30:00Z",0.88801
"2022-03-23T00:31:00Z",0.88043
"2022-03-23T00:32:00Z",0.74864
"2022-03-23T00:33:00Z",0.42194
"2022-03-23T00:34:00Z",0.88175
"2022-03-23T00:35:00Z",0.88164
"2022-03-23T00:36:00Z",0.87699
"2022-03-23T00:37:00Z",0.87212
"2022-03-23T00:38:00Z",0.84497
"2022-03-23T00:39:00Z",0.27576
"2022-03-23T00:40:00Z",0.00068
"2022-03-23T00:41:00Z",0.04446
"2022-03-23T00:42:00Z",0.13284
"2022-03-23T00:43:00Z",0.27619
"2022-03-23T00:44:00Z",0.28019
"2022-03-23T00:45:00Z",0.28248
"2022-03-23T00:46:00Z",0.28084
"2022-03-23T00:47:00Z",0.28326
"2022-03-23T00:48:00Z",0.56647
"2022-03-23T00:49:00Z",0.6113
"2022-03-23T00:50:00Z",0.61574
"2022-03-23T00:51:00Z",0.61074
"2022-03-23T00:52:00Z",0.61435
"2022-03-23T00:53:00Z",0.60962
"2022-03-23T00:54:00Z",0.88738
"2022-03-23T00:55:00Z",0.88555
"2022-03-23T00:56:00Z",0.76233
"2022-03-23T00:57:00Z",0.19352
"2022-03-23T00:58:00Z",0.00079
"2022-03-23T00:59:00Z",0.15123
"2022-03-23T01:00:00Z",0.30776
"2022-03-23T01:01:00Z",0.58011
"2022-03-23T01:02:00Z",0.63372
"2022-03-23T01:03:00Z",0.63419
"2022-03-23T01:04:00Z",0.62813
"2022-03-23T01:05:00Z",0.63184
"2022-03-23T01:06:00Z",0.63537
"2022-03-23T01:07:00Z",0.84998
"2022-03-23T01:08:00Z",0.90934
"2022-03-23T01:09:00Z",0.90596
"2022-03-23T01:10:00Z",0.89715
"2022-03-23T01:11:00Z",0.90162
"2022-03-23T01:12:00Z",0.90762
"2022-03-23T01:13:00Z",0.90927
"2022-03-23T01:14:00Z",0.41785
"2022-03-23T01:15:00Z",0.00034
"2022-03-23T01:16:00Z",0.08692
"2022-03-23T01:17:00Z",0.18066
"2022-03-23T01:18:00Z",0.28133
"2022-03-23T01:19:00Z",0.28794
"2022-03-23T01:20:00Z",0.28647
"2022-03-23T01:21:00Z",0.28167
"2022-03-23T01:22:00Z",0.42257
"2022-03-23T01:23:00Z",0.63058
"2022-03-23T01:24:00Z",0.62993
"2022-03-23T01:25:00Z",0.63207
"2022-03-23T01:26:00Z",0.62798
"2022-03-23T01:27:00Z",0.62612
"2022-03-23T01:28:00Z",0.70697
"2022-03-23T01:29:00Z",0.87725
"2022-03-23T01:30:00Z",0.88719
"2022-03-23T01:31:00Z",0.61643
"2022-03-23T01:32:00Z",0.01894
