"datetime","estimatedALBConsumedLCUs"
"2022-03-24T01:17:00Z",3e-05
"2022-03-24T01:18:00Z",0.00074
"2022-03-24T01:19:00Z",0.08922
"2022-03-24T01:20:00Z",0.18322
"2022-03-24T01:21:00Z",0.33203
"2022-03-24T01:22:00Z",0.00027
"2022-03-24T01:23:00Z",0.17707
"2022-03-24T01:24:00Z",0.36061
"2022-03-24T01:25:00Z",0.28388
"2022-03-24T01:26:00Z",0.07399
"2022-03-24T01:27:00Z",0.35913
"2022-03-24T01:28:00Z",0.36398
"2022-03-24T01:29:00Z",0.02326
"2022-03-24T01:30:00Z",0.33913
"2022-03-24T01:31:00Z",0.36194
"2022-03-24T01:32:00Z",0.12001
"2022-03-24T01:33:00Z",0.23974
"2022-03-24T01:34:00Z",0.36214
"2022-03-24T01:35:00Z",0.18118
"2022-03-24T01:36:00Z",0.3494
"2022-03-24T01:37:00Z",0.37179
"2022-03-24T01:38:00Z",0.28248
"2022-03-24T01:39:00Z",0.34637
"2022-03-24T01:40:00Z",0.36543
"2022-03-24T01:41:00Z",0.36578
"2022-03-24T01:42:00Z",0.23839
"2022-03-24T01:43:00Z",0.36078
"2022-03-24T01:44:00Z",0.36823
"2022-03-24T01:45:00Z",0.14489
"2022-03-24T01:46:00Z",0.35582
"2022-03-24T01:47:00Z",0.359
"2022-03-24T01:48:00Z",0.22902
"2022-03-24T01:49:00Z",0.36089
"2022-03-24T01:50:00Z",0.36041
"2022-03-24T01:51:00Z",0.32817
"2022-03-24T01:52:00Z",0.30025
"2022-03-24T01:53:00Z",0.36154
"2022-03-24T01:54:00Z",0.36593
"2022-03-24T01:55:00Z",0.07142
"2022-03-24T01:56:00Z",0.18272
"2022-03-24T01:57:00Z",0.34123
"2022-03-24T01:58:00Z",0.34609
"2022-03-24T01:59:00Z",0.34595
"2022-03-24T02:00:00Z",0.34659
"2022-03-24T02:01:00Z",0.33613
"2022-03-24T02:02:00Z",0.2141
"2022-03-24T02:03:00Z",0.35841
"2022-03-24T02:04:00Z",0.36954
"2022-03-24T02:05:00Z",0.36393
"2022-03-24T02:06:00Z",0.36588
"2022-03-24T02:07:00Z",0.36839
"2022-03-24T02:08:00Z",0.2354
"2022-03-24T02:09:00Z",0.3626
"2022-03-24T02:10:00Z",0.36456
"2022-03-24T02:11:00Z",0.36848
"2022-03-24T02:12:00Z",0.36308
"2022-03-24T02:13:00Z",0.35895
"2022-03-24T02:14:00Z",0.28408
"2022-03-24T02:15:00Z",0.34099
"2022-03-24T02:16:00Z",0.36846
"2022-03-24T02:17:00Z",0.36253
"2022-03-24T02:18:00Z",0.36244
"2022-03-24T02:19:00Z",0.37047
"2022-03-24T02:20:00Z",0.31661
"2022-03-24T02:21:00Z",0.0008
"2022-03-24T02:22:00Z",0.00032
"2022-03-24T02:23:00Z",0.05106
"2022-03-24T02:24:00Z",0.13091
"2022-03-24T02:25:00Z",0.16213
"2022-03-24T02:26:00Z",0.22398
"2022-03-24T02:27:00Z",0.24049
"2022-03-24T02:28:00Z",0.24224
"2022-03-24T02:29:00Z",0.23748
"2022-03-24T02:30:00Z",0.28184
"2022-03-24T02:31:00Z",0.34532
"2022-03-24T02:32:00Z",0.35067
"2022-03-24T02:33:00Z",0.35438
"2022-03-24T02:34:00Z",0.34806
"2022-03-24T02:35:00Z",0.33902
"2022-03-24T02:36:00Z",0.34929
"2022-03-24T02:37:00Z",0.34344
"2022-03-24T02:38:00Z",0.33982
"2022-03-24T02:39:00Z",0.04444
"2022-03-24T02:40:00Z",0.00026
"2022-03-24T02:41:00Z",0.00083
"2022-03-24T02:42:00Z",0.03629
"2022-03-24T02:43:00Z",0.11379
"2022-03-24T02:44:00Z",0.14528
"2022-03-24T02:45:00Z",0.20011
"2022-03-24T02:46:00Z",0.23313
"2022-03-24T02:47:00Z",0.24087
"2022-03-24T02:48:00Z",0.24285
"2022-03-24T02:49:00Z",0.27324
"2022-03-24T02:50:00Z",0.28972
"2022-03-24T02:51:00Z",0.33008
"2022-03-24T02:52:00Z",0.35933
"2022-03-24T02:53:00Z",0.33959
"2022-03-24T02:54:00Z",0.32782
"2022-03-24T02:55:00Z",0.33338
"2022-03-24T02:56:00Z",0.33153
"2022-03-24T02:57:00Z",0.33056
"2022-03-24T02:58:00Z",0.10297
"2022-03-24T02:59:00Z",0.00033
"2022-03-24T03:00:00Z",0.01536
"2022-03-24T03:01:00Z",0.11764
"2022-03-24T03:02:00Z",0.13041
"2022-03-24T03:03:00Z",0.13909
"2022-03-24T03:04:00Z",0.20483
"2022-03-24T03:05:00Z",0.24
"2022-03-24T03:06:00Z",0.2396
"2022-03-24T03:07:00Z",0.32728
"2022-03-24T03:08:00Z",0.34134
"2022-03-24T03:09:00Z",0.33644
"2022-03-24T03:10:00Z",0.34493
"2022-03-24T03:11:00Z",0.33116
"2022-03-24T03:12:00Z",0.34352
"2022-03-24T03:13:00Z",0.34808
"2022-03-24T03:14:00Z",0.34103
"2022-03-24T03:15:00Z",0.32852
"2022-03-24T03:16:00Z",0.16396
"2022-03-24T03:17:00Z",0.00041
