"datetime","estimatedProcessedBytes"
"2022-03-24T01:17:00Z",44
"2022-03-24T01:18:00Z",1840
"2022-03-24T01:19:00Z",268879428
"2022-03-24T01:20:00Z",645904467
"2022-03-24T01:21:00Z",1270
"2022-03-24T01:22:00Z",2596
"2022-03-24T01:23:00Z",719272262
"2022-03-24T01:24:00Z",525666792
"2022-03-24T01:25:00Z",111496805
"2022-03-24T01:26:00Z",711223544
"2022-03-24T01:27:00Z",702164750
"2022-03-24T01:28:00Z",23261121
"2022-03-24T01:29:00Z",630138046
"2022-03-24T01:30:00Z",715838358
"2022-03-24T01:31:00Z",198927613
"2022-03-24T01:32:00Z",4912
"2022-03-24T01:33:00Z",715685673
"2022-03-24T01:34:00Z",403896376
"2022-03-24T01:35:00Z",236363279
"2022-03-24T01:36:00Z",721195497
"2022-03-24T01:37:00Z",602168214
"2022-03-24T01:38:00Z",37820671
"2022-03-24T01:39:00Z",711797183
"2022-03-24T01:40:00Z",722889224
"2022-03-24T01:41:00Z",96361072
"2022-03-24T01:42:00Z",544942775
"2022-03-24T01:43:00Z",729016171
"2022-03-24T01:44:00Z",302052704
"2022-03-24T01:45:00Z",336913289
"2022-03-24T01:46:00Z",714827672
"2022-03-24T01:47:00Z",500918498
"2022-03-24T01:48:00Z",139405256
"2022-03-24T01:49:00Z",718112063
"2022-03-24T01:50:00Z",688576817
"2022-03-24T01:51:00Z",17140939
"2022-03-24T01:52:00Z",660984959
"2022-03-24T01:53:00Z",727476827
"2022-03-24T01:54:00Z",192089660
"2022-03-24T01:55:00Z",4774
"2022-03-24T01:56:00Z",421489956
"2022-03-24T01:57:00Z",679562789
"2022-03-24T01:58:00Z",692034826
"2022-03-24T01:59:00Z",683898157
"2022-03-24T02:00:00Z",668672764
"2022-03-24T02:01:00Z",472681325
"2022-03-24T02:02:00Z",201460482
"2022-03-24T02:03:00Z",727954641
"2022-03-24T02:04:00Z",721931317
"2022-03-24T02:05:00Z",724172594
"2022-03-24T02:06:00Z",728691267
"2022-03-24T02:07:00Z",516203737
"2022-03-24T02:08:00Z",119601926
"2022-03-24T02:09:00Z",727156629
"2022-03-24T02:10:00Z",725131746
"2022-03-24T02:11:00Z",719044560
"2022-03-24T02:12:00Z",715540125
"2022-03-24T02:13:00Z",606221073
"2022-03-24T02:14:00Z",36208237
"2022-03-24T02:15:00Z",709452120
"2022-03-24T02:16:00Z",718540394
"2022-03-24T02:17:00Z",717641006
"2022-03-24T02:18:00Z",730430428
"2022-03-24T02:19:00Z",660935723
"2022-03-24T02:20:00Z",13364299
"2022-03-24T02:21:00Z",1792
"2022-03-24T02:22:00Z",1706
"2022-03-24T02:23:00Z",114371200
"2022-03-24T02:24:00Z",255256649
"2022-03-24T02:25:00Z",321930514
"2022-03-24T02:26:00Z",436933775
"2022-03-24T02:27:00Z",479614813
"2022-03-24T02:28:00Z",475985306
"2022-03-24T02:29:00Z",479944351
"2022-03-24T02:30:00Z",579565490
"2022-03-24T02:31:00Z",679680992
"2022-03-24T02:32:00Z",684105089
"2022-03-24T02:33:00Z",687370941
"2022-03-24T02:34:00Z",687078281
"2022-03-24T02:35:00Z",686466091
"2022-03-24T02:36:00Z",665933997
"2022-03-24T02:37:00Z",683258728
"2022-03-24T02:38:00Z",145110733
"2022-03-24T02:39:00Z",2080
"2022-03-24T02:40:00Z",1798
"2022-03-24T02:41:00Z",1652
"2022-03-24T02:42:00Z",86881946
"2022-03-24T02:43:00Z",226482851
"2022-03-24T02:44:00Z",290546392
"2022-03-24T02:45:00Z",392587745
"2022-03-24T02:46:00Z",464668435
"2022-03-24T02:47:00Z",483720297
"2022-03-24T02:48:00Z",479004763
"2022-03-24T02:49:00Z",537271807
"2022-03-24T02:50:00Z",580747065
"2022-03-24T02:51:00Z",689403986
"2022-03-24T02:52:00Z",665226309
"2022-03-24T02:53:00Z",655773930
"2022-03-24T02:54:00Z",652807939
"2022-03-24T02:55:00Z",652768627
"2022-03-24T02:56:00Z",660080098
"2022-03-24T02:57:00Z",249308515
"2022-03-24T02:58:00Z",1706
"2022-03-24T02:59:00Z",1706
"2022-03-24T03:00:00Z",44971832
"2022-03-24T03:01:00Z",246223564
"2022-03-24T03:02:00Z",263663960
"2022-03-24T03:03:00Z",290895170
"2022-03-24T03:04:00Z",413937446
"2022-03-24T03:05:00Z",474903442
"2022-03-24T03:06:00Z",494666343
"2022-03-24T03:07:00Z",656467022
"2022-03-24T03:08:00Z",668549758
"2022-03-24T03:09:00Z",660466292
"2022-03-24T03:10:00Z",671786937
"2022-03-24T03:11:00Z",652742306
"2022-03-24T03:12:00Z",666559950
"2022-03-24T03:13:00Z",676218207
"2022-03-24T03:14:00Z",669548093
"2022-03-24T03:15:00Z",389603075
"2022-03-24T03:16:00Z",2680
"2022-03-24T03:17:00Z",2378
