"datetime","estimatedProcessedBytes"
"2022-03-24T20:05:00Z",422
"2022-03-24T20:06:00Z",12640
"2022-03-24T20:07:00Z",12566
"2022-03-24T20:08:00Z",13227
"2022-03-24T20:09:00Z",61475520
"2022-03-24T20:10:00Z",1211433676
"2022-03-24T20:11:00Z",786819756
"2022-03-24T20:12:00Z",149257986
"2022-03-24T20:13:00Z",932499026
"2022-03-24T20:14:00Z",1214829023
"2022-03-24T20:15:00Z",493037892
"2022-03-24T20:16:00Z",80060980
"2022-03-24T20:17:00Z",805869276
"2022-03-24T20:18:00Z",799378427
"2022-03-24T20:19:00Z",45933620
"2022-03-24T20:20:00Z",670493271
"2022-03-24T20:21:00Z",240350556
"2022-03-24T20:22:00Z",264123116
"2022-03-24T20:23:00Z",1346464800
"2022-03-24T20:24:00Z",1334923103
"2022-03-24T20:25:00Z",164365166
"2022-03-24T20:26:00Z",1045214954
"2022-03-24T20:27:00Z",1359556853
"2022-03-24T20:28:00Z",504755636
"2022-03-24T20:29:00Z",668558052
"2022-03-24T20:30:00Z",1354771942
"2022-03-24T20:31:00Z",429684256
"2022-03-24T20:32:00Z",27104
"2022-03-24T20:33:00Z",544025471
"2022-03-24T20:34:00Z",425397658
"2022-03-24T20:35:00Z",69873042
"2022-03-24T20:36:00Z",887699137
"2022-03-24T20:37:00Z",1528473073
"2022-03-24T20:38:00Z",812045633
"2022-03-24T20:39:00Z",478684881
"2022-03-24T20:40:00Z",1469634046
"2022-03-24T20:41:00Z",1102016540
"2022-03-24T20:42:00Z",469158029
"2022-03-24T20:43:00Z",1319819723
"2022-03-24T20:44:00Z",1276912858
"2022-03-24T20:45:00Z",369424433
"2022-03-24T20:46:00Z",156046051
"2022-03-24T20:47:00Z",1017466873
"2022-03-24T20:48:00Z",1513528150
"2022-03-24T20:49:00Z",1519352827
"2022-03-24T20:50:00Z",1498663986
"2022-03-24T20:51:00Z",1380084371
"2022-03-24T20:52:00Z",629064742
"2022-03-24T20:53:00Z",890975461
"2022-03-24T20:54:00Z",1535507316
"2022-03-24T20:55:00Z",1523013422
"2022-03-24T20:56:00Z",1513044072
"2022-03-24T20:57:00Z",1461639968
"2022-03-24T20:58:00Z",643602391
"2022-03-24T20:59:00Z",813168168
"2022-03-24T21:00:00Z",1477716679
"2022-03-24T21:01:00Z",1533993305
"2022-03-24T21:02:00Z",1543786976
"2022-03-24T21:03:00Z",1522035805
"2022-03-24T21:04:00Z",726994499
"2022-03-24T21:05:00Z",678661760
"2022-03-24T21:06:00Z",1540454207
"2022-03-24T21:07:00Z",1536281123
"2022-03-24T21:08:00Z",1532496460
"2022-03-24T21:09:00Z",1514622729
"2022-03-24T21:10:00Z",825589656
"2022-03-24T21:11:00Z",5242
"2022-03-24T21:12:00Z",6719
"2022-03-24T21:13:00Z",66550525
"2022-03-24T21:14:00Z",394662655
"2022-03-24T21:15:00Z",545377743
"2022-03-24T21:16:00Z",553816051
"2022-03-24T21:17:00Z",553294230
"2022-03-24T21:18:00Z",774147395
"2022-03-24T21:19:00Z",1127361444
"2022-03-24T21:20:00Z",1233026769
"2022-03-24T21:21:00Z",1241008706
"2022-03-24T21:22:00Z",1242458862
"2022-03-24T21:23:00Z",1239005413
"2022-03-24T21:24:00Z",1237369776
"2022-03-24T21:25:00Z",1383497428
"2022-03-24T21:26:00Z",1161239537
"2022-03-24T21:27:00Z",1496714971
"2022-03-24T21:28:00Z",1008147830
"2022-03-24T21:29:00Z",3332517
"2022-03-24T21:30:00Z",3476
"2022-03-24T21:31:00Z",193533261
"2022-03-24T21:32:00Z",540905056
"2022-03-24T21:33:00Z",588972440
"2022-03-24T21:34:00Z",587729442
"2022-03-24T21:35:00Z",582180699
"2022-03-24T21:36:00Z",606998241
"2022-03-24T21:37:00Z",1063606737
"2022-03-24T21:38:00Z",1239629540
"2022-03-24T21:39:00Z",1243570053
"2022-03-24T21:40:00Z",1238995858
"2022-03-24T21:41:00Z",1242581961
"2022-03-24T21:42:00Z",1244316817
"2022-03-24T21:43:00Z",1336995891
"2022-03-24T21:44:00Z",1551410999
"2022-03-24T21:45:00Z",1243508316
"2022-03-24T21:46:00Z",313361558
"2022-03-24T21:47:00Z",3588
"2022-03-24T21:48:00Z",87290741
"2022-03-24T21:49:00Z",408243803
"2022-03-24T21:50:00Z",538148217
"2022-03-24T21:51:00Z",537032436
"2022-03-24T21:52:00Z",534116464
"2022-03-24T21:53:00Z",520466096
"2022-03-24T21:54:00Z",956784985
"2022-03-24T21:55:00Z",1226741223
"2022-03-24T21:56:00Z",1235794417
"2022-03-24T21:57:00Z",1231983780
"2022-03-24T21:58:00Z",1231531155
"2022-03-24T21:59:00Z",1208592955
"2022-03-24T22:00:00Z",1578999086
"2022-03-24T22:01:00Z",1607958976
"2022-03-24T22:02:00Z",1480790982
"2022-03-24T22:03:00Z",415380455
"2022-03-24T22:04:00Z",5082
