"datetime","estimatedALBConsumedLCUs"
"2022-03-25T20:09:00Z",0.00023
"2022-03-25T20:10:00Z",0.00022
"2022-03-25T20:11:00Z",0.00136
"2022-03-25T20:12:00Z",0.00024
"2022-03-25T20:13:00Z",0.00147
"2022-03-25T20:14:00Z",0.00186
"2022-03-25T20:15:00Z",0.05321
"2022-03-25T20:16:00Z",0.08798
"2022-03-25T20:17:00Z",0.00611
"2022-03-25T20:18:00Z",0.09529
"2022-03-25T20:19:00Z",0.04239
"2022-03-25T20:20:00Z",0.05051
"2022-03-25T20:21:00Z",0.09118
"2022-03-25T20:22:00Z",0.00415
"2022-03-25T20:23:00Z",0.09554
"2022-03-25T20:24:00Z",0.04697
"2022-03-25T20:25:00Z",0.04501
"2022-03-25T20:26:00Z",0.09612
"2022-03-25T20:27:00Z",0.00189
"2022-03-25T20:28:00Z",0.09201
"2022-03-25T20:29:00Z",0.05134
"2022-03-25T20:30:00Z",0.04124
"2022-03-25T20:31:00Z",0.09165
"2022-03-25T20:32:00Z",0.00495
"2022-03-25T20:33:00Z",0.0876
"2022-03-25T20:34:00Z",0.05691
"2022-03-25T20:35:00Z",0.04879
"2022-03-25T20:36:00Z",0.09523
"2022-03-25T20:37:00Z",0.01212
"2022-03-25T20:38:00Z",0.08053
"2022-03-25T20:39:00Z",0.02933
"2022-03-25T20:40:00Z",0.09539
"2022-03-25T20:41:00Z",0.04876
"2022-03-25T20:42:00Z",0.00562
"2022-03-25T20:43:00Z",0.07253
"2022-03-25T20:44:00Z",0.07253
"2022-03-25T20:45:00Z",0.09629
"2022-03-25T20:46:00Z",0.09457
"2022-03-25T20:47:00Z",0.09593
"2022-03-25T20:48:00Z",0.09571
"2022-03-25T20:49:00Z",0.02696
"2022-03-25T20:50:00Z",0.06592
"2022-03-25T20:51:00Z",0.09447
"2022-03-25T20:52:00Z",0.09663
"2022-03-25T20:53:00Z",0.09432
"2022-03-25T20:54:00Z",0.09541
"2022-03-25T20:55:00Z",0.02792
"2022-03-25T20:56:00Z",0.06516
"2022-03-25T20:57:00Z",0.09599
"2022-03-25T20:58:00Z",0.09724
"2022-03-25T20:59:00Z",0.09729
"2022-03-25T21:00:00Z",0.09731
"2022-03-25T21:01:00Z",0.0308
"2022-03-25T21:02:00Z",0.06303
"2022-03-25T21:03:00Z",0.09729
"2022-03-25T21:04:00Z",0.09669
"2022-03-25T21:05:00Z",0.09696
"2022-03-25T21:06:00Z",0.09536
"2022-03-25T21:07:00Z",0.03286
"2022-03-25T21:08:00Z",0.00021
"2022-03-25T21:09:00Z",0.00054
"2022-03-25T21:10:00Z",0.00278
"2022-03-25T21:11:00Z",0.02626
"2022-03-25T21:12:00Z",0.02603
"2022-03-25T21:13:00Z",0.02824
"2022-03-25T21:14:00Z",0.02815
"2022-03-25T21:15:00Z",0.02901
"2022-03-25T21:16:00Z",0.03682
"2022-03-25T21:17:00Z",0.0486
"2022-03-25T21:18:00Z",0.04869
"2022-03-25T21:19:00Z",0.04847
"2022-03-25T21:20:00Z",0.04869
"2022-03-25T21:21:00Z",0.0487
"2022-03-25T21:22:00Z",0.04857
"2022-03-25T21:23:00Z",0.09514
"2022-03-25T21:24:00Z",0.09688
"2022-03-25T21:25:00Z",0.00281
"2022-03-25T21:26:00Z",0.00063
"2022-03-25T21:27:00Z",0.0177
"2022-03-25T21:28:00Z",0.02313
"2022-03-25T21:29:00Z",0.02765
"2022-03-25T21:30:00Z",0.02516
"2022-03-25T21:31:00Z",0.02769
"2022-03-25T21:32:00Z",0.02725
"2022-03-25T21:33:00Z",0.03998
"2022-03-25T21:34:00Z",0.04846
"2022-03-25T21:35:00Z",0.04914
"2022-03-25T21:36:00Z",0.04881
"2022-03-25T21:37:00Z",0.04895
"2022-03-25T21:38:00Z",0.04887
"2022-03-25T21:39:00Z",0.04818
"2022-03-25T21:40:00Z",0.08258
"2022-03-25T21:41:00Z",0.09498
"2022-03-25T21:42:00Z",0.02356
"2022-03-25T21:43:00Z",0.00036
"2022-03-25T21:44:00Z",0.01269
"2022-03-25T21:45:00Z",0.02174
"2022-03-25T21:46:00Z",0.02587
"2022-03-25T21:47:00Z",0.0275
"2022-03-25T21:48:00Z",0.02662
"2022-03-25T21:49:00Z",0.02654
"2022-03-25T21:50:00Z",0.03019
"2022-03-25T21:51:00Z",0.04332
"2022-03-25T21:52:00Z",0.04811
"2022-03-25T21:53:00Z",0.04768
"2022-03-25T21:54:00Z",0.04838
"2022-03-25T21:55:00Z",0.04831
"2022-03-25T21:56:00Z",0.04828
"2022-03-25T21:57:00Z",0.07074
"2022-03-25T21:58:00Z",0.09694
"2022-03-25T21:59:00Z",0.02233
"2022-03-25T22:00:00Z",0.00029
