"datetime","estimatedALBConsumedLCUs"
"2022-03-26T01:41:00Z",9e-05
"2022-03-26T01:42:00Z",0.01172
"2022-03-26T01:43:00Z",0.03244
"2022-03-26T01:44:00Z",0.00287
"2022-03-26T01:45:00Z",0.04305
"2022-03-26T01:46:00Z",0.03163
"2022-03-26T01:47:00Z",0.01797
"2022-03-26T01:48:00Z",0.07164
"2022-03-26T01:49:00Z",0.0386
"2022-03-26T01:50:00Z",0.06327
"2022-03-26T01:51:00Z",0.049
"2022-03-26T01:52:00Z",0.06033
"2022-03-26T01:53:00Z",0.06896
"2022-03-26T01:54:00Z",0.03174
"2022-03-26T01:55:00Z",0.07896
"2022-03-26T01:56:00Z",0.0735
"2022-03-26T01:57:00Z",0.05597
"2022-03-26T01:58:00Z",0.06268
"2022-03-26T01:59:00Z",0.05157
"2022-03-26T02:00:00Z",0.07258
"2022-03-26T02:01:00Z",0.07344
"2022-03-26T02:02:00Z",0.03867
"2022-03-26T02:03:00Z",0.04099
"2022-03-26T02:04:00Z",0.08268
"2022-03-26T02:05:00Z",0.00109
"2022-03-26T02:06:00Z",0.07631
"2022-03-26T02:07:00Z",0.04909
"2022-03-26T02:08:00Z",0.02869
"2022-03-26T02:09:00Z",0.07956
"2022-03-26T02:10:00Z",0.0176
"2022-03-26T02:11:00Z",0.00066
"2022-03-26T02:12:00Z",0.06537
"2022-03-26T02:13:00Z",0.07978
"2022-03-26T02:14:00Z",0.07739
"2022-03-26T02:15:00Z",0.07928
"2022-03-26T02:16:00Z",0.07476
"2022-03-26T02:17:00Z",0.0521
"2022-03-26T02:18:00Z",0.03811
"2022-03-26T02:19:00Z",0.08631
"2022-03-26T02:20:00Z",0.08718
"2022-03-26T02:21:00Z",0.08618
"2022-03-26T02:22:00Z",0.08705
"2022-03-26T02:23:00Z",0.05203
"2022-03-26T02:24:00Z",0.02982
"2022-03-26T02:25:00Z",0.09079
"2022-03-26T02:26:00Z",0.09047
"2022-03-26T02:27:00Z",0.08966
"2022-03-26T02:28:00Z",0.09141
"2022-03-26T02:29:00Z",0.06031
"2022-03-26T02:30:00Z",0.01818
"2022-03-26T02:31:00Z",0.08241
"2022-03-26T02:32:00Z",0.08449
"2022-03-26T02:33:00Z",0.08572
"2022-03-26T02:34:00Z",0.07885
"2022-03-26T02:35:00Z",0.06179
"2022-03-26T02:36:00Z",0.0003
"2022-03-26T02:37:00Z",0.00042
"2022-03-26T02:38:00Z",0.00908
"2022-03-26T02:39:00Z",0.02253
"2022-03-26T02:40:00Z",0.02629
"2022-03-26T02:41:00Z",0.0309
"2022-03-26T02:42:00Z",0.0315
"2022-03-26T02:43:00Z",0.03139
"2022-03-26T02:44:00Z",0.05676
"2022-03-26T02:45:00Z",0.05768
"2022-03-26T02:46:00Z",0.05763
"2022-03-26T02:47:00Z",0.06503
"2022-03-26T02:48:00Z",0.08571
"2022-03-26T02:49:00Z",0.09627
"2022-03-26T02:50:00Z",0.08151
"2022-03-26T02:51:00Z",0.07303
"2022-03-26T02:52:00Z",0.08034
"2022-03-26T02:53:00Z",0.07633
"2022-03-26T02:54:00Z",0.01799
"2022-03-26T02:55:00Z",0.0004
"2022-03-26T02:56:00Z",0.00476
"2022-03-26T02:57:00Z",0.02324
"2022-03-26T02:58:00Z",0.02941
"2022-03-26T02:59:00Z",0.02759
"2022-03-26T03:00:00Z",0.05456
"2022-03-26T03:01:00Z",0.05955
"2022-03-26T03:02:00Z",0.06976
"2022-03-26T03:03:00Z",0.08598
"2022-03-26T03:04:00Z",0.09135
"2022-03-26T03:05:00Z",0.08011
"2022-03-26T03:06:00Z",0.08279
"2022-03-26T03:07:00Z",0.07371
"2022-03-26T03:08:00Z",0.07335
"2022-03-26T03:09:00Z",0.07673
"2022-03-26T03:10:00Z",0.0749
"2022-03-26T03:11:00Z",0.07869
"2022-03-26T03:12:00Z",0.03881
"2022-03-26T03:13:00Z",0.00031
"2022-03-26T03:14:00Z",0.00063
"2022-03-26T03:15:00Z",0.02137
"2022-03-26T03:16:00Z",0.02638
"2022-03-26T03:17:00Z",0.0308
"2022-03-26T03:18:00Z",0.03602
"2022-03-26T03:19:00Z",0.04121
"2022-03-26T03:20:00Z",0.05491
"2022-03-26T03:21:00Z",0.06787
"2022-03-26T03:22:00Z",0.07321
"2022-03-26T03:23:00Z",0.07457
"2022-03-26T03:24:00Z",0.07683
"2022-03-26T03:25:00Z",0.08215
"2022-03-26T03:26:00Z",0.0782
"2022-03-26T03:27:00Z",0.07203
"2022-03-26T03:28:00Z",0.0843
"2022-03-26T03:29:00Z",0.07923
"2022-03-26T03:30:00Z",0.05829
