"datetime","estimatedALBActiveConnectionCount"
"2022-03-26T08:30:00Z",3
"2022-03-26T08:31:00Z",31
"2022-03-26T08:32:00Z",58
"2022-03-26T08:33:00Z",7.5
"2022-03-26T08:34:00Z",5.5
"2022-03-26T08:35:00Z",32.5
"2022-03-26T08:36:00Z",7
"2022-03-26T08:37:00Z",33
"2022-03-26T08:38:00Z",33
"2022-03-26T08:39:00Z",7
"2022-03-26T08:40:00Z",33.5
"2022-03-26T08:41:00Z",33.5
"2022-03-26T08:42:00Z",7
"2022-03-26T08:43:00Z",34.25
"2022-03-26T08:44:00Z",7.25
"2022-03-26T08:45:00Z",34.75
"2022-03-26T08:46:00Z",34.75
"2022-03-26T08:47:00Z",7
"2022-03-26T08:48:00Z",4.5
"2022-03-26T08:49:00Z",25.833333333333332
"2022-03-26T08:50:00Z",7.166666666666667
"2022-03-26T08:51:00Z",16.833333333333332
"2022-03-26T08:52:00Z",26.166666666666668
"2022-03-26T08:53:00Z",7.166666666666667
"2022-03-26T08:54:00Z",26.5
"2022-03-26T08:55:00Z",26.5
"2022-03-26T08:56:00Z",7.166666666666667
"2022-03-26T08:57:00Z",26.833333333333332
"2022-03-26T08:58:00Z",7.166666666666667
"2022-03-26T08:59:00Z",27.166666666666668
"2022-03-26T09:00:00Z",27.333333333333332
"2022-03-26T09:01:00Z",8.5
"2022-03-26T09:02:00Z",7
"2022-03-26T09:03:00Z",18.2
"2022-03-26T09:04:00Z",27.5
"2022-03-26T09:05:00Z",27.5
"2022-03-26T09:06:00Z",27.5
"2022-03-26T09:07:00Z",27.5
"2022-03-26T09:08:00Z",17.333333333333332
"2022-03-26T09:09:00Z",17.333333333333332
"2022-03-26T09:10:00Z",27.166666666666668
"2022-03-26T09:11:00Z",27.166666666666668
"2022-03-26T09:12:00Z",38.75
"2022-03-26T09:13:00Z",38.5
"2022-03-26T09:14:00Z",22.5
"2022-03-26T09:15:00Z",7.25
"2022-03-26T09:16:00Z",37.25
"2022-03-26T09:17:00Z",37.25
"2022-03-26T09:18:00Z",37.25
"2022-03-26T09:19:00Z",37.25
"2022-03-26T09:20:00Z",37.25
"2022-03-26T09:21:00Z",7.25
"2022-03-26T09:22:00Z",37.5
"2022-03-26T09:23:00Z",37.75
"2022-03-26T09:24:00Z",37.5
"2022-03-26T09:25:00Z",37.75
"2022-03-26T09:26:00Z",70.5
"2022-03-26T09:27:00Z",9
"2022-03-26T09:28:00Z",5.5
"2022-03-26T09:29:00Z",3.5
"2022-03-26T09:30:00Z",33.5
"2022-03-26T09:31:00Z",63.5
"2022-03-26T09:32:00Z",63.5
"2022-03-26T09:33:00Z",68.5
"2022-03-26T09:34:00Z",68.5
"2022-03-26T09:35:00Z",68
"2022-03-26T09:36:00Z",68.5
"2022-03-26T09:37:00Z",38
"2022-03-26T09:38:00Z",68
"2022-03-26T09:39:00Z",68
"2022-03-26T09:40:00Z",68
"2022-03-26T09:41:00Z",68
"2022-03-26T09:42:00Z",68
"2022-03-26T09:43:00Z",67.5
"2022-03-26T09:44:00Z",67.5
"2022-03-26T09:45:00Z",7.5
"2022-03-26T09:46:00Z",5
"2022-03-26T09:47:00Z",3.5
"2022-03-26T09:48:00Z",33.5
"2022-03-26T09:49:00Z",63.5
"2022-03-26T09:50:00Z",63.5
"2022-03-26T09:51:00Z",66
"2022-03-26T09:52:00Z",37.5
"2022-03-26T09:53:00Z",67.5
"2022-03-26T09:54:00Z",67.5
"2022-03-26T09:55:00Z",67.5
"2022-03-26T09:56:00Z",67.5
"2022-03-26T09:57:00Z",67.5
"2022-03-26T09:58:00Z",67.5
"2022-03-26T09:59:00Z",67.5
"2022-03-26T10:00:00Z",67.5
"2022-03-26T10:01:00Z",67.5
"2022-03-26T10:02:00Z",37.5
"2022-03-26T10:03:00Z",37.5
"2022-03-26T10:04:00Z",6
"2022-03-26T10:05:00Z",3.5
"2022-03-26T10:06:00Z",3.5
"2022-03-26T10:07:00Z",63.5
"2022-03-26T10:08:00Z",63.5
"2022-03-26T10:09:00Z",63.5
"2022-03-26T10:10:00Z",63.5
"2022-03-26T10:11:00Z",66
"2022-03-26T10:12:00Z",80.5
"2022-03-26T10:13:00Z",67.5
"2022-03-26T10:14:00Z",67.5
"2022-03-26T10:15:00Z",67.5
"2022-03-26T10:16:00Z",37
"2022-03-26T10:17:00Z",67.5
"2022-03-26T10:18:00Z",67.5
"2022-03-26T10:19:00Z",67.5
"2022-03-26T10:20:00Z",67.5
"2022-03-26T10:21:00Z",37.5
"2022-03-26T10:22:00Z",7.5
"2022-03-26T10:23:00Z",8
