"datetime","estimatedALBConsumedLCUs"
"2022-03-26T08:30:00Z",2e-05
"2022-03-26T08:31:00Z",0.00071
"2022-03-26T08:32:00Z",0.16695
"2022-03-26T08:33:00Z",0.25479
"2022-03-26T08:34:00Z",4e-05
"2022-03-26T08:35:00Z",0.20097
"2022-03-26T08:36:00Z",0.33563
"2022-03-26T08:37:00Z",0.35193
"2022-03-26T08:38:00Z",0.41711
"2022-03-26T08:39:00Z",0.57042
"2022-03-26T08:40:00Z",0.21489
"2022-03-26T08:41:00Z",0.42992
"2022-03-26T08:42:00Z",0.5626
"2022-03-26T08:43:00Z",0.33351
"2022-03-26T08:44:00Z",0.55151
"2022-03-26T08:45:00Z",0.40282
"2022-03-26T08:46:00Z",0.43075
"2022-03-26T08:47:00Z",0.63154
"2022-03-26T08:48:00Z",0.13571
"2022-03-26T08:49:00Z",0.32921
"2022-03-26T08:50:00Z",0.50704
"2022-03-26T08:51:00Z",0.39567
"2022-03-26T08:52:00Z",0.53344
"2022-03-26T08:53:00Z",0.46705
"2022-03-26T08:54:00Z",0.23226
"2022-03-26T08:55:00Z",0.57739
"2022-03-26T08:56:00Z",0.46676
"2022-03-26T08:57:00Z",0.46626
"2022-03-26T08:58:00Z",0.4701
"2022-03-26T08:59:00Z",0.35191
"2022-03-26T09:00:00Z",0.60218
"2022-03-26T09:01:00Z",0.43486
"2022-03-26T09:02:00Z",0.14533
"2022-03-26T09:03:00Z",0.00099
"2022-03-26T09:04:00Z",0.22677
"2022-03-26T09:05:00Z",0.61295
"2022-03-26T09:06:00Z",0.63717
"2022-03-26T09:07:00Z",0.64662
"2022-03-26T09:08:00Z",0.60616
"2022-03-26T09:09:00Z",0.56734
"2022-03-26T09:10:00Z",0.15474
"2022-03-26T09:11:00Z",0.73488
"2022-03-26T09:12:00Z",0.73594
"2022-03-26T09:13:00Z",0.73762
"2022-03-26T09:14:00Z",0.7382
"2022-03-26T09:15:00Z",0.69158
"2022-03-26T09:16:00Z",0.19041
"2022-03-26T09:17:00Z",0.60667
"2022-03-26T09:18:00Z",0.64448
"2022-03-26T09:19:00Z",0.64048
"2022-03-26T09:20:00Z",0.64519
"2022-03-26T09:21:00Z",0.64434
"2022-03-26T09:22:00Z",0.2303
"2022-03-26T09:23:00Z",0.55423
"2022-03-26T09:24:00Z",0.67247
"2022-03-26T09:25:00Z",0.67441
"2022-03-26T09:26:00Z",0.67324
"2022-03-26T09:27:00Z",0.6739
"2022-03-26T09:28:00Z",0.27344
"2022-03-26T09:29:00Z",0.00047
"2022-03-26T09:30:00Z",0.00093
"2022-03-26T09:31:00Z",0.123
"2022-03-26T09:32:00Z",0.31762
"2022-03-26T09:33:00Z",0.36204
"2022-03-26T09:34:00Z",0.39901
"2022-03-26T09:35:00Z",0.51133
"2022-03-26T09:36:00Z",0.51498
"2022-03-26T09:37:00Z",0.55168
"2022-03-26T09:38:00Z",0.7051
"2022-03-26T09:39:00Z",0.74901
"2022-03-26T09:40:00Z",0.67585
"2022-03-26T09:41:00Z",0.66953
"2022-03-26T09:42:00Z",0.65072
"2022-03-26T09:43:00Z",0.63622
"2022-03-26T09:44:00Z",0.68681
"2022-03-26T09:45:00Z",0.68523
"2022-03-26T09:46:00Z",0.40815
"2022-03-26T09:47:00Z",0.00027
"2022-03-26T09:48:00Z",0.0009
"2022-03-26T09:49:00Z",0.05916
"2022-03-26T09:50:00Z",0.30874
"2022-03-26T09:51:00Z",0.3612
"2022-03-26T09:52:00Z",0.35766
"2022-03-26T09:53:00Z",0.38719
"2022-03-26T09:54:00Z",0.47749
"2022-03-26T09:55:00Z",0.5069
"2022-03-26T09:56:00Z",0.50748
"2022-03-26T09:57:00Z",0.51585
"2022-03-26T09:58:00Z",0.56288
"2022-03-26T09:59:00Z",0.56594
"2022-03-26T10:00:00Z",0.55987
"2022-03-26T10:01:00Z",0.51592
"2022-03-26T10:02:00Z",0.51817
"2022-03-26T10:03:00Z",0.54726
"2022-03-26T10:04:00Z",0.49029
"2022-03-26T10:05:00Z",0.02367
"2022-03-26T10:06:00Z",0.00036
"2022-03-26T10:07:00Z",0.00035
"2022-03-26T10:08:00Z",0.16945
"2022-03-26T10:09:00Z",0.28577
"2022-03-26T10:10:00Z",0.30952
"2022-03-26T10:11:00Z",0.31815
"2022-03-26T10:12:00Z",0.31492
"2022-03-26T10:13:00Z",0.4991
"2022-03-26T10:14:00Z",0.53193
"2022-03-26T10:15:00Z",0.56432
"2022-03-26T10:16:00Z",0.57319
"2022-03-26T10:17:00Z",0.55777
"2022-03-26T10:18:00Z",0.56328
"2022-03-26T10:19:00Z",0.57154
"2022-03-26T10:20:00Z",0.60258
"2022-03-26T10:21:00Z",0.58288
"2022-03-26T10:22:00Z",0.50617
"2022-03-26T10:23:00Z",0.14945
