"datetime","backendConnectionErrors"
"2022-03-26T10:40:00Z",202
"2022-03-26T10:41:00Z",1
"2022-03-26T10:57:00Z",100
"2022-03-26T10:59:00Z",203
"2022-03-26T11:00:00Z",201
"2022-03-26T11:09:00Z",1
"2022-03-26T11:19:00Z",100
"2022-03-26T11:31:00Z",300
"2022-03-26T11:34:00Z",101
"2022-03-26T11:35:00Z",108
"2022-03-26T11:36:00Z",102
"2022-03-26T11:37:00Z",1
"2022-03-26T11:42:00Z",203
"2022-03-26T11:43:00Z",1
"2022-03-26T11:48:00Z",101
"2022-03-26T11:49:00Z",1
"2022-03-26T11:55:00Z",201
"2022-03-26T12:01:00Z",100
"2022-03-26T12:07:00Z",1
"2022-03-26T12:11:00Z",100
"2022-03-26T12:16:00Z",199
"2022-03-26T12:17:00Z",6
"2022-03-26T12:18:00Z",3
"2022-03-26T12:22:00Z",101
"2022-03-26T12:27:00Z",100
