"datetime","estimatedProcessedBytes"
"2022-03-26T10:36:00Z",1260
"2022-03-26T10:37:00Z",1742
"2022-03-26T10:38:00Z",3486
"2022-03-26T10:39:00Z",3422
"2022-03-26T10:40:00Z",10222
"2022-03-26T10:41:00Z",394614227
"2022-03-26T10:42:00Z",102070128
"2022-03-26T10:43:00Z",5062
"2022-03-26T10:44:00Z",710146213
"2022-03-26T10:45:00Z",321744137
"2022-03-26T10:46:00Z",1067143159
"2022-03-26T10:47:00Z",206619322
"2022-03-26T10:48:00Z",827896211
"2022-03-26T10:49:00Z",766089601
"2022-03-26T10:50:00Z",278548363
"2022-03-26T10:51:00Z",1091563609
"2022-03-26T10:52:00Z",228635517
"2022-03-26T10:53:00Z",10054
"2022-03-26T10:54:00Z",911573984
"2022-03-26T10:55:00Z",717802325
"2022-03-26T10:56:00Z",351033096
"2022-03-26T10:57:00Z",1108442250
"2022-03-26T10:58:00Z",198141050
"2022-03-26T10:59:00Z",895397244
"2022-03-26T11:00:00Z",781776154
"2022-03-26T11:01:00Z",303122375
"2022-03-26T11:02:00Z",1130516439
"2022-03-26T11:03:00Z",235605276
"2022-03-26T11:04:00Z",15210
"2022-03-26T11:05:00Z",923732828
"2022-03-26T11:06:00Z",453351722
"2022-03-26T11:07:00Z",888024021
"2022-03-26T11:08:00Z",821933266
"2022-03-26T11:09:00Z",15290
"2022-03-26T11:10:00Z",337371821
"2022-03-26T11:11:00Z",1208049958
"2022-03-26T11:12:00Z",1210014804
"2022-03-26T11:13:00Z",1210329611
"2022-03-26T11:14:00Z",1219294212
"2022-03-26T11:15:00Z",909481093
"2022-03-26T11:16:00Z",342943572
"2022-03-26T11:17:00Z",1164727206
"2022-03-26T11:18:00Z",1221772848
"2022-03-26T11:19:00Z",1224724051
"2022-03-26T11:20:00Z",1221418704
"2022-03-26T11:21:00Z",919002847
"2022-03-26T11:22:00Z",340514428
"2022-03-26T11:23:00Z",1147683440
"2022-03-26T11:24:00Z",1222361282
"2022-03-26T11:25:00Z",1222353699
"2022-03-26T11:26:00Z",1221195521
"2022-03-26T11:27:00Z",931529024
"2022-03-26T11:28:00Z",353064737
"2022-03-26T11:29:00Z",1134008594
"2022-03-26T11:30:00Z",1228983533
"2022-03-26T11:31:00Z",1229171492
"2022-03-26T11:32:00Z",1228357756
"2022-03-26T11:33:00Z",946366320
"2022-03-26T11:34:00Z",91075356
"2022-03-26T11:35:00Z",9034
"2022-03-26T11:36:00Z",2749871
"2022-03-26T11:37:00Z",335195254
"2022-03-26T11:38:00Z",457588904
"2022-03-26T11:39:00Z",455716135
"2022-03-26T11:40:00Z",444864837
"2022-03-26T11:41:00Z",455801942
"2022-03-26T11:42:00Z",346646150
"2022-03-26T11:43:00Z",879303581
"2022-03-26T11:44:00Z",1000123466
"2022-03-26T11:45:00Z",1000504890
"2022-03-26T11:46:00Z",1005622203
"2022-03-26T11:47:00Z",1001837799
"2022-03-26T11:48:00Z",1001325692
"2022-03-26T11:49:00Z",1043927187
"2022-03-26T11:50:00Z",1301249706
"2022-03-26T11:51:00Z",731413972
"2022-03-26T11:52:00Z",3440
"2022-03-26T11:53:00Z",3874
"2022-03-26T11:54:00Z",266668943
"2022-03-26T11:55:00Z",404533242
"2022-03-26T11:56:00Z",810413036
"2022-03-26T11:57:00Z",1027856921
"2022-03-26T11:58:00Z",1091705496
"2022-03-26T11:59:00Z",1098776796
"2022-03-26T12:00:00Z",1092540278
"2022-03-26T12:01:00Z",1085657034
"2022-03-26T12:02:00Z",1316708659
"2022-03-26T12:03:00Z",1289084542
"2022-03-26T12:04:00Z",1301391566
"2022-03-26T12:05:00Z",1313186941
"2022-03-26T12:06:00Z",1315719442
"2022-03-26T12:07:00Z",1314137905
"2022-03-26T12:08:00Z",953459316
"2022-03-26T12:09:00Z",56824769
"2022-03-26T12:10:00Z",3452
"2022-03-26T12:11:00Z",188219252
"2022-03-26T12:12:00Z",478983257
"2022-03-26T12:13:00Z",499757885
"2022-03-26T12:14:00Z",506831212
"2022-03-26T12:15:00Z",502301970
"2022-03-26T12:16:00Z",384693668
"2022-03-26T12:17:00Z",424738623
"2022-03-26T12:18:00Z",773271249
"2022-03-26T12:19:00Z",1094835467
"2022-03-26T12:20:00Z",1088904457
"2022-03-26T12:21:00Z",1096330000
"2022-03-26T12:22:00Z",1094763638
"2022-03-26T12:23:00Z",1094084683
"2022-03-26T12:24:00Z",1253044346
"2022-03-26T12:25:00Z",1067214774
"2022-03-26T12:26:00Z",217946721
"2022-03-26T12:27:00Z",5386
