"datetime","estimatedALBConsumedLCUs"
"2022-03-26T20:04:00Z",0.00064
"2022-03-26T20:05:00Z",0.00068
"2022-03-26T20:06:00Z",0.00031
"2022-03-26T20:07:00Z",0.0003
"2022-03-26T20:08:00Z",0.0003
"2022-03-26T20:09:00Z",0.00034
"2022-03-26T20:10:00Z",0.04445
"2022-03-26T20:11:00Z",0.16093
"2022-03-26T20:12:00Z",0.16385
"2022-03-26T20:13:00Z",0.03971
"2022-03-26T20:14:00Z",0.00106
"2022-03-26T20:15:00Z",0.3356
"2022-03-26T20:16:00Z",0.3947
"2022-03-26T20:17:00Z",0.34307
"2022-03-26T20:18:00Z",0.32185
"2022-03-26T20:19:00Z",0.39621
"2022-03-26T20:20:00Z",0.3958
"2022-03-26T20:21:00Z",0.33223
"2022-03-26T20:22:00Z",0.28391
"2022-03-26T20:23:00Z",0.39482
"2022-03-26T20:24:00Z",0.16328
"2022-03-26T20:25:00Z",0.20139
"2022-03-26T20:26:00Z",0.37094
"2022-03-26T20:27:00Z",0.23675
"2022-03-26T20:28:00Z",0.17771
"2022-03-26T20:29:00Z",0.3743
"2022-03-26T20:30:00Z",0.33225
"2022-03-26T20:31:00Z",0.17898
"2022-03-26T20:32:00Z",0.37677
"2022-03-26T20:33:00Z",0.37192
"2022-03-26T20:34:00Z",0.13123
"2022-03-26T20:35:00Z",0.27509
"2022-03-26T20:36:00Z",0.37646
"2022-03-26T20:37:00Z",0.1749
"2022-03-26T20:38:00Z",0.16736
"2022-03-26T20:39:00Z",0.35111
"2022-03-26T20:40:00Z",0.27234
"2022-03-26T20:41:00Z",0.16997
"2022-03-26T20:42:00Z",0.38231
"2022-03-26T20:43:00Z",0.38007
"2022-03-26T20:44:00Z",0.15507
"2022-03-26T20:45:00Z",0.32551
"2022-03-26T20:46:00Z",0.37807
"2022-03-26T20:47:00Z",0.14567
"2022-03-26T20:48:00Z",0.10249
"2022-03-26T20:49:00Z",0.2145
"2022-03-26T20:50:00Z",0.36242
"2022-03-26T20:51:00Z",0.35494
"2022-03-26T20:52:00Z",0.35104
"2022-03-26T20:53:00Z",0.35488
"2022-03-26T20:54:00Z",0.2809
"2022-03-26T20:55:00Z",0.17793
"2022-03-26T20:56:00Z",0.37454
"2022-03-26T20:57:00Z",0.37619
"2022-03-26T20:58:00Z",0.37839
"2022-03-26T20:59:00Z",0.37674
"2022-03-26T21:00:00Z",0.29911
"2022-03-26T21:01:00Z",0.1793
"2022-03-26T21:02:00Z",0.37708
"2022-03-26T21:03:00Z",0.38294
"2022-03-26T21:04:00Z",0.38556
"2022-03-26T21:05:00Z",0.38104
"2022-03-26T21:06:00Z",0.34074
"2022-03-26T21:07:00Z",0.18226
"2022-03-26T21:08:00Z",0.38413
"2022-03-26T21:09:00Z",0.37865
"2022-03-26T21:10:00Z",0.38553
"2022-03-26T21:11:00Z",0.37806
"2022-03-26T21:12:00Z",0.3777
"2022-03-26T21:13:00Z",0.00028
"2022-03-26T21:14:00Z",0.00034
"2022-03-26T21:15:00Z",0.00979
"2022-03-26T21:16:00Z",0.06461
"2022-03-26T21:17:00Z",0.13333
"2022-03-26T21:18:00Z",0.1416
"2022-03-26T21:19:00Z",0.13789
"2022-03-26T21:20:00Z",0.14373
"2022-03-26T21:21:00Z",0.2396
"2022-03-26T21:22:00Z",0.24672
"2022-03-26T21:23:00Z",0.2401
"2022-03-26T21:24:00Z",0.24486
"2022-03-26T21:25:00Z",0.30938
"2022-03-26T21:26:00Z",0.34562
"2022-03-26T21:27:00Z",0.35021
"2022-03-26T21:28:00Z",0.35034
"2022-03-26T21:29:00Z",0.35283
"2022-03-26T21:30:00Z",0.35278
"2022-03-26T21:31:00Z",0.24299
"2022-03-26T21:32:00Z",0.00046
"2022-03-26T21:33:00Z",0.00029
"2022-03-26T21:34:00Z",0.00026
"2022-03-26T21:35:00Z",0.06253
"2022-03-26T21:36:00Z",0.12506
"2022-03-26T21:37:00Z",0.13875
"2022-03-26T21:38:00Z",0.13725
"2022-03-26T21:39:00Z",0.18455
"2022-03-26T21:40:00Z",0.25133
"2022-03-26T21:41:00Z",0.24785
"2022-03-26T21:42:00Z",0.31216
"2022-03-26T21:43:00Z",0.34769
"2022-03-26T21:44:00Z",0.34986
"2022-03-26T21:45:00Z",0.34763
"2022-03-26T21:46:00Z",0.34157
"2022-03-26T21:47:00Z",0.34834
"2022-03-26T21:48:00Z",0.34785
"2022-03-26T21:49:00Z",0.35123
"2022-03-26T21:50:00Z",0.35046
"2022-03-26T21:51:00Z",0.00029
"2022-03-26T21:52:00Z",0.00034
"2022-03-26T21:53:00Z",0.00032
"2022-03-26T21:54:00Z",0.06453
"2022-03-26T21:55:00Z",0.12568
"2022-03-26T21:56:00Z",0.14395
"2022-03-26T21:57:00Z",0.24398
"2022-03-26T21:58:00Z",0.25173
"2022-03-26T21:59:00Z",0.31276
"2022-03-26T22:00:00Z",0.36001
"2022-03-26T22:01:00Z",0.35045
"2022-03-26T22:02:00Z",0.33768
"2022-03-26T22:03:00Z",0.35882
"2022-03-26T22:04:00Z",0.3572
"2022-03-26T22:05:00Z",0.3542
"2022-03-26T22:06:00Z",0.34786
"2022-03-26T22:07:00Z",0.35461
"2022-03-26T22:08:00Z",0.33846
"2022-03-26T22:09:00Z",0.36896
"2022-03-26T22:10:00Z",0.0004
