"datetime","groupInServiceCapacity"
"2022-03-26T20:04:00Z",1
"2022-03-26T20:05:00Z",1
"2022-03-26T20:06:00Z",1
"2022-03-26T20:07:00Z",1
"2022-03-26T20:08:00Z",1
"2022-03-26T20:09:00Z",3
"2022-03-26T20:10:00Z",3
"2022-03-26T20:11:00Z",3
"2022-03-26T20:12:00Z",3
"2022-03-26T20:13:00Z",3
"2022-03-26T20:14:00Z",3
"2022-03-26T20:15:00Z",3
"2022-03-26T20:16:00Z",3
"2022-03-26T20:17:00Z",3
"2022-03-26T20:18:00Z",3
"2022-03-26T20:19:00Z",3
"2022-03-26T20:20:00Z",3
"2022-03-26T20:21:00Z",3
"2022-03-26T20:22:00Z",3
"2022-03-26T20:23:00Z",3
"2022-03-26T20:24:00Z",3
"2022-03-26T20:25:00Z",3
"2022-03-26T20:26:00Z",3
"2022-03-26T20:27:00Z",3
"2022-03-26T20:28:00Z",3
"2022-03-26T20:29:00Z",3
"2022-03-26T20:30:00Z",3
"2022-03-26T20:31:00Z",3
"2022-03-26T20:32:00Z",3
"2022-03-26T20:33:00Z",3
"2022-03-26T20:34:00Z",3
"2022-03-26T20:35:00Z",3
"2022-03-26T20:36:00Z",3
"2022-03-26T20:37:00Z",3
"2022-03-26T20:38:00Z",3
"2022-03-26T20:39:00Z",3
"2022-03-26T20:40:00Z",3
"2022-03-26T20:41:00Z",3
"2022-03-26T20:42:00Z",3
"2022-03-26T20:43:00Z",3
"2022-03-26T20:44:00Z",3
"2022-03-26T20:45:00Z",3
"2022-03-26T20:46:00Z",3
"2022-03-26T20:47:00Z",3
"2022-03-26T20:48:00Z",3
"2022-03-26T20:49:00Z",3
"2022-03-26T20:50:00Z",3
"2022-03-26T20:51:00Z",3
"2022-03-26T20:52:00Z",3
"2022-03-26T20:53:00Z",3
"2022-03-26T20:54:00Z",3
"2022-03-26T20:55:00Z",3
"2022-03-26T20:56:00Z",3
"2022-03-26T20:57:00Z",3
"2022-03-26T20:58:00Z",3
"2022-03-26T20:59:00Z",3
"2022-03-26T21:00:00Z",3
"2022-03-26T21:01:00Z",3
"2022-03-26T21:02:00Z",3
"2022-03-26T21:03:00Z",3
"2022-03-26T21:04:00Z",3
"2022-03-26T21:05:00Z",3
"2022-03-26T21:06:00Z",3
"2022-03-26T21:07:00Z",3
"2022-03-26T21:08:00Z",3
"2022-03-26T21:09:00Z",3
"2022-03-26T21:10:00Z",3
"2022-03-26T21:11:00Z",1
"2022-03-26T21:12:00Z",1
"2022-03-26T21:13:00Z",1
"2022-03-26T21:14:00Z",1
"2022-03-26T21:15:00Z",1
"2022-03-26T21:16:00Z",2
"2022-03-26T21:17:00Z",2
"2022-03-26T21:18:00Z",2
"2022-03-26T21:19:00Z",2
"2022-03-26T21:20:00Z",3
"2022-03-26T21:21:00Z",3
"2022-03-26T21:22:00Z",3
"2022-03-26T21:23:00Z",3
"2022-03-26T21:24:00Z",3
"2022-03-26T21:25:00Z",3
"2022-03-26T21:26:00Z",3
"2022-03-26T21:27:00Z",3
"2022-03-26T21:28:00Z",3
"2022-03-26T21:29:00Z",3
"2022-03-26T21:30:00Z",3
"2022-03-26T21:31:00Z",1
"2022-03-26T21:32:00Z",1
"2022-03-26T21:33:00Z",1
"2022-03-26T21:34:00Z",1
"2022-03-26T21:35:00Z",2
"2022-03-26T21:36:00Z",2
"2022-03-26T21:37:00Z",2
"2022-03-26T21:38:00Z",2
"2022-03-26T21:39:00Z",3
"2022-03-26T21:40:00Z",3
"2022-03-26T21:41:00Z",3
"2022-03-26T21:42:00Z",3
"2022-03-26T21:43:00Z",3
"2022-03-26T21:44:00Z",3
"2022-03-26T21:45:00Z",3
"2022-03-26T21:46:00Z",3
"2022-03-26T21:47:00Z",3
"2022-03-26T21:48:00Z",3
"2022-03-26T21:49:00Z",3
"2022-03-26T21:50:00Z",1
"2022-03-26T21:51:00Z",1
"2022-03-26T21:52:00Z",1
"2022-03-26T21:53:00Z",1
"2022-03-26T21:54:00Z",2
"2022-03-26T21:55:00Z",2
"2022-03-26T21:56:00Z",3
"2022-03-26T21:57:00Z",3
"2022-03-26T21:58:00Z",3
"2022-03-26T21:59:00Z",3
"2022-03-26T22:00:00Z",3
"2022-03-26T22:01:00Z",3
"2022-03-26T22:02:00Z",3
"2022-03-26T22:03:00Z",3
"2022-03-26T22:04:00Z",3
"2022-03-26T22:05:00Z",3
"2022-03-26T22:06:00Z",3
"2022-03-26T22:07:00Z",3
"2022-03-26T22:08:00Z",3
"2022-03-26T22:09:00Z",3
"2022-03-26T22:10:00Z",3
"2022-03-26T22:11:00Z",3
