"datetime","estimatedProcessedBytes"
"2022-03-27T02:20:00Z",440384
"2022-03-27T02:21:00Z",13915578
"2022-03-27T02:22:00Z",6384763
"2022-03-27T02:23:00Z",11953919
"2022-03-27T02:24:00Z",27805652
"2022-03-27T02:25:00Z",1647506
"2022-03-27T02:26:00Z",28670352
"2022-03-27T02:27:00Z",23538036
"2022-03-27T02:28:00Z",5527673
"2022-03-27T02:29:00Z",23488311
"2022-03-27T02:30:00Z",5999918
"2022-03-27T02:31:00Z",27670192
"2022-03-27T02:32:00Z",37099027
"2022-03-27T02:33:00Z",1733030
"2022-03-27T02:34:00Z",43631795
"2022-03-27T02:35:00Z",20078194
"2022-03-27T02:36:00Z",2380
"2022-03-27T02:37:00Z",17890192
"2022-03-27T02:38:00Z",42556360
"2022-03-27T02:39:00Z",41793563
"2022-03-27T02:40:00Z",40895458
"2022-03-27T02:41:00Z",41634080
"2022-03-27T02:42:00Z",34415290
"2022-03-27T02:43:00Z",6945448
"2022-03-27T02:44:00Z",45926985
"2022-03-27T02:45:00Z",45940955
"2022-03-27T02:46:00Z",46193187
"2022-03-27T02:47:00Z",46214608
"2022-03-27T02:48:00Z",38756669
"2022-03-27T02:49:00Z",2437330
"2022-03-27T02:50:00Z",45537011
"2022-03-27T02:51:00Z",45976939
"2022-03-27T02:52:00Z",45522810
"2022-03-27T02:53:00Z",45942376
"2022-03-27T02:54:00Z",43310243
"2022-03-27T02:55:00Z",2304
"2022-03-27T02:56:00Z",42355755
"2022-03-27T02:57:00Z",44767801
"2022-03-27T02:58:00Z",44691859
"2022-03-27T02:59:00Z",44739751
"2022-03-27T03:00:00Z",42413191
"2022-03-27T03:01:00Z",1749047
"2022-03-27T03:02:00Z",2922
"2022-03-27T03:03:00Z",1634
"2022-03-27T03:04:00Z",1780
"2022-03-27T03:05:00Z",7669856
"2022-03-27T03:06:00Z",14287306
"2022-03-27T03:07:00Z",15550832
"2022-03-27T03:08:00Z",15761263
"2022-03-27T03:09:00Z",20713640
"2022-03-27T03:10:00Z",29672282
"2022-03-27T03:11:00Z",30411229
"2022-03-27T03:12:00Z",30914200
"2022-03-27T03:13:00Z",41029214
"2022-03-27T03:14:00Z",42951101
"2022-03-27T03:15:00Z",42476303
"2022-03-27T03:16:00Z",36899645
"2022-03-27T03:17:00Z",37561364
"2022-03-27T03:18:00Z",30970274
"2022-03-27T03:19:00Z",42156047
"2022-03-27T03:20:00Z",6391884
"2022-03-27T03:21:00Z",3640
"2022-03-27T03:22:00Z",2016
"2022-03-27T03:23:00Z",1658
"2022-03-27T03:24:00Z",10711453
"2022-03-27T03:25:00Z",14894797
"2022-03-27T03:26:00Z",26470663
"2022-03-27T03:27:00Z",30535374
"2022-03-27T03:28:00Z",30237580
"2022-03-27T03:29:00Z",30251548
"2022-03-27T03:30:00Z",34104536
"2022-03-27T03:31:00Z",40497159
"2022-03-27T03:32:00Z",39222577
"2022-03-27T03:33:00Z",35948774
"2022-03-27T03:34:00Z",36213116
"2022-03-27T03:35:00Z",32308252
"2022-03-27T03:36:00Z",42713850
"2022-03-27T03:37:00Z",41083898
"2022-03-27T03:38:00Z",36647649
"2022-03-27T03:39:00Z",2986
"2022-03-27T03:40:00Z",1706
"2022-03-27T03:41:00Z",2008
"2022-03-27T03:42:00Z",1706
"2022-03-27T03:43:00Z",11602812
"2022-03-27T03:44:00Z",15130791
"2022-03-27T03:45:00Z",15492973
"2022-03-27T03:46:00Z",15740049
"2022-03-27T03:47:00Z",24026680
"2022-03-27T03:48:00Z",25780952
"2022-03-27T03:49:00Z",28028460
"2022-03-27T03:50:00Z",36085243
"2022-03-27T03:51:00Z",40706513
"2022-03-27T03:52:00Z",36780654
"2022-03-27T03:53:00Z",36406731
"2022-03-27T03:54:00Z",37574246
"2022-03-27T03:55:00Z",40543104
"2022-03-27T03:56:00Z",35578760
"2022-03-27T03:57:00Z",30665402
"2022-03-27T03:58:00Z",2398
"2022-03-27T03:59:00Z",2378
