"datetime","backendConnectionErrors"
"2022-03-27T04:28:00Z",100
"2022-03-27T04:29:00Z",301
"2022-03-27T04:57:00Z",100
"2022-03-27T05:02:00Z",1
"2022-03-27T05:09:00Z",100
"2022-03-27T05:10:00Z",102
"2022-03-27T05:12:00Z",100
"2022-03-27T05:14:00Z",100
"2022-03-27T05:16:00Z",1
"2022-03-27T05:17:00Z",102
"2022-03-27T05:23:00Z",101
"2022-03-27T05:29:00Z",100
"2022-03-27T05:30:00Z",104
"2022-03-27T05:31:00Z",3
"2022-03-27T05:32:00Z",3
"2022-03-27T05:33:00Z",3
"2022-03-27T05:34:00Z",3
"2022-03-27T05:35:00Z",103
"2022-03-27T05:36:00Z",3
"2022-03-27T05:49:00Z",100
"2022-03-27T05:51:00Z",201
"2022-03-27T05:52:00Z",1
"2022-03-27T05:54:00Z",100
"2022-03-27T05:57:00Z",100
"2022-03-27T05:58:00Z",3
