"datetime","estimatedALBConsumedLCUs"
"2022-03-27T07:07:00Z",0.00128
"2022-03-27T07:08:00Z",0.00022
"2022-03-27T07:09:00Z",0.00021
"2022-03-27T07:10:00Z",0.00029
"2022-03-27T07:11:00Z",0.00139
"2022-03-27T07:12:00Z",0.59447
"2022-03-27T07:13:00Z",0.70207
"2022-03-27T07:14:00Z",0.61546
"2022-03-27T07:15:00Z",0.05666
"2022-03-27T07:16:00Z",0.43592
"2022-03-27T07:17:00Z",0.77234
"2022-03-27T07:18:00Z",0.82753
"2022-03-27T07:19:00Z",0.29923
"2022-03-27T07:20:00Z",0.637
"2022-03-27T07:21:00Z",0.82675
"2022-03-27T07:22:00Z",0.34076
"2022-03-27T07:23:00Z",0.6343
"2022-03-27T07:24:00Z",0.8416
"2022-03-27T07:25:00Z",0.56264
"2022-03-27T07:26:00Z",0.62544
"2022-03-27T07:27:00Z",0.83835
"2022-03-27T07:28:00Z",0.21021
"2022-03-27T07:29:00Z",0.34687
"2022-03-27T07:30:00Z",0.60158
"2022-03-27T07:31:00Z",0.85258
"2022-03-27T07:32:00Z",0.43287
"2022-03-27T07:33:00Z",0.59849
"2022-03-27T07:34:00Z",0.86844
"2022-03-27T07:35:00Z",0.67319
"2022-03-27T07:36:00Z",0.60551
"2022-03-27T07:37:00Z",0.88629
"2022-03-27T07:38:00Z",0.88614
"2022-03-27T07:39:00Z",0.46458
"2022-03-27T07:40:00Z",0.74234
"2022-03-27T07:41:00Z",0.27466
"2022-03-27T07:42:00Z",0.63468
"2022-03-27T07:43:00Z",1.0189
"2022-03-27T07:44:00Z",0.79773
"2022-03-27T07:45:00Z",0.6236
"2022-03-27T07:46:00Z",1.04495
"2022-03-27T07:47:00Z",1.04412
"2022-03-27T07:48:00Z",0.08527
"2022-03-27T07:49:00Z",0.49079
"2022-03-27T07:50:00Z",0.81064
"2022-03-27T07:51:00Z",1.01844
"2022-03-27T07:52:00Z",1.02093
"2022-03-27T07:53:00Z",1.02334
"2022-03-27T07:54:00Z",1.02749
"2022-03-27T07:55:00Z",0.38908
"2022-03-27T07:56:00Z",0.65878
"2022-03-27T07:57:00Z",1.04115
"2022-03-27T07:58:00Z",1.04262
"2022-03-27T07:59:00Z",1.04379
"2022-03-27T08:00:00Z",1.04321
"2022-03-27T08:01:00Z",0.37536
"2022-03-27T08:02:00Z",0.61806
"2022-03-27T08:03:00Z",1.04056
"2022-03-27T08:04:00Z",1.03963
"2022-03-27T08:05:00Z",1.02867
"2022-03-27T08:06:00Z",1.03931
"2022-03-27T08:07:00Z",0.48519
"2022-03-27T08:08:00Z",0.63959
"2022-03-27T08:09:00Z",1.03906
"2022-03-27T08:10:00Z",1.04093
"2022-03-27T08:11:00Z",1.03992
"2022-03-27T08:12:00Z",1.04206
"2022-03-27T08:13:00Z",0.61054
"2022-03-27T08:14:00Z",0.00046
"2022-03-27T08:15:00Z",0.00029
"2022-03-27T08:16:00Z",0.18642
"2022-03-27T08:17:00Z",0.28099
"2022-03-27T08:18:00Z",0.28128
"2022-03-27T08:19:00Z",0.27675
"2022-03-27T08:20:00Z",0.27797
"2022-03-27T08:21:00Z",0.27783
"2022-03-27T08:22:00Z",0.57497
"2022-03-27T08:23:00Z",0.60937
"2022-03-27T08:24:00Z",0.61452
"2022-03-27T08:25:00Z",0.61789
"2022-03-27T08:26:00Z",0.61623
"2022-03-27T08:27:00Z",0.61658
"2022-03-27T08:28:00Z",0.60422
"2022-03-27T08:29:00Z",1.01847
"2022-03-27T08:30:00Z",1.02546
"2022-03-27T08:31:00Z",0.47316
"2022-03-27T08:32:00Z",0.0004
"2022-03-27T08:33:00Z",0.09443
"2022-03-27T08:34:00Z",0.24241
"2022-03-27T08:35:00Z",0.59351
"2022-03-27T08:36:00Z",0.6171
"2022-03-27T08:37:00Z",0.61504
"2022-03-27T08:38:00Z",0.61159
"2022-03-27T08:39:00Z",0.61581
"2022-03-27T08:40:00Z",0.7563
"2022-03-27T08:41:00Z",1.21576
"2022-03-27T08:42:00Z",0.82758
"2022-03-27T08:43:00Z",0.39787
"2022-03-27T08:44:00Z",0.81483
"2022-03-27T08:45:00Z",1.14153
"2022-03-27T08:46:00Z",1.19063
"2022-03-27T08:47:00Z",1.18512
"2022-03-27T08:48:00Z",1.18145
"2022-03-27T08:49:00Z",0.03755
"2022-03-27T08:50:00Z",0.00088
"2022-03-27T08:51:00Z",0.1183
"2022-03-27T08:52:00Z",0.24471
"2022-03-27T08:53:00Z",0.28167
"2022-03-27T08:54:00Z",0.28132
"2022-03-27T08:55:00Z",0.28217
"2022-03-27T08:56:00Z",0.28292
"2022-03-27T08:57:00Z",0.41967
"2022-03-27T08:58:00Z",0.61426
"2022-03-27T08:59:00Z",0.6154
"2022-03-27T09:00:00Z",0.61769
"2022-03-27T09:01:00Z",0.61412
"2022-03-27T09:02:00Z",0.61279
"2022-03-27T09:03:00Z",0.74244
"2022-03-27T09:04:00Z",1.0487
"2022-03-27T09:05:00Z",1.03957
"2022-03-27T09:06:00Z",0.314
