"datetime","estimatedProcessedBytes"
"2022-03-27T07:07:00Z",382
"2022-03-27T07:08:00Z",922
"2022-03-27T07:09:00Z",836
"2022-03-27T07:10:00Z",1176
"2022-03-27T07:11:00Z",6020
"2022-03-27T07:12:00Z",613910680
"2022-03-27T07:13:00Z",1319026376
"2022-03-27T07:14:00Z",830578860
"2022-03-27T07:15:00Z",56659832
"2022-03-27T07:16:00Z",1410663864
"2022-03-27T07:17:00Z",1124876274
"2022-03-27T07:18:00Z",384655585
"2022-03-27T07:19:00Z",1258457052
"2022-03-27T07:20:00Z",1296766132
"2022-03-27T07:21:00Z",447573408
"2022-03-27T07:22:00Z",1055455974
"2022-03-27T07:23:00Z",1475899370
"2022-03-27T07:24:00Z",562649641
"2022-03-27T07:25:00Z",734400201
"2022-03-27T07:26:00Z",1463795670
"2022-03-27T07:27:00Z",368515667
"2022-03-27T07:28:00Z",9998
"2022-03-27T07:29:00Z",1166124928
"2022-03-27T07:30:00Z",1204960320
"2022-03-27T07:31:00Z",616198081
"2022-03-27T07:32:00Z",934759417
"2022-03-27T07:33:00Z",1382812142
"2022-03-27T07:34:00Z",694404494
"2022-03-27T07:35:00Z",707175200
"2022-03-27T07:36:00Z",1494833385
"2022-03-27T07:37:00Z",964498117
"2022-03-27T07:38:00Z",508523135
"2022-03-27T07:39:00Z",1347988039
"2022-03-27T07:40:00Z",490761225
"2022-03-27T07:41:00Z",281892307
"2022-03-27T07:42:00Z",1653588220
"2022-03-27T07:43:00Z",1305601720
"2022-03-27T07:44:00Z",123769307
"2022-03-27T07:45:00Z",1668565966
"2022-03-27T07:46:00Z",1669499666
"2022-03-27T07:47:00Z",151246999
"2022-03-27T07:48:00Z",15312
"2022-03-27T07:49:00Z",1301433897
"2022-03-27T07:50:00Z",1651197411
"2022-03-27T07:51:00Z",1656143030
"2022-03-27T07:52:00Z",1654626520
"2022-03-27T07:53:00Z",1661215201
"2022-03-27T07:54:00Z",448152175
"2022-03-27T07:55:00Z",1047864460
"2022-03-27T07:56:00Z",1678563423
"2022-03-27T07:57:00Z",1681734668
"2022-03-27T07:58:00Z",1681957407
"2022-03-27T07:59:00Z",1683107799
"2022-03-27T08:00:00Z",617741558
"2022-03-27T08:01:00Z",863722371
"2022-03-27T08:02:00Z",1658627800
"2022-03-27T08:03:00Z",1664260184
"2022-03-27T08:04:00Z",1652147383
"2022-03-27T08:05:00Z",1665299844
"2022-03-27T08:06:00Z",791515327
"2022-03-27T08:07:00Z",670871068
"2022-03-27T08:08:00Z",1678643286
"2022-03-27T08:09:00Z",1681619101
"2022-03-27T08:10:00Z",1678864098
"2022-03-27T08:11:00Z",1680118517
"2022-03-27T08:12:00Z",1002557153
"2022-03-27T08:13:00Z",7656
"2022-03-27T08:14:00Z",3564
"2022-03-27T08:15:00Z",3372
"2022-03-27T08:16:00Z",378465516
"2022-03-27T08:17:00Z",562269655
"2022-03-27T08:18:00Z",553210406
"2022-03-27T08:19:00Z",547621646
"2022-03-27T08:20:00Z",555793837
"2022-03-27T08:21:00Z",551094438
"2022-03-27T08:22:00Z",1181719264
"2022-03-27T08:23:00Z",1223888915
"2022-03-27T08:24:00Z",1217153292
"2022-03-27T08:25:00Z",1211970973
"2022-03-27T08:26:00Z",1216662278
"2022-03-27T08:27:00Z",1210822573
"2022-03-27T08:28:00Z",1622186914
"2022-03-27T08:29:00Z",1632092288
"2022-03-27T08:30:00Z",750028513
"2022-03-27T08:31:00Z",3386
"2022-03-27T08:32:00Z",3854
"2022-03-27T08:33:00Z",195596040
"2022-03-27T08:34:00Z",544980102
"2022-03-27T08:35:00Z",1200327687
"2022-03-27T08:36:00Z",1227802341
"2022-03-27T08:37:00Z",1226631456
"2022-03-27T08:38:00Z",1220644906
"2022-03-27T08:39:00Z",1226461627
"2022-03-27T08:40:00Z",1360630332
"2022-03-27T08:41:00Z",1822465190
"2022-03-27T08:42:00Z",1225451703
"2022-03-27T08:43:00Z",5042
"2022-03-27T08:44:00Z",1754977737
"2022-03-27T08:45:00Z",1803430883
"2022-03-27T08:46:00Z",1801160592
"2022-03-27T08:47:00Z",1793323814
"2022-03-27T08:48:00Z",37555840
"2022-03-27T08:49:00Z",6870
"2022-03-27T08:50:00Z",7528
"2022-03-27T08:51:00Z",474741906
"2022-03-27T08:52:00Z",561430393
"2022-03-27T08:53:00Z",560606316
"2022-03-27T08:54:00Z",563015088
"2022-03-27T08:55:00Z",564294934
"2022-03-27T08:56:00Z",803694169
"2022-03-27T08:57:00Z",1219616591
"2022-03-27T08:58:00Z",1222945421
"2022-03-27T08:59:00Z",1226177095
"2022-03-27T09:00:00Z",1215905475
"2022-03-27T09:01:00Z",1219549284
"2022-03-27T09:02:00Z",1349494670
"2022-03-27T09:03:00Z",1653816255
"2022-03-27T09:04:00Z",1645769022
"2022-03-27T09:05:00Z",526530691
"2022-03-27T09:06:00Z",10034
