"datetime","estimatedProcessedBytes"
"2022-03-27T09:58:00Z",44
"2022-03-27T09:59:00Z",225588669
"2022-03-27T10:00:00Z",726545987
"2022-03-27T10:01:00Z",110439156
"2022-03-27T10:02:00Z",869027280
"2022-03-27T10:03:00Z",176699711
"2022-03-27T10:04:00Z",216910494
"2022-03-27T10:05:00Z",1126808737
"2022-03-27T10:06:00Z",448320542
"2022-03-27T10:07:00Z",856745051
"2022-03-27T10:08:00Z",867704103
"2022-03-27T10:09:00Z",486309559
"2022-03-27T10:10:00Z",1034559207
"2022-03-27T10:11:00Z",541762227
"2022-03-27T10:12:00Z",599963434
"2022-03-27T10:13:00Z",1036085260
"2022-03-27T10:14:00Z",508075747
"2022-03-27T10:15:00Z",944387107
"2022-03-27T10:16:00Z",797410282
"2022-03-27T10:17:00Z",48501449
"2022-03-27T10:18:00Z",1184990692
"2022-03-27T10:19:00Z",15896
"2022-03-27T10:20:00Z",1278518512
"2022-03-27T10:21:00Z",668396844
"2022-03-27T10:22:00Z",456805868
"2022-03-27T10:23:00Z",1257985495
"2022-03-27T10:24:00Z",166915452
"2022-03-27T10:25:00Z",951073774
"2022-03-27T10:26:00Z",950623615
"2022-03-27T10:27:00Z",7230
"2022-03-27T10:28:00Z",93443503
"2022-03-27T10:29:00Z",1119812017
"2022-03-27T10:30:00Z",1191293265
"2022-03-27T10:31:00Z",1195297036
"2022-03-27T10:32:00Z",39178716
"2022-03-27T10:33:00Z",889247710
"2022-03-27T10:34:00Z",810425594
"2022-03-27T10:35:00Z",421341452
"2022-03-27T10:36:00Z",1109700540
"2022-03-27T10:37:00Z",1301841509
"2022-03-27T10:38:00Z",1305299326
"2022-03-27T10:39:00Z",1291379713
"2022-03-27T10:40:00Z",1016200593
"2022-03-27T10:41:00Z",393085198
"2022-03-27T10:42:00Z",1032822773
"2022-03-27T10:43:00Z",1287737268
"2022-03-27T10:44:00Z",1285768591
"2022-03-27T10:45:00Z",1286116648
"2022-03-27T10:46:00Z",1075037848
"2022-03-27T10:47:00Z",379095439
"2022-03-27T10:48:00Z",973948298
"2022-03-27T10:49:00Z",1325498836
"2022-03-27T10:50:00Z",1329072760
"2022-03-27T10:51:00Z",1327356010
"2022-03-27T10:52:00Z",1197353109
"2022-03-27T10:53:00Z",344290362
"2022-03-27T10:54:00Z",3650
"2022-03-27T10:55:00Z",3762
"2022-03-27T10:56:00Z",224187980
"2022-03-27T10:57:00Z",504737329
"2022-03-27T10:58:00Z",576449250
"2022-03-27T10:59:00Z",657238922
"2022-03-27T11:00:00Z",1014088513
"2022-03-27T11:01:00Z",992295772
"2022-03-27T11:02:00Z",1066480371
"2022-03-27T11:03:00Z",1276926230
"2022-03-27T11:04:00Z",1317745263
"2022-03-27T11:05:00Z",1313951917
"2022-03-27T11:06:00Z",1264830627
"2022-03-27T11:07:00Z",1289631330
"2022-03-27T11:08:00Z",1299350420
"2022-03-27T11:09:00Z",1317754682
"2022-03-27T11:10:00Z",1327642026
"2022-03-27T11:11:00Z",509843034
"2022-03-27T11:12:00Z",2212
"2022-03-27T11:13:00Z",1834
"2022-03-27T11:14:00Z",1634
"2022-03-27T11:15:00Z",312397877
"2022-03-27T11:16:00Z",513335407
"2022-03-27T11:17:00Z",552725171
"2022-03-27T11:18:00Z",682406821
"2022-03-27T11:19:00Z",992601655
"2022-03-27T11:20:00Z",1009139261
"2022-03-27T11:21:00Z",1089692746
"2022-03-27T11:22:00Z",1314941890
"2022-03-27T11:23:00Z",1249951163
"2022-03-27T11:24:00Z",1281866500
"2022-03-27T11:25:00Z",1322182322
"2022-03-27T11:26:00Z",1326779636
"2022-03-27T11:27:00Z",1342930092
"2022-03-27T11:28:00Z",1317045966
"2022-03-27T11:29:00Z",1218361617
"2022-03-27T11:30:00Z",351414878
"2022-03-27T11:31:00Z",1716
"2022-03-27T11:32:00Z",1716
"2022-03-27T11:33:00Z",112371310
"2022-03-27T11:34:00Z",429862592
"2022-03-27T11:35:00Z",597420350
"2022-03-27T11:36:00Z",896747530
"2022-03-27T11:37:00Z",1015474821
"2022-03-27T11:38:00Z",1042009816
"2022-03-27T11:39:00Z",1247491829
"2022-03-27T11:40:00Z",1351659087
"2022-03-27T11:41:00Z",1341688305
"2022-03-27T11:42:00Z",1338722195
"2022-03-27T11:43:00Z",1308368179
"2022-03-27T11:44:00Z",1306567098
"2022-03-27T11:45:00Z",1329254421
"2022-03-27T11:46:00Z",1320598083
"2022-03-27T11:47:00Z",1338103275
"2022-03-27T11:48:00Z",978939608
"2022-03-27T11:49:00Z",98324778
