"datetime","groupInServiceCapacity"
"2022-03-27T09:54:00Z",1
"2022-03-27T09:55:00Z",1
"2022-03-27T09:56:00Z",1
"2022-03-27T09:57:00Z",1
"2022-03-27T09:58:00Z",2
"2022-03-27T09:59:00Z",3
"2022-03-27T10:00:00Z",3
"2022-03-27T10:01:00Z",3
"2022-03-27T10:02:00Z",3
"2022-03-27T10:03:00Z",3
"2022-03-27T10:04:00Z",3
"2022-03-27T10:05:00Z",3
"2022-03-27T10:06:00Z",3
"2022-03-27T10:07:00Z",3
"2022-03-27T10:08:00Z",3
"2022-03-27T10:09:00Z",3
"2022-03-27T10:10:00Z",3
"2022-03-27T10:11:00Z",3
"2022-03-27T10:12:00Z",3
"2022-03-27T10:13:00Z",3
"2022-03-27T10:14:00Z",3
"2022-03-27T10:15:00Z",3
"2022-03-27T10:16:00Z",3
"2022-03-27T10:17:00Z",3
"2022-03-27T10:18:00Z",3
"2022-03-27T10:19:00Z",3
"2022-03-27T10:20:00Z",3
"2022-03-27T10:21:00Z",3
"2022-03-27T10:22:00Z",3
"2022-03-27T10:23:00Z",3
"2022-03-27T10:24:00Z",3
"2022-03-27T10:25:00Z",3
"2022-03-27T10:26:00Z",3
"2022-03-27T10:27:00Z",3
"2022-03-27T10:28:00Z",3
"2022-03-27T10:29:00Z",3
"2022-03-27T10:30:00Z",3
"2022-03-27T10:31:00Z",3
"2022-03-27T10:32:00Z",3
"2022-03-27T10:33:00Z",3
"2022-03-27T10:34:00Z",3
"2022-03-27T10:35:00Z",3
"2022-03-27T10:36:00Z",3
"2022-03-27T10:37:00Z",3
"2022-03-27T10:38:00Z",3
"2022-03-27T10:39:00Z",3
"2022-03-27T10:40:00Z",3
"2022-03-27T10:41:00Z",3
"2022-03-27T10:42:00Z",3
"2022-03-27T10:43:00Z",3
"2022-03-27T10:44:00Z",3
"2022-03-27T10:45:00Z",3
"2022-03-27T10:46:00Z",3
"2022-03-27T10:47:00Z",3
"2022-03-27T10:48:00Z",3
"2022-03-27T10:49:00Z",3
"2022-03-27T10:50:00Z",3
"2022-03-27T10:51:00Z",3
"2022-03-27T10:52:00Z",3
"2022-03-27T10:53:00Z",1
"2022-03-27T10:54:00Z",1
"2022-03-27T10:55:00Z",1
"2022-03-27T10:56:00Z",1
"2022-03-27T10:57:00Z",1
"2022-03-27T10:58:00Z",2
"2022-03-27T10:59:00Z",2
"2022-03-27T11:00:00Z",2
"2022-03-27T11:01:00Z",3
"2022-03-27T11:02:00Z",3
"2022-03-27T11:03:00Z",3
"2022-03-27T11:04:00Z",3
"2022-03-27T11:05:00Z",3
"2022-03-27T11:06:00Z",3
"2022-03-27T11:07:00Z",3
"2022-03-27T11:08:00Z",3
"2022-03-27T11:09:00Z",3
"2022-03-27T11:10:00Z",3
"2022-03-27T11:11:00Z",3
"2022-03-27T11:12:00Z",1
"2022-03-27T11:13:00Z",1
"2022-03-27T11:14:00Z",1
"2022-03-27T11:15:00Z",1
"2022-03-27T11:16:00Z",1
"2022-03-27T11:17:00Z",2
"2022-03-27T11:18:00Z",2
"2022-03-27T11:19:00Z",3
"2022-03-27T11:20:00Z",3
"2022-03-27T11:21:00Z",3
"2022-03-27T11:22:00Z",3
"2022-03-27T11:23:00Z",3
"2022-03-27T11:24:00Z",3
"2022-03-27T11:25:00Z",3
"2022-03-27T11:26:00Z",3
"2022-03-27T11:27:00Z",3
"2022-03-27T11:28:00Z",3
"2022-03-27T11:29:00Z",3
"2022-03-27T11:30:00Z",1
"2022-03-27T11:31:00Z",1
"2022-03-27T11:32:00Z",1
"2022-03-27T11:33:00Z",1
"2022-03-27T11:34:00Z",1
"2022-03-27T11:35:00Z",2
"2022-03-27T11:36:00Z",2
"2022-03-27T11:37:00Z",3
"2022-03-27T11:38:00Z",3
"2022-03-27T11:39:00Z",3
"2022-03-27T11:40:00Z",3
"2022-03-27T11:41:00Z",3
"2022-03-27T11:42:00Z",3
"2022-03-27T11:43:00Z",3
"2022-03-27T11:44:00Z",3
"2022-03-27T11:45:00Z",3
"2022-03-27T11:46:00Z",3
"2022-03-27T11:47:00Z",3
"2022-03-27T11:48:00Z",3
"2022-03-27T11:49:00Z",3
"2022-03-27T11:50:00Z",3
"2022-03-27T11:51:00Z",3
