"datetime","backendConnectionErrors"
"2022-03-27T19:37:00Z",201
"2022-03-27T19:43:00Z",100
"2022-03-27T19:44:00Z",2
"2022-03-27T19:45:00Z",1
"2022-03-27T19:46:00Z",200
"2022-03-27T19:59:00Z",1
"2022-03-27T20:04:00Z",101
"2022-03-27T20:09:00Z",198
"2022-03-27T20:14:00Z",1
"2022-03-27T20:19:00Z",1
"2022-03-27T20:30:00Z",200
"2022-03-27T20:31:00Z",204
"2022-03-27T20:35:00Z",100
"2022-03-27T20:38:00Z",201
"2022-03-27T20:42:00Z",1
"2022-03-27T20:44:00Z",101
"2022-03-27T20:51:00Z",101
"2022-03-27T20:52:00Z",1
"2022-03-27T20:55:00Z",101
"2022-03-27T20:58:00Z",101
"2022-03-27T20:59:00Z",1
"2022-03-27T21:12:00Z",100
"2022-03-27T21:13:00Z",1
"2022-03-27T21:14:00Z",99
"2022-03-27T21:19:00Z",101
