"datetime","estimatedALBConsumedLCUs"
"2022-03-27T19:32:00Z",0.00132
"2022-03-27T19:33:00Z",0.00017
"2022-03-27T19:34:00Z",0.0003
"2022-03-27T19:35:00Z",0.00031
"2022-03-27T19:36:00Z",0.00027
"2022-03-27T19:37:00Z",0.0036
"2022-03-27T19:38:00Z",0.62653
"2022-03-27T19:39:00Z",0.30936
"2022-03-27T19:40:00Z",0.29814
"2022-03-27T19:41:00Z",0.62801
"2022-03-27T19:42:00Z",0.01341
"2022-03-27T19:43:00Z",0.3886
"2022-03-27T19:44:00Z",0.80509
"2022-03-27T19:45:00Z",0.63237
"2022-03-27T19:46:00Z",0.7781
"2022-03-27T19:47:00Z",0.4255
"2022-03-27T19:48:00Z",0.61319
"2022-03-27T19:49:00Z",0.80689
"2022-03-27T19:50:00Z",0.61732
"2022-03-27T19:51:00Z",0.73136
"2022-03-27T19:52:00Z",0.46347
"2022-03-27T19:53:00Z",0.6248
"2022-03-27T19:54:00Z",0.81167
"2022-03-27T19:55:00Z",0.06481
"2022-03-27T19:56:00Z",0.79138
"2022-03-27T19:57:00Z",0.54965
"2022-03-27T19:58:00Z",0.59562
"2022-03-27T19:59:00Z",0.89928
"2022-03-27T20:00:00Z",0.45412
"2022-03-27T20:01:00Z",0.7501
"2022-03-27T20:02:00Z",0.61776
"2022-03-27T20:03:00Z",0.59354
"2022-03-27T20:04:00Z",0.93029
"2022-03-27T20:05:00Z",0.17269
"2022-03-27T20:06:00Z",0.00089
"2022-03-27T20:07:00Z",0.00109
"2022-03-27T20:08:00Z",0.75103
"2022-03-27T20:09:00Z",0.95302
"2022-03-27T20:10:00Z",0.96911
"2022-03-27T20:11:00Z",0.96135
"2022-03-27T20:12:00Z",0.9386
"2022-03-27T20:13:00Z",0.26068
"2022-03-27T20:14:00Z",0.66004
"2022-03-27T20:15:00Z",0.93156
"2022-03-27T20:16:00Z",0.94927
"2022-03-27T20:17:00Z",0.98341
"2022-03-27T20:18:00Z",0.98417
"2022-03-27T20:19:00Z",0.27886
"2022-03-27T20:20:00Z",0.66296
"2022-03-27T20:21:00Z",0.98228
"2022-03-27T20:22:00Z",0.9746
"2022-03-27T20:23:00Z",0.97444
"2022-03-27T20:24:00Z",0.97825
"2022-03-27T20:25:00Z",0.28403
"2022-03-27T20:26:00Z",0.63636
"2022-03-27T20:27:00Z",0.9762
"2022-03-27T20:28:00Z",0.97552
"2022-03-27T20:29:00Z",0.97733
"2022-03-27T20:30:00Z",0.97771
"2022-03-27T20:31:00Z",0.3318
"2022-03-27T20:32:00Z",0.00141
"2022-03-27T20:33:00Z",0.0012
"2022-03-27T20:34:00Z",0.02273
"2022-03-27T20:35:00Z",0.28471
"2022-03-27T20:36:00Z",0.28962
"2022-03-27T20:37:00Z",0.29267
"2022-03-27T20:38:00Z",0.27625
"2022-03-27T20:39:00Z",0.31183
"2022-03-27T20:40:00Z",0.3669
"2022-03-27T20:41:00Z",0.65481
"2022-03-27T20:42:00Z",0.65148
"2022-03-27T20:43:00Z",0.65223
"2022-03-27T20:44:00Z",0.6485
"2022-03-27T20:45:00Z",0.65772
"2022-03-27T20:46:00Z",0.65449
"2022-03-27T20:47:00Z",0.91632
"2022-03-27T20:48:00Z",0.91181
"2022-03-27T20:49:00Z",0.05459
"2022-03-27T20:50:00Z",0.00037
"2022-03-27T20:51:00Z",0.00108
"2022-03-27T20:52:00Z",0.25232
"2022-03-27T20:53:00Z",0.39074
"2022-03-27T20:54:00Z",0.52669
"2022-03-27T20:55:00Z",0.63839
"2022-03-27T20:56:00Z",0.63674
"2022-03-27T20:57:00Z",0.63107
"2022-03-27T20:58:00Z",0.6382
"2022-03-27T20:59:00Z",0.64267
"2022-03-27T21:00:00Z",0.81222
"2022-03-27T21:01:00Z",0.89001
"2022-03-27T21:02:00Z",0.90319
"2022-03-27T21:03:00Z",0.88403
"2022-03-27T21:04:00Z",0.90298
"2022-03-27T21:05:00Z",0.89777
"2022-03-27T21:06:00Z",0.27389
"2022-03-27T21:07:00Z",0.0003
"2022-03-27T21:08:00Z",0.00109
"2022-03-27T21:09:00Z",0.15881
"2022-03-27T21:10:00Z",0.26963
"2022-03-27T21:11:00Z",0.2676
"2022-03-27T21:12:00Z",0.26347
"2022-03-27T21:13:00Z",0.26219
"2022-03-27T21:14:00Z",0.38546
"2022-03-27T21:15:00Z",0.46153
"2022-03-27T21:16:00Z",0.52266
"2022-03-27T21:17:00Z",0.52689
"2022-03-27T21:18:00Z",0.52702
"2022-03-27T21:19:00Z",0.52893
"2022-03-27T21:20:00Z",0.53028
"2022-03-27T21:21:00Z",0.68962
"2022-03-27T21:22:00Z",0.88499
"2022-03-27T21:23:00Z",0.50328
"2022-03-27T21:24:00Z",0.00044
