"datetime","estimatedProcessedBytes"
"2022-03-27T19:32:00Z",1514
"2022-03-27T19:33:00Z",4112
"2022-03-27T19:34:00Z",3312
"2022-03-27T19:35:00Z",3582
"2022-03-27T19:36:00Z",3596
"2022-03-27T19:37:00Z",3602916
"2022-03-27T19:38:00Z",1192075423
"2022-03-27T19:39:00Z",616983107
"2022-03-27T19:40:00Z",555050196
"2022-03-27T19:41:00Z",1216989000
"2022-03-27T19:42:00Z",13413376
"2022-03-27T19:43:00Z",1389680491
"2022-03-27T19:44:00Z",31593651
"2022-03-27T19:45:00Z",1410478229
"2022-03-27T19:46:00Z",712143407
"2022-03-27T19:47:00Z",681654283
"2022-03-27T19:48:00Z",1420086844
"2022-03-27T19:49:00Z",47330056
"2022-03-27T19:50:00Z",1348686404
"2022-03-27T19:51:00Z",775627273
"2022-03-27T19:52:00Z",604937530
"2022-03-27T19:53:00Z",1436473813
"2022-03-27T19:54:00Z",66157186
"2022-03-27T19:55:00Z",10372
"2022-03-27T19:56:00Z",943977582
"2022-03-27T19:57:00Z",489541467
"2022-03-27T19:58:00Z",1494912891
"2022-03-27T19:59:00Z",246217942
"2022-03-27T20:00:00Z",1204231472
"2022-03-27T20:01:00Z",1045938595
"2022-03-27T20:02:00Z",414092359
"2022-03-27T20:03:00Z",1523846435
"2022-03-27T20:04:00Z",316045054
"2022-03-27T20:05:00Z",15542
"2022-03-27T20:06:00Z",13004
"2022-03-27T20:07:00Z",1204859938
"2022-03-27T20:08:00Z",1469263860
"2022-03-27T20:09:00Z",1484762840
"2022-03-27T20:10:00Z",1477656524
"2022-03-27T20:11:00Z",1455630414
"2022-03-27T20:12:00Z",351776587
"2022-03-27T20:13:00Z",1075647517
"2022-03-27T20:14:00Z",1450886706
"2022-03-27T20:15:00Z",1467907413
"2022-03-27T20:16:00Z",1502415960
"2022-03-27T20:17:00Z",1502757461
"2022-03-27T20:18:00Z",377342672
"2022-03-27T20:19:00Z",1065868178
"2022-03-27T20:20:00Z",1499223937
"2022-03-27T20:21:00Z",1494666869
"2022-03-27T20:22:00Z",1493831105
"2022-03-27T20:23:00Z",1498594092
"2022-03-27T20:24:00Z",399102532
"2022-03-27T20:25:00Z",1024196488
"2022-03-27T20:26:00Z",1498333697
"2022-03-27T20:27:00Z",1499281002
"2022-03-27T20:28:00Z",1499587153
"2022-03-27T20:29:00Z",1501059281
"2022-03-27T20:30:00Z",459937204
"2022-03-27T20:31:00Z",8430
"2022-03-27T20:32:00Z",3690
"2022-03-27T20:33:00Z",35538748
"2022-03-27T20:34:00Z",472289978
"2022-03-27T20:35:00Z",466600509
"2022-03-27T20:36:00Z",463204631
"2022-03-27T20:37:00Z",463766978
"2022-03-27T20:38:00Z",462429884
"2022-03-27T20:39:00Z",489430161
"2022-03-27T20:40:00Z",1123747283
"2022-03-27T20:41:00Z",1118633128
"2022-03-27T20:42:00Z",1126263891
"2022-03-27T20:43:00Z",1120765475
"2022-03-27T20:44:00Z",1133274822
"2022-03-27T20:45:00Z",1130589507
"2022-03-27T20:46:00Z",1389888071
"2022-03-27T20:47:00Z",1387212830
"2022-03-27T20:48:00Z",89750790
"2022-03-27T20:49:00Z",3414
"2022-03-27T20:50:00Z",3536
"2022-03-27T20:51:00Z",441582558
"2022-03-27T20:52:00Z",523285593
"2022-03-27T20:53:00Z",1031812381
"2022-03-27T20:54:00Z",1156317254
"2022-03-27T20:55:00Z",1158382809
"2022-03-27T20:56:00Z",1151631061
"2022-03-27T20:57:00Z",1160327620
"2022-03-27T20:58:00Z",1165745667
"2022-03-27T20:59:00Z",1451790872
"2022-03-27T21:00:00Z",1530145012
"2022-03-27T21:01:00Z",1490269079
"2022-03-27T21:02:00Z",1492072449
"2022-03-27T21:03:00Z",1545654349
"2022-03-27T21:04:00Z",1536272741
"2022-03-27T21:05:00Z",515230950
"2022-03-27T21:06:00Z",3552
"2022-03-27T21:07:00Z",3388
"2022-03-27T21:08:00Z",302125289
"2022-03-27T21:09:00Z",524724360
"2022-03-27T21:10:00Z",518644272
"2022-03-27T21:11:00Z",521106812
"2022-03-27T21:12:00Z",523406536
"2022-03-27T21:13:00Z",530425609
"2022-03-27T21:14:00Z",747262937
"2022-03-27T21:15:00Z",976485000
"2022-03-27T21:16:00Z",972041945
"2022-03-27T21:17:00Z",976769723
"2022-03-27T21:18:00Z",981466338
"2022-03-27T21:19:00Z",984743048
"2022-03-27T21:20:00Z",1146526221
"2022-03-27T21:21:00Z",1328541608
"2022-03-27T21:22:00Z",793618295
"2022-03-27T21:23:00Z",4914
"2022-03-27T21:24:00Z",3310
