"datetime","estimatedALBConsumedLCUs"
"2022-03-27T23:54:00Z",0.0006
"2022-03-27T23:55:00Z",0.00904
"2022-03-27T23:56:00Z",0.02929
"2022-03-27T23:57:00Z",0.0281
"2022-03-27T23:58:00Z",0.04523
"2022-03-27T23:59:00Z",0.04673
"2022-03-28T00:00:00Z",0.05666
"2022-03-28T00:01:00Z",0.05766
"2022-03-28T00:02:00Z",0.03855
"2022-03-28T00:03:00Z",0.06834
"2022-03-28T00:04:00Z",0.00133
"2022-03-28T00:05:00Z",0.05978
"2022-03-28T00:06:00Z",0.03778
"2022-03-28T00:07:00Z",0.02575
"2022-03-28T00:08:00Z",0.08141
"2022-03-28T00:09:00Z",0.01708
"2022-03-28T00:10:00Z",0.04923
"2022-03-28T00:11:00Z",0.0606
"2022-03-28T00:12:00Z",0.0075
"2022-03-28T00:13:00Z",0.07913
"2022-03-28T00:14:00Z",0.03436
"2022-03-28T00:15:00Z",0.03854
"2022-03-28T00:16:00Z",0.07984
"2022-03-28T00:17:00Z",0.00369
"2022-03-28T00:18:00Z",0.07258
"2022-03-28T00:19:00Z",0.05253
"2022-03-28T00:20:00Z",0.02379
"2022-03-28T00:21:00Z",0.07981
"2022-03-28T00:22:00Z",0.02018
"2022-03-28T00:23:00Z",0.00039
"2022-03-28T00:24:00Z",0.05604
"2022-03-28T00:25:00Z",0.07461
"2022-03-28T00:26:00Z",0.07675
"2022-03-28T00:27:00Z",0.07636
"2022-03-28T00:28:00Z",0.07509
"2022-03-28T00:29:00Z",0.04191
"2022-03-28T00:30:00Z",0.0322
"2022-03-28T00:31:00Z",0.07866
"2022-03-28T00:32:00Z",0.07863
"2022-03-28T00:33:00Z",0.07837
"2022-03-28T00:34:00Z",0.07849
"2022-03-28T00:35:00Z",0.05021
"2022-03-28T00:36:00Z",0.02408
"2022-03-28T00:37:00Z",0.07788
"2022-03-28T00:38:00Z",0.07904
"2022-03-28T00:39:00Z",0.07913
"2022-03-28T00:40:00Z",0.07594
"2022-03-28T00:41:00Z",0.05463
"2022-03-28T00:42:00Z",0.01661
"2022-03-28T00:43:00Z",0.08105
"2022-03-28T00:44:00Z",0.08144
"2022-03-28T00:45:00Z",0.08091
"2022-03-28T00:46:00Z",0.08431
"2022-03-28T00:47:00Z",0.06606
"2022-03-28T00:48:00Z",0.00052
"2022-03-28T00:49:00Z",0.00043
"2022-03-28T00:50:00Z",0.00033
"2022-03-28T00:51:00Z",0.00378
"2022-03-28T00:52:00Z",0.02671
"2022-03-28T00:53:00Z",0.03248
"2022-03-28T00:54:00Z",0.0332
"2022-03-28T00:55:00Z",0.03638
"2022-03-28T00:56:00Z",0.06117
"2022-03-28T00:57:00Z",0.05924
"2022-03-28T00:58:00Z",0.05724
"2022-03-28T00:59:00Z",0.07741
"2022-03-28T01:00:00Z",0.07679
"2022-03-28T01:01:00Z",0.07625
"2022-03-28T01:02:00Z",0.07723
"2022-03-28T01:03:00Z",0.06721
"2022-03-28T01:04:00Z",0.0745
"2022-03-28T01:05:00Z",0.07083
"2022-03-28T01:06:00Z",0.03986
"2022-03-28T01:07:00Z",0.00172
"2022-03-28T01:08:00Z",0.00032
"2022-03-28T01:09:00Z",0.00112
"2022-03-28T01:10:00Z",0.01385
"2022-03-28T01:11:00Z",0.03272
"2022-03-28T01:12:00Z",0.03369
"2022-03-28T01:13:00Z",0.03424
"2022-03-28T01:14:00Z",0.0586
"2022-03-28T01:15:00Z",0.05514
"2022-03-28T01:16:00Z",0.07448
"2022-03-28T01:17:00Z",0.07949
"2022-03-28T01:18:00Z",0.06744
"2022-03-28T01:19:00Z",0.079
"2022-03-28T01:20:00Z",0.08026
"2022-03-28T01:21:00Z",0.0727
"2022-03-28T01:22:00Z",0.07042
"2022-03-28T01:23:00Z",0.07346
"2022-03-28T01:24:00Z",0.04917
"2022-03-28T01:25:00Z",0.00043
"2022-03-28T01:26:00Z",0.00034
"2022-03-28T01:27:00Z",0.00036
"2022-03-28T01:28:00Z",0.00889
"2022-03-28T01:29:00Z",0.02501
"2022-03-28T01:30:00Z",0.02971
"2022-03-28T01:31:00Z",0.03657
"2022-03-28T01:32:00Z",0.05778
"2022-03-28T01:33:00Z",0.05791
"2022-03-28T01:34:00Z",0.05735
"2022-03-28T01:35:00Z",0.05317
"2022-03-28T01:36:00Z",0.08041
"2022-03-28T01:37:00Z",0.0765
"2022-03-28T01:38:00Z",0.07578
"2022-03-28T01:39:00Z",0.08148
"2022-03-28T01:40:00Z",0.08069
"2022-03-28T01:41:00Z",0.07524
"2022-03-28T01:42:00Z",0.07477
"2022-03-28T01:43:00Z",0.02652
"2022-03-28T01:44:00Z",0.00044
"2022-03-28T01:45:00Z",0.00036
