"datetime","estimatedProcessedBytes"
"2022-03-28T03:11:00Z",241102108
"2022-03-28T03:12:00Z",385653562
"2022-03-28T03:13:00Z",39327612
"2022-03-28T03:14:00Z",2438
"2022-03-28T03:15:00Z",618268916
"2022-03-28T03:16:00Z",494277268
"2022-03-28T03:17:00Z",139931623
"2022-03-28T03:18:00Z",704013506
"2022-03-28T03:19:00Z",691699825
"2022-03-28T03:20:00Z",5607
"2022-03-28T03:21:00Z",637043021
"2022-03-28T03:22:00Z",694962114
"2022-03-28T03:23:00Z",157250414
"2022-03-28T03:24:00Z",4830
"2022-03-28T03:25:00Z",702765271
"2022-03-28T03:26:00Z",434041815
"2022-03-28T03:27:00Z",188794463
"2022-03-28T03:28:00Z",701210469
"2022-03-28T03:29:00Z",631853773
"2022-03-28T03:30:00Z",5809253
"2022-03-28T03:31:00Z",697116458
"2022-03-28T03:32:00Z",714578565
"2022-03-28T03:33:00Z",123054357
"2022-03-28T03:34:00Z",514202946
"2022-03-28T03:35:00Z",706181764
"2022-03-28T03:36:00Z",314724121
"2022-03-28T03:37:00Z",317924160
"2022-03-28T03:38:00Z",719944399
"2022-03-28T03:39:00Z",484922538
"2022-03-28T03:40:00Z",5058
"2022-03-28T03:41:00Z",4860
"2022-03-28T03:42:00Z",719801201
"2022-03-28T03:43:00Z",399542108
"2022-03-28T03:44:00Z",241500935
"2022-03-28T03:45:00Z",711366328
"2022-03-28T03:46:00Z",597782139
"2022-03-28T03:47:00Z",7636
"2022-03-28T03:48:00Z",25477609
"2022-03-28T03:49:00Z",690312329
"2022-03-28T03:50:00Z",699792655
"2022-03-28T03:51:00Z",687217240
"2022-03-28T03:52:00Z",673782476
"2022-03-28T03:53:00Z",665792620
"2022-03-28T03:54:00Z",129642944
"2022-03-28T03:55:00Z",539126223
"2022-03-28T03:56:00Z",712201913
"2022-03-28T03:57:00Z",724129639
"2022-03-28T03:58:00Z",711917174
"2022-03-28T03:59:00Z",718870737
"2022-03-28T04:00:00Z",170028393
"2022-03-28T04:01:00Z",454856968
"2022-03-28T04:02:00Z",710448613
"2022-03-28T04:03:00Z",724892011
"2022-03-28T04:04:00Z",721529357
"2022-03-28T04:05:00Z",714104034
"2022-03-28T04:06:00Z",251465734
"2022-03-28T04:07:00Z",383220626
"2022-03-28T04:08:00Z",688053412
"2022-03-28T04:09:00Z",706963178
"2022-03-28T04:10:00Z",714174110
"2022-03-28T04:11:00Z",711787586
"2022-03-28T04:12:00Z",321701858
"2022-03-28T04:13:00Z",2678
"2022-03-28T04:14:00Z",1634
"2022-03-28T04:15:00Z",1780
"2022-03-28T04:16:00Z",47372235
"2022-03-28T04:17:00Z",233788419
"2022-03-28T04:18:00Z",267046897
"2022-03-28T04:19:00Z",362119802
"2022-03-28T04:20:00Z",494428810
"2022-03-28T04:21:00Z",491123335
"2022-03-28T04:22:00Z",625799426
"2022-03-28T04:23:00Z",670093368
"2022-03-28T04:24:00Z",669881619
"2022-03-28T04:25:00Z",669980730
"2022-03-28T04:26:00Z",671697385
"2022-03-28T04:27:00Z",651349157
"2022-03-28T04:28:00Z",661775642
"2022-03-28T04:29:00Z",676331589
"2022-03-28T04:30:00Z",666264357
"2022-03-28T04:31:00Z",366493030
"2022-03-28T04:32:00Z",2336
"2022-03-28T04:33:00Z",1706
"2022-03-28T04:34:00Z",2008
"2022-03-28T04:35:00Z",29139770
"2022-03-28T04:36:00Z",239527760
"2022-03-28T04:37:00Z",268228234
"2022-03-28T04:38:00Z",270919938
"2022-03-28T04:39:00Z",403119858
"2022-03-28T04:40:00Z",478642323
"2022-03-28T04:41:00Z",469832182
"2022-03-28T04:42:00Z",486600160
"2022-03-28T04:43:00Z",579526488
"2022-03-28T04:44:00Z",659091855
"2022-03-28T04:45:00Z",675224015
"2022-03-28T04:46:00Z",686611331
"2022-03-28T04:47:00Z",682250624
"2022-03-28T04:48:00Z",670012282
"2022-03-28T04:49:00Z",683693193
"2022-03-28T04:50:00Z",422812468
"2022-03-28T04:51:00Z",4224
"2022-03-28T04:52:00Z",1706
"2022-03-28T04:53:00Z",1706
"2022-03-28T04:54:00Z",19437120
"2022-03-28T04:55:00Z",243273449
"2022-03-28T04:56:00Z",282320352
"2022-03-28T04:57:00Z",318822034
"2022-03-28T04:58:00Z",432844110
"2022-03-28T04:59:00Z",446953386
"2022-03-28T05:00:00Z",538686527
"2022-03-28T05:01:00Z",662610785
"2022-03-28T05:02:00Z",664618062
"2022-03-28T05:03:00Z",677877572
"2022-03-28T05:04:00Z",669779042
"2022-03-28T05:05:00Z",672471967
"2022-03-28T05:06:00Z",667500106
"2022-03-28T05:07:00Z",666804251
"2022-03-28T05:08:00Z",650179115
"2022-03-28T05:09:00Z",425051887
"2022-03-28T05:10:00Z",816
"2022-03-28T05:11:00Z",890
