"datetime","groupInServiceCapacity"
"2022-03-28T03:05:00Z",1
"2022-03-28T03:06:00Z",1
"2022-03-28T03:07:00Z",1
"2022-03-28T03:08:00Z",1
"2022-03-28T03:09:00Z",1
"2022-03-28T03:10:00Z",3
"2022-03-28T03:11:00Z",3
"2022-03-28T03:12:00Z",3
"2022-03-28T03:13:00Z",3
"2022-03-28T03:14:00Z",3
"2022-03-28T03:15:00Z",3
"2022-03-28T03:16:00Z",3
"2022-03-28T03:17:00Z",3
"2022-03-28T03:18:00Z",3
"2022-03-28T03:19:00Z",3
"2022-03-28T03:20:00Z",3
"2022-03-28T03:21:00Z",3
"2022-03-28T03:22:00Z",3
"2022-03-28T03:23:00Z",3
"2022-03-28T03:24:00Z",3
"2022-03-28T03:25:00Z",3
"2022-03-28T03:26:00Z",3
"2022-03-28T03:27:00Z",3
"2022-03-28T03:28:00Z",3
"2022-03-28T03:29:00Z",3
"2022-03-28T03:30:00Z",3
"2022-03-28T03:31:00Z",3
"2022-03-28T03:32:00Z",3
"2022-03-28T03:33:00Z",3
"2022-03-28T03:34:00Z",3
"2022-03-28T03:35:00Z",3
"2022-03-28T03:36:00Z",3
"2022-03-28T03:37:00Z",3
"2022-03-28T03:38:00Z",3
"2022-03-28T03:39:00Z",3
"2022-03-28T03:40:00Z",3
"2022-03-28T03:41:00Z",3
"2022-03-28T03:42:00Z",3
"2022-03-28T03:43:00Z",3
"2022-03-28T03:44:00Z",3
"2022-03-28T03:45:00Z",3
"2022-03-28T03:46:00Z",3
"2022-03-28T03:47:00Z",3
"2022-03-28T03:48:00Z",3
"2022-03-28T03:49:00Z",3
"2022-03-28T03:50:00Z",3
"2022-03-28T03:51:00Z",3
"2022-03-28T03:52:00Z",3
"2022-03-28T03:53:00Z",3
"2022-03-28T03:54:00Z",3
"2022-03-28T03:55:00Z",3
"2022-03-28T03:56:00Z",3
"2022-03-28T03:57:00Z",3
"2022-03-28T03:58:00Z",3
"2022-03-28T03:59:00Z",3
"2022-03-28T04:00:00Z",3
"2022-03-28T04:01:00Z",3
"2022-03-28T04:02:00Z",3
"2022-03-28T04:03:00Z",3
"2022-03-28T04:04:00Z",3
"2022-03-28T04:05:00Z",3
"2022-03-28T04:06:00Z",3
"2022-03-28T04:07:00Z",3
"2022-03-28T04:08:00Z",3
"2022-03-28T04:09:00Z",3
"2022-03-28T04:10:00Z",3
"2022-03-28T04:11:00Z",3
"2022-03-28T04:12:00Z",3
"2022-03-28T04:13:00Z",1
"2022-03-28T04:14:00Z",1
"2022-03-28T04:15:00Z",1
"2022-03-28T04:16:00Z",1
"2022-03-28T04:17:00Z",1
"2022-03-28T04:18:00Z",2
"2022-03-28T04:19:00Z",2
"2022-03-28T04:20:00Z",3
"2022-03-28T04:21:00Z",3
"2022-03-28T04:22:00Z",3
"2022-03-28T04:23:00Z",3
"2022-03-28T04:24:00Z",3
"2022-03-28T04:25:00Z",3
"2022-03-28T04:26:00Z",3
"2022-03-28T04:27:00Z",3
"2022-03-28T04:28:00Z",3
"2022-03-28T04:29:00Z",3
"2022-03-28T04:30:00Z",3
"2022-03-28T04:31:00Z",3
"2022-03-28T04:32:00Z",1
"2022-03-28T04:33:00Z",1
"2022-03-28T04:34:00Z",1
"2022-03-28T04:35:00Z",1
"2022-03-28T04:36:00Z",1
"2022-03-28T04:37:00Z",1
"2022-03-28T04:38:00Z",2
"2022-03-28T04:39:00Z",2
"2022-03-28T04:40:00Z",3
"2022-03-28T04:41:00Z",3
"2022-03-28T04:42:00Z",3
"2022-03-28T04:43:00Z",3
"2022-03-28T04:44:00Z",3
"2022-03-28T04:45:00Z",3
"2022-03-28T04:46:00Z",3
"2022-03-28T04:47:00Z",3
"2022-03-28T04:48:00Z",3
"2022-03-28T04:49:00Z",3
"2022-03-28T04:50:00Z",3
"2022-03-28T04:51:00Z",1
"2022-03-28T04:52:00Z",1
"2022-03-28T04:53:00Z",1
"2022-03-28T04:54:00Z",1
"2022-03-28T04:55:00Z",1
"2022-03-28T04:56:00Z",2
"2022-03-28T04:57:00Z",2
"2022-03-28T04:58:00Z",2
"2022-03-28T04:59:00Z",3
"2022-03-28T05:00:00Z",3
"2022-03-28T05:01:00Z",3
"2022-03-28T05:02:00Z",3
"2022-03-28T05:03:00Z",3
"2022-03-28T05:04:00Z",3
"2022-03-28T05:05:00Z",3
"2022-03-28T05:06:00Z",3
"2022-03-28T05:07:00Z",3
"2022-03-28T05:08:00Z",3
"2022-03-28T05:09:00Z",3
"2022-03-28T05:10:00Z",3
"2022-03-28T05:11:00Z",3
"2022-03-28T05:12:00Z",3
