"datetime","estimatedProcessedBytes"
"2022-03-28T07:00:00Z",29517642
"2022-03-28T07:01:00Z",41837324
"2022-03-28T07:02:00Z",9575354
"2022-03-28T07:03:00Z",115653354
"2022-03-28T07:04:00Z",50402826
"2022-03-28T07:05:00Z",57142262
"2022-03-28T07:06:00Z",139220674
"2022-03-28T07:07:00Z",11398042
"2022-03-28T07:08:00Z",98858791
"2022-03-28T07:09:00Z",84688786
"2022-03-28T07:10:00Z",32119963
"2022-03-28T07:11:00Z",154785336
"2022-03-28T07:12:00Z",40795777
"2022-03-28T07:13:00Z",87236331
"2022-03-28T07:14:00Z",129416325
"2022-03-28T07:15:00Z",4648645
"2022-03-28T07:16:00Z",128797271
"2022-03-28T07:17:00Z",71181370
"2022-03-28T07:18:00Z",54506813
"2022-03-28T07:19:00Z",146893788
"2022-03-28T07:20:00Z",18144587
"2022-03-28T07:21:00Z",108092992
"2022-03-28T07:22:00Z",105276813
"2022-03-28T07:23:00Z",23027673
"2022-03-28T07:24:00Z",159433661
"2022-03-28T07:25:00Z",54232497
"2022-03-28T07:26:00Z",83606989
"2022-03-28T07:27:00Z",151705505
"2022-03-28T07:28:00Z",4342837
"2022-03-28T07:29:00Z",2378
"2022-03-28T07:30:00Z",127454969
"2022-03-28T07:31:00Z",143572095
"2022-03-28T07:32:00Z",142145460
"2022-03-28T07:33:00Z",144112643
"2022-03-28T07:34:00Z",146233131
"2022-03-28T07:35:00Z",51222377
"2022-03-28T07:36:00Z",92513337
"2022-03-28T07:37:00Z",154813427
"2022-03-28T07:38:00Z",152995560
"2022-03-28T07:39:00Z",154472127
"2022-03-28T07:40:00Z",151241258
"2022-03-28T07:41:00Z",57999308
"2022-03-28T07:42:00Z",75994564
"2022-03-28T07:43:00Z",156340650
"2022-03-28T07:44:00Z",157943479
"2022-03-28T07:45:00Z",154025093
"2022-03-28T07:46:00Z",157466770
"2022-03-28T07:47:00Z",79798661
"2022-03-28T07:48:00Z",60534114
"2022-03-28T07:49:00Z",157155622
"2022-03-28T07:50:00Z",158084405
"2022-03-28T07:51:00Z",159336517
"2022-03-28T07:52:00Z",161958683
"2022-03-28T07:53:00Z",96973261
"2022-03-28T07:54:00Z",8740
"2022-03-28T07:55:00Z",1940
"2022-03-28T07:56:00Z",1732
"2022-03-28T07:57:00Z",42349651
"2022-03-28T07:58:00Z",56634993
"2022-03-28T07:59:00Z",57142541
"2022-03-28T08:00:00Z",55511497
"2022-03-28T08:01:00Z",93714753
"2022-03-28T08:02:00Z",109472968
"2022-03-28T08:03:00Z",108549821
"2022-03-28T08:04:00Z",131403329
"2022-03-28T08:05:00Z",151923968
"2022-03-28T08:06:00Z",148765355
"2022-03-28T08:07:00Z",148890036
"2022-03-28T08:08:00Z",144674011
"2022-03-28T08:09:00Z",145436115
"2022-03-28T08:10:00Z",155962369
"2022-03-28T08:11:00Z",134066604
"2022-03-28T08:12:00Z",6220
"2022-03-28T08:13:00Z",1940
"2022-03-28T08:14:00Z",1732
"2022-03-28T08:15:00Z",30605337
"2022-03-28T08:16:00Z",53076201
"2022-03-28T08:17:00Z",55227816
"2022-03-28T08:18:00Z",57419890
"2022-03-28T08:19:00Z",81684691
"2022-03-28T08:20:00Z",108324151
"2022-03-28T08:21:00Z",119391783
"2022-03-28T08:22:00Z",149450036
"2022-03-28T08:23:00Z",152930094
"2022-03-28T08:24:00Z",144775918
"2022-03-28T08:25:00Z",146162490
"2022-03-28T08:26:00Z",141120305
"2022-03-28T08:27:00Z",146518813
"2022-03-28T08:28:00Z",152611015
"2022-03-28T08:29:00Z",158692897
"2022-03-28T08:30:00Z",14588920
"2022-03-28T08:31:00Z",1684
"2022-03-28T08:32:00Z",1780
"2022-03-28T08:33:00Z",10662308
"2022-03-28T08:34:00Z",45914831
"2022-03-28T08:35:00Z",57185483
"2022-03-28T08:36:00Z",59836259
"2022-03-28T08:37:00Z",109825037
"2022-03-28T08:38:00Z",112645280
"2022-03-28T08:39:00Z",113388122
"2022-03-28T08:40:00Z",136811943
"2022-03-28T08:41:00Z",151792125
"2022-03-28T08:42:00Z",144628674
"2022-03-28T08:43:00Z",156195869
"2022-03-28T08:44:00Z",154193614
"2022-03-28T08:45:00Z",150537778
"2022-03-28T08:46:00Z",146484805
"2022-03-28T08:47:00Z",145548121
"2022-03-28T08:48:00Z",86234670
"2022-03-28T08:49:00Z",1488
"2022-03-28T08:50:00Z",1562
