"datetime","groupInServiceCapacity"
"2022-03-28T06:55:00Z",1
"2022-03-28T06:56:00Z",1
"2022-03-28T06:57:00Z",1
"2022-03-28T06:58:00Z",1
"2022-03-28T06:59:00Z",1
"2022-03-28T07:00:00Z",3
"2022-03-28T07:01:00Z",3
"2022-03-28T07:02:00Z",3
"2022-03-28T07:03:00Z",3
"2022-03-28T07:04:00Z",3
"2022-03-28T07:05:00Z",3
"2022-03-28T07:06:00Z",3
"2022-03-28T07:07:00Z",3
"2022-03-28T07:08:00Z",3
"2022-03-28T07:09:00Z",3
"2022-03-28T07:10:00Z",3
"2022-03-28T07:11:00Z",3
"2022-03-28T07:12:00Z",3
"2022-03-28T07:13:00Z",3
"2022-03-28T07:14:00Z",3
"2022-03-28T07:15:00Z",3
"2022-03-28T07:16:00Z",3
"2022-03-28T07:17:00Z",3
"2022-03-28T07:18:00Z",3
"2022-03-28T07:19:00Z",3
"2022-03-28T07:20:00Z",3
"2022-03-28T07:21:00Z",3
"2022-03-28T07:22:00Z",3
"2022-03-28T07:23:00Z",3
"2022-03-28T07:24:00Z",3
"2022-03-28T07:25:00Z",3
"2022-03-28T07:26:00Z",3
"2022-03-28T07:27:00Z",3
"2022-03-28T07:28:00Z",3
"2022-03-28T07:29:00Z",3
"2022-03-28T07:30:00Z",3
"2022-03-28T07:31:00Z",3
"2022-03-28T07:32:00Z",3
"2022-03-28T07:33:00Z",3
"2022-03-28T07:34:00Z",3
"2022-03-28T07:35:00Z",3
"2022-03-28T07:36:00Z",3
"2022-03-28T07:37:00Z",3
"2022-03-28T07:38:00Z",3
"2022-03-28T07:39:00Z",3
"2022-03-28T07:40:00Z",3
"2022-03-28T07:41:00Z",3
"2022-03-28T07:42:00Z",3
"2022-03-28T07:43:00Z",3
"2022-03-28T07:44:00Z",3
"2022-03-28T07:45:00Z",3
"2022-03-28T07:46:00Z",3
"2022-03-28T07:47:00Z",3
"2022-03-28T07:48:00Z",3
"2022-03-28T07:49:00Z",3
"2022-03-28T07:50:00Z",3
"2022-03-28T07:51:00Z",3
"2022-03-28T07:52:00Z",3
"2022-03-28T07:53:00Z",3
"2022-03-28T07:54:00Z",1
"2022-03-28T07:55:00Z",1
"2022-03-28T07:56:00Z",1
"2022-03-28T07:57:00Z",1
"2022-03-28T07:58:00Z",1
"2022-03-28T07:59:00Z",2
"2022-03-28T08:00:00Z",2
"2022-03-28T08:01:00Z",2
"2022-03-28T08:02:00Z",2
"2022-03-28T08:03:00Z",3
"2022-03-28T08:04:00Z",3
"2022-03-28T08:05:00Z",3
"2022-03-28T08:06:00Z",3
"2022-03-28T08:07:00Z",3
"2022-03-28T08:08:00Z",3
"2022-03-28T08:09:00Z",3
"2022-03-28T08:10:00Z",3
"2022-03-28T08:11:00Z",3
"2022-03-28T08:12:00Z",1
"2022-03-28T08:13:00Z",1
"2022-03-28T08:14:00Z",1
"2022-03-28T08:15:00Z",1
"2022-03-28T08:16:00Z",1
"2022-03-28T08:17:00Z",1
"2022-03-28T08:18:00Z",2
"2022-03-28T08:19:00Z",2
"2022-03-28T08:20:00Z",2
"2022-03-28T08:21:00Z",3
"2022-03-28T08:22:00Z",3
"2022-03-28T08:23:00Z",3
"2022-03-28T08:24:00Z",3
"2022-03-28T08:25:00Z",3
"2022-03-28T08:26:00Z",3
"2022-03-28T08:27:00Z",3
"2022-03-28T08:28:00Z",3
"2022-03-28T08:29:00Z",3
"2022-03-28T08:30:00Z",3
"2022-03-28T08:31:00Z",1
"2022-03-28T08:32:00Z",1
"2022-03-28T08:33:00Z",1
"2022-03-28T08:34:00Z",1
"2022-03-28T08:35:00Z",1
"2022-03-28T08:36:00Z",2
"2022-03-28T08:37:00Z",2
"2022-03-28T08:38:00Z",3
"2022-03-28T08:39:00Z",3
"2022-03-28T08:40:00Z",3
"2022-03-28T08:41:00Z",3
"2022-03-28T08:42:00Z",3
"2022-03-28T08:43:00Z",3
"2022-03-28T08:44:00Z",3
"2022-03-28T08:45:00Z",3
"2022-03-28T08:46:00Z",3
"2022-03-28T08:47:00Z",3
"2022-03-28T08:48:00Z",3
"2022-03-28T08:49:00Z",3
"2022-03-28T08:50:00Z",3
"2022-03-28T08:51:00Z",3
