"datetime","estimatedALBActiveConnectionCount"
"2022-03-28T19:58:00Z",3
"2022-03-28T19:59:00Z",3
"2022-03-28T20:00:00Z",3
"2022-03-28T20:01:00Z",4
"2022-03-28T20:02:00Z",11.5
"2022-03-28T20:03:00Z",67.5
"2022-03-28T20:04:00Z",69
"2022-03-28T20:05:00Z",36.5
"2022-03-28T20:06:00Z",8.25
"2022-03-28T20:07:00Z",38.5
"2022-03-28T20:08:00Z",38.25
"2022-03-28T20:09:00Z",8.75
"2022-03-28T20:10:00Z",39.75
"2022-03-28T20:11:00Z",39.75
"2022-03-28T20:12:00Z",8.75
"2022-03-28T20:13:00Z",40.25
"2022-03-28T20:14:00Z",40.5
"2022-03-28T20:15:00Z",9.75
"2022-03-28T20:16:00Z",20.6
"2022-03-28T20:17:00Z",30.166666666666668
"2022-03-28T20:18:00Z",19.666666666666668
"2022-03-28T20:19:00Z",20.166666666666668
"2022-03-28T20:20:00Z",30
"2022-03-28T20:21:00Z",30.666666666666668
"2022-03-28T20:22:00Z",9
"2022-03-28T20:23:00Z",30.833333333333332
"2022-03-28T20:24:00Z",30.833333333333332
"2022-03-28T20:25:00Z",8.833333333333334
"2022-03-28T20:26:00Z",30.833333333333332
"2022-03-28T20:27:00Z",31.5
"2022-03-28T20:28:00Z",9.5
"2022-03-28T20:29:00Z",18.142857142857142
"2022-03-28T20:30:00Z",25.5
"2022-03-28T20:31:00Z",16.375
"2022-03-28T20:32:00Z",16.5
"2022-03-28T20:33:00Z",27.857142857142858
"2022-03-28T20:34:00Z",32.5
"2022-03-28T20:35:00Z",8.833333333333334
"2022-03-28T20:36:00Z",31
"2022-03-28T20:37:00Z",32
"2022-03-28T20:38:00Z",8.666666666666666
"2022-03-28T20:39:00Z",8.666666666666666
"2022-03-28T20:40:00Z",32
"2022-03-28T20:41:00Z",31.5
"2022-03-28T20:42:00Z",31.833333333333332
"2022-03-28T20:43:00Z",45.25
"2022-03-28T20:44:00Z",44.5
"2022-03-28T20:45:00Z",9.75
"2022-03-28T20:46:00Z",43.5
"2022-03-28T20:47:00Z",43
"2022-03-28T20:48:00Z",43.5
"2022-03-28T20:49:00Z",42.5
"2022-03-28T20:50:00Z",31.166666666666668
"2022-03-28T20:51:00Z",8.166666666666666
"2022-03-28T20:52:00Z",19.833333333333332
"2022-03-28T20:53:00Z",30.833333333333332
"2022-03-28T20:54:00Z",30.666666666666668
"2022-03-28T20:55:00Z",30.333333333333332
"2022-03-28T20:56:00Z",30.166666666666668
"2022-03-28T20:57:00Z",26.5
"2022-03-28T20:58:00Z",25.5
"2022-03-28T20:59:00Z",42.5
"2022-03-28T21:00:00Z",42.5
"2022-03-28T21:01:00Z",42.25
"2022-03-28T21:02:00Z",42.5
"2022-03-28T21:03:00Z",24
"2022-03-28T21:04:00Z",4.25
"2022-03-28T21:05:00Z",4
"2022-03-28T21:06:00Z",4
"2022-03-28T21:07:00Z",38.75
"2022-03-28T21:08:00Z",21.5
"2022-03-28T21:09:00Z",39
"2022-03-28T21:10:00Z",39.25
"2022-03-28T21:11:00Z",39.25
"2022-03-28T21:12:00Z",50
"2022-03-28T21:13:00Z",51.5
"2022-03-28T21:14:00Z",43
"2022-03-28T21:15:00Z",42.25
"2022-03-28T21:16:00Z",42.25
"2022-03-28T21:17:00Z",81.5
"2022-03-28T21:18:00Z",81
"2022-03-28T21:19:00Z",77.5
"2022-03-28T21:20:00Z",77.5
"2022-03-28T21:21:00Z",42
"2022-03-28T21:22:00Z",5
"2022-03-28T21:23:00Z",4
"2022-03-28T21:24:00Z",39
"2022-03-28T21:25:00Z",73.5
"2022-03-28T21:26:00Z",73.5
"2022-03-28T21:27:00Z",72.5
"2022-03-28T21:28:00Z",93.5
"2022-03-28T21:29:00Z",93.5
"2022-03-28T21:30:00Z",78.5
"2022-03-28T21:31:00Z",77
"2022-03-28T21:32:00Z",75.5
"2022-03-28T21:33:00Z",77
"2022-03-28T21:34:00Z",76
"2022-03-28T21:35:00Z",76.5
"2022-03-28T21:36:00Z",76.5
"2022-03-28T21:37:00Z",77.5
"2022-03-28T21:38:00Z",42.5
"2022-03-28T21:39:00Z",5
"2022-03-28T21:40:00Z",4
"2022-03-28T21:41:00Z",39
"2022-03-28T21:42:00Z",72
"2022-03-28T21:43:00Z",74
"2022-03-28T21:44:00Z",74
"2022-03-28T21:45:00Z",74
"2022-03-28T21:46:00Z",127.5
"2022-03-28T21:47:00Z",94.5
"2022-03-28T21:48:00Z",77.5
"2022-03-28T21:49:00Z",77
"2022-03-28T21:50:00Z",78
"2022-03-28T21:51:00Z",78.5
"2022-03-28T21:52:00Z",78
"2022-03-28T21:53:00Z",78
"2022-03-28T21:54:00Z",74
"2022-03-28T21:55:00Z",43
"2022-03-28T21:56:00Z",8
"2022-03-28T21:57:00Z",8
"2022-03-28T21:58:00Z",8
