"datetime","estimatedALBConsumedLCUs"
"2022-03-29T23:29:00Z",0.00266
"2022-03-29T23:30:00Z",0.11599
"2022-03-29T23:31:00Z",0.22223
"2022-03-29T23:32:00Z",0.22023
"2022-03-29T23:33:00Z",0.19655
"2022-03-29T23:34:00Z",0.35708
"2022-03-29T23:35:00Z",0.30031
"2022-03-29T23:36:00Z",0.13596
"2022-03-29T23:37:00Z",0.36095
"2022-03-29T23:38:00Z",0.31926
"2022-03-29T23:39:00Z",0.2239
"2022-03-29T23:40:00Z",0.34966
"2022-03-29T23:41:00Z",0.35648
"2022-03-29T23:42:00Z",0.31448
"2022-03-29T23:43:00Z",0.25659
"2022-03-29T23:44:00Z",0.36196
"2022-03-29T23:45:00Z",0.15111
"2022-03-29T23:46:00Z",0.1771
"2022-03-29T23:47:00Z",0.37034
"2022-03-29T23:48:00Z",0.65837
"2022-03-29T23:49:00Z",0.39251
"2022-03-29T23:50:00Z",0.30979
"2022-03-29T23:51:00Z",0.36637
"2022-03-29T23:52:00Z",0.31776
"2022-03-29T23:53:00Z",0.24197
"2022-03-29T23:54:00Z",0.37215
"2022-03-29T23:55:00Z",0.37053
"2022-03-29T23:56:00Z",0.31012
"2022-03-29T23:57:00Z",0.26843
"2022-03-29T23:58:00Z",0.36448
"2022-03-29T23:59:00Z",0.31401
"2022-03-30T00:00:00Z",0.28472
"2022-03-30T00:01:00Z",0.35725
"2022-03-30T00:02:00Z",0.29904
"2022-03-30T00:03:00Z",0.3663
"2022-03-30T00:04:00Z",0.35744
"2022-03-30T00:05:00Z",0.00072
"2022-03-30T00:06:00Z",0.20121
"2022-03-30T00:07:00Z",0.31347
"2022-03-30T00:08:00Z",0.34324
"2022-03-30T00:09:00Z",0.34829
"2022-03-30T00:10:00Z",0.34412
"2022-03-30T00:11:00Z",0.33802
"2022-03-30T00:12:00Z",0.12626
"2022-03-30T00:13:00Z",0.31939
"2022-03-30T00:14:00Z",0.36568
"2022-03-30T00:15:00Z",0.36699
"2022-03-30T00:16:00Z",0.35757
"2022-03-30T00:17:00Z",0.36951
"2022-03-30T00:18:00Z",0.14959
"2022-03-30T00:19:00Z",0.31919
"2022-03-30T00:20:00Z",0.37173
"2022-03-30T00:21:00Z",0.37008
"2022-03-30T00:22:00Z",0.37015
"2022-03-30T00:23:00Z",0.36841
"2022-03-30T00:24:00Z",0.20043
"2022-03-30T00:25:00Z",0.15013
"2022-03-30T00:26:00Z",0.36783
"2022-03-30T00:27:00Z",0.36747
"2022-03-30T00:28:00Z",0.36794
"2022-03-30T00:29:00Z",0.36794
"2022-03-30T00:30:00Z",0.36339
"2022-03-30T00:31:00Z",0.23509
"2022-03-30T00:32:00Z",0.00029
"2022-03-30T00:33:00Z",0.00092
"2022-03-30T00:34:00Z",0.05016
"2022-03-30T00:35:00Z",0.10461
"2022-03-30T00:36:00Z",0.1282
"2022-03-30T00:37:00Z",0.14379
"2022-03-30T00:38:00Z",0.16698
"2022-03-30T00:39:00Z",0.21953
"2022-03-30T00:40:00Z",0.24262
"2022-03-30T00:41:00Z",0.24937
"2022-03-30T00:42:00Z",0.32355
"2022-03-30T00:43:00Z",0.31651
"2022-03-30T00:44:00Z",0.32244
"2022-03-30T00:45:00Z",0.33096
"2022-03-30T00:46:00Z",0.33182
"2022-03-30T00:47:00Z",0.32905
"2022-03-30T00:48:00Z",0.33333
"2022-03-30T00:49:00Z",0.30956
"2022-03-30T00:50:00Z",0.15881
"2022-03-30T00:51:00Z",0.00034
"2022-03-30T00:52:00Z",0.01261
"2022-03-30T00:53:00Z",0.05916
"2022-03-30T00:54:00Z",0.12274
"2022-03-30T00:55:00Z",0.13641
"2022-03-30T00:56:00Z",0.13773
"2022-03-30T00:57:00Z",0.14809
"2022-03-30T00:58:00Z",0.20528
"2022-03-30T00:59:00Z",0.23576
"2022-03-30T01:00:00Z",0.24848
"2022-03-30T01:01:00Z",0.25082
"2022-03-30T01:02:00Z",0.3256
"2022-03-30T01:03:00Z",0.33197
"2022-03-30T01:04:00Z",0.34134
"2022-03-30T01:05:00Z",0.32892
"2022-03-30T01:06:00Z",0.3284
"2022-03-30T01:07:00Z",0.32343
"2022-03-30T01:08:00Z",0.32979
"2022-03-30T01:09:00Z",0.08956
"2022-03-30T01:10:00Z",0.00104
"2022-03-30T01:11:00Z",0.05752
"2022-03-30T01:12:00Z",0.11886
"2022-03-30T01:13:00Z",0.1421
"2022-03-30T01:14:00Z",0.16772
"2022-03-30T01:15:00Z",0.21834
"2022-03-30T01:16:00Z",0.23347
"2022-03-30T01:17:00Z",0.24215
"2022-03-30T01:18:00Z",0.29302
"2022-03-30T01:19:00Z",0.3497
"2022-03-30T01:20:00Z",0.35173
"2022-03-30T01:21:00Z",0.35157
"2022-03-30T01:22:00Z",0.35644
"2022-03-30T01:23:00Z",0.3554
"2022-03-30T01:24:00Z",0.35321
"2022-03-30T01:25:00Z",0.3521
"2022-03-30T01:26:00Z",0.35034
"2022-03-30T01:27:00Z",0.16587
"2022-03-30T01:28:00Z",0.00046
