"datetime","estimatedALBConsumedLCUs"
"2022-03-30T04:14:00Z",0.0173
"2022-03-30T04:15:00Z",0.03337
"2022-03-30T04:16:00Z",0.01888
"2022-03-30T04:17:00Z",0.06569
"2022-03-30T04:18:00Z",0.04095
"2022-03-30T04:19:00Z",0.04682
"2022-03-30T04:20:00Z",0.06023
"2022-03-30T04:21:00Z",0.01066
"2022-03-30T04:22:00Z",0.06653
"2022-03-30T04:23:00Z",0.06718
"2022-03-30T04:24:00Z",0.03394
"2022-03-30T04:25:00Z",0.07981
"2022-03-30T04:26:00Z",0.03203
"2022-03-30T04:27:00Z",0.05738
"2022-03-30T04:28:00Z",0.08183
"2022-03-30T04:29:00Z",0.01966
"2022-03-30T04:30:00Z",0.07166
"2022-03-30T04:31:00Z",0.05218
"2022-03-30T04:32:00Z",0.03315
"2022-03-30T04:33:00Z",0.07874
"2022-03-30T04:34:00Z",0.01674
"2022-03-30T04:35:00Z",0.07749
"2022-03-30T04:36:00Z",0.06971
"2022-03-30T04:37:00Z",0.03491
"2022-03-30T04:38:00Z",0.08336
"2022-03-30T04:39:00Z",0.03511
"2022-03-30T04:40:00Z",0.05689
"2022-03-30T04:41:00Z",0.08376
"2022-03-30T04:42:00Z",0.00246
"2022-03-30T04:43:00Z",0.01683
"2022-03-30T04:44:00Z",0.07313
"2022-03-30T04:45:00Z",0.08504
"2022-03-30T04:46:00Z",0.07797
"2022-03-30T04:47:00Z",0.07426
"2022-03-30T04:48:00Z",0.07999
"2022-03-30T04:49:00Z",0.03303
"2022-03-30T04:50:00Z",0.06449
"2022-03-30T04:51:00Z",0.07348
"2022-03-30T04:52:00Z",0.0735
"2022-03-30T04:53:00Z",0.07369
"2022-03-30T04:54:00Z",0.0732
"2022-03-30T04:55:00Z",0.03242
"2022-03-30T04:56:00Z",0.06485
"2022-03-30T04:57:00Z",0.08378
"2022-03-30T04:58:00Z",0.08394
"2022-03-30T04:59:00Z",0.08483
"2022-03-30T05:00:00Z",0.08204
"2022-03-30T05:01:00Z",0.04523
"2022-03-30T05:02:00Z",0.05841
"2022-03-30T05:03:00Z",0.08487
"2022-03-30T05:04:00Z",0.08526
"2022-03-30T05:05:00Z",0.0866
"2022-03-30T05:06:00Z",0.08555
"2022-03-30T05:07:00Z",0.05505
"2022-03-30T05:08:00Z",0.0004
"2022-03-30T05:09:00Z",0.00029
"2022-03-30T05:10:00Z",0.00728
"2022-03-30T05:11:00Z",0.02472
"2022-03-30T05:12:00Z",0.0304
"2022-03-30T05:13:00Z",0.02968
"2022-03-30T05:14:00Z",0.02952
"2022-03-30T05:15:00Z",0.03237
"2022-03-30T05:16:00Z",0.05605
"2022-03-30T05:17:00Z",0.06049
"2022-03-30T05:18:00Z",0.06837
"2022-03-30T05:19:00Z",0.07949
"2022-03-30T05:20:00Z",0.08269
"2022-03-30T05:21:00Z",0.08314
"2022-03-30T05:22:00Z",0.08266
"2022-03-30T05:23:00Z",0.08468
"2022-03-30T05:24:00Z",0.08473
"2022-03-30T05:25:00Z",0.06832
"2022-03-30T05:26:00Z",0.00064
"2022-03-30T05:27:00Z",0.00032
"2022-03-30T05:28:00Z",0.00043
"2022-03-30T05:29:00Z",0.01948
"2022-03-30T05:30:00Z",0.02761
"2022-03-30T05:31:00Z",0.03278
"2022-03-30T05:32:00Z",0.03147
"2022-03-30T05:33:00Z",0.04327
"2022-03-30T05:34:00Z",0.05671
"2022-03-30T05:35:00Z",0.05557
"2022-03-30T05:36:00Z",0.0649
"2022-03-30T05:37:00Z",0.08453
"2022-03-30T05:38:00Z",0.07485
"2022-03-30T05:39:00Z",0.08431
"2022-03-30T05:40:00Z",0.07134
"2022-03-30T05:41:00Z",0.08306
"2022-03-30T05:42:00Z",0.08084
"2022-03-30T05:43:00Z",0.07512
"2022-03-30T05:44:00Z",0.01919
"2022-03-30T05:45:00Z",0.00028
"2022-03-30T05:46:00Z",0.00032
"2022-03-30T05:47:00Z",0.00285
"2022-03-30T05:48:00Z",0.02482
"2022-03-30T05:49:00Z",0.03101
"2022-03-30T05:50:00Z",0.03184
"2022-03-30T05:51:00Z",0.04815
"2022-03-30T05:52:00Z",0.06158
"2022-03-30T05:53:00Z",0.05831
"2022-03-30T05:54:00Z",0.07004
"2022-03-30T05:55:00Z",0.09046
"2022-03-30T05:56:00Z",0.08616
"2022-03-30T05:57:00Z",0.07827
"2022-03-30T05:58:00Z",0.06795
"2022-03-30T05:59:00Z",0.08879
"2022-03-30T06:00:00Z",0.07884
"2022-03-30T06:01:00Z",0.08576
"2022-03-30T06:02:00Z",0.08626
"2022-03-30T06:03:00Z",0.00028
"2022-03-30T06:04:00Z",4e-05
