"datetime","estimatedALBConsumedLCUs"
"2022-03-30T20:37:00Z",0.00129
"2022-03-30T20:38:00Z",0.00021
"2022-03-30T20:39:00Z",0.00076
"2022-03-30T20:40:00Z",0.00029
"2022-03-30T20:41:00Z",0.00024
"2022-03-30T20:42:00Z",0.0003
"2022-03-30T20:43:00Z",0.16073
"2022-03-30T20:44:00Z",0.68733
"2022-03-30T20:45:00Z",0.60428
"2022-03-30T20:46:00Z",0.72529
"2022-03-30T20:47:00Z",0.75415
"2022-03-30T20:48:00Z",0.23283
"2022-03-30T20:49:00Z",0.53006
"2022-03-30T20:50:00Z",0.76451
"2022-03-30T20:51:00Z",0.39414
"2022-03-30T20:52:00Z",0.31706
"2022-03-30T20:53:00Z",0.77238
"2022-03-30T20:54:00Z",0.54623
"2022-03-30T20:55:00Z",0.00041
"2022-03-30T20:56:00Z",0.58209
"2022-03-30T20:57:00Z",0.75993
"2022-03-30T20:58:00Z",0.5545
"2022-03-30T20:59:00Z",0.58711
"2022-03-30T21:00:00Z",0.75226
"2022-03-30T21:01:00Z",0.73584
"2022-03-30T21:02:00Z",0.53982
"2022-03-30T21:03:00Z",0.65281
"2022-03-30T21:04:00Z",0.76545
"2022-03-30T21:05:00Z",0.3812
"2022-03-30T21:06:00Z",0.58137
"2022-03-30T21:07:00Z",0.75138
"2022-03-30T21:08:00Z",0.40813
"2022-03-30T21:09:00Z",0.3256
"2022-03-30T21:10:00Z",0.98607
"2022-03-30T21:11:00Z",0.89857
"2022-03-30T21:12:00Z",0.49191
"2022-03-30T21:13:00Z",1.02625
"2022-03-30T21:14:00Z",1.02179
"2022-03-30T21:15:00Z",0.35839
"2022-03-30T21:16:00Z",0.74655
"2022-03-30T21:17:00Z",1.00138
"2022-03-30T21:18:00Z",0.43211
"2022-03-30T21:19:00Z",0.20456
"2022-03-30T21:20:00Z",0.48212
"2022-03-30T21:21:00Z",1.00473
"2022-03-30T21:22:00Z",0.566
"2022-03-30T21:23:00Z",0.60599
"2022-03-30T21:24:00Z",1.00277
"2022-03-30T21:25:00Z",0.30634
"2022-03-30T21:26:00Z",0.59672
"2022-03-30T21:27:00Z",1.01836
"2022-03-30T21:28:00Z",1.02154
"2022-03-30T21:29:00Z",1.02092
"2022-03-30T21:30:00Z",1.02368
"2022-03-30T21:31:00Z",0.40454
"2022-03-30T21:32:00Z",0.49749
"2022-03-30T21:33:00Z",1.02901
"2022-03-30T21:34:00Z",1.02869
"2022-03-30T21:35:00Z",1.03188
"2022-03-30T21:36:00Z",1.02287
"2022-03-30T21:37:00Z",0.52713
"2022-03-30T21:38:00Z",0.49133
"2022-03-30T21:39:00Z",1.02482
"2022-03-30T21:40:00Z",1.02718
"2022-03-30T21:41:00Z",1.02931
"2022-03-30T21:42:00Z",1.01728
"2022-03-30T21:43:00Z",0.64814
"2022-03-30T21:44:00Z",0.00143
"2022-03-30T21:45:00Z",0.00033
"2022-03-30T21:46:00Z",0.08669
"2022-03-30T21:47:00Z",0.1797
"2022-03-30T21:48:00Z",0.26775
"2022-03-30T21:49:00Z",0.26088
"2022-03-30T21:50:00Z",0.2653
"2022-03-30T21:51:00Z",0.27264
"2022-03-30T21:52:00Z",0.29773
"2022-03-30T21:53:00Z",0.61988
"2022-03-30T21:54:00Z",0.62477
"2022-03-30T21:55:00Z",0.6206
"2022-03-30T21:56:00Z",0.62339
"2022-03-30T21:57:00Z",0.62527
"2022-03-30T21:58:00Z",0.62361
"2022-03-30T21:59:00Z",0.88941
"2022-03-30T22:00:00Z",0.87942
"2022-03-30T22:01:00Z",0.50331
"2022-03-30T22:02:00Z",0.00027
"2022-03-30T22:03:00Z",0.04284
"2022-03-30T22:04:00Z",0.12869
"2022-03-30T22:05:00Z",0.26859
"2022-03-30T22:06:00Z",0.26373
"2022-03-30T22:07:00Z",0.26508
"2022-03-30T22:08:00Z",0.26612
"2022-03-30T22:09:00Z",0.28923
"2022-03-30T22:10:00Z",0.60294
"2022-03-30T22:11:00Z",0.61132
"2022-03-30T22:12:00Z",0.62815
"2022-03-30T22:13:00Z",0.62872
"2022-03-30T22:14:00Z",0.62542
"2022-03-30T22:15:00Z",0.62815
"2022-03-30T22:16:00Z",0.82285
"2022-03-30T22:17:00Z",0.87763
"2022-03-30T22:18:00Z",0.85747
"2022-03-30T22:19:00Z",0.00032
"2022-03-30T22:20:00Z",0.00056
"2022-03-30T22:21:00Z",0.12811
"2022-03-30T22:22:00Z",0.26516
"2022-03-30T22:23:00Z",0.4356
"2022-03-30T22:24:00Z",0.6164
"2022-03-30T22:25:00Z",0.61708
"2022-03-30T22:26:00Z",0.61569
"2022-03-30T22:27:00Z",0.61825
"2022-03-30T22:28:00Z",0.62364
"2022-03-30T22:29:00Z",0.67202
"2022-03-30T22:30:00Z",0.87
"2022-03-30T22:31:00Z",0.85586
"2022-03-30T22:32:00Z",0.8557
"2022-03-30T22:33:00Z",0.8684
"2022-03-30T22:34:00Z",0.86901
"2022-03-30T22:35:00Z",0.8699
"2022-03-30T22:36:00Z",0.28632
