"datetime","estimatedALBConsumedLCUs"
"2022-03-30T23:08:00Z",0.00019
"2022-03-30T23:09:00Z",0.00073
"2022-03-30T23:10:00Z",0.00033
"2022-03-30T23:11:00Z",0.00028
"2022-03-30T23:12:00Z",0.00144
"2022-03-30T23:13:00Z",0.01712
"2022-03-30T23:14:00Z",0.09456
"2022-03-30T23:15:00Z",0.02974
"2022-03-30T23:16:00Z",0.05896
"2022-03-30T23:17:00Z",0.07635
"2022-03-30T23:18:00Z",0.01579
"2022-03-30T23:19:00Z",0.09232
"2022-03-30T23:20:00Z",0.03354
"2022-03-30T23:21:00Z",0.05613
"2022-03-30T23:22:00Z",0.08187
"2022-03-30T23:23:00Z",0.01378
"2022-03-30T23:24:00Z",0.09231
"2022-03-30T23:25:00Z",0.03699
"2022-03-30T23:26:00Z",0.05109
"2022-03-30T23:27:00Z",0.08487
"2022-03-30T23:28:00Z",0.01187
"2022-03-30T23:29:00Z",0.09178
"2022-03-30T23:30:00Z",0.0423
"2022-03-30T23:31:00Z",0.04547
"2022-03-30T23:32:00Z",0.08885
"2022-03-30T23:33:00Z",0.00948
"2022-03-30T23:34:00Z",0.09426
"2022-03-30T23:35:00Z",0.04664
"2022-03-30T23:36:00Z",0.04295
"2022-03-30T23:37:00Z",0.09307
"2022-03-30T23:38:00Z",0.00743
"2022-03-30T23:39:00Z",0.08917
"2022-03-30T23:40:00Z",0.01687
"2022-03-30T23:41:00Z",0.03414
"2022-03-30T23:42:00Z",0.09024
"2022-03-30T23:43:00Z",0.09263
"2022-03-30T23:44:00Z",0.0921
"2022-03-30T23:45:00Z",0.09165
"2022-03-30T23:46:00Z",0.06221
"2022-03-30T23:47:00Z",0.02907
"2022-03-30T23:48:00Z",0.09347
"2022-03-30T23:49:00Z",0.0945
"2022-03-30T23:50:00Z",0.09294
"2022-03-30T23:51:00Z",0.09425
"2022-03-30T23:52:00Z",0.06342
"2022-03-30T23:53:00Z",0.02674
"2022-03-30T23:54:00Z",0.09484
"2022-03-30T23:55:00Z",0.09367
"2022-03-30T23:56:00Z",0.09326
"2022-03-30T23:57:00Z",0.09296
"2022-03-30T23:58:00Z",0.06592
"2022-03-30T23:59:00Z",0.02501
"2022-03-31T00:00:00Z",0.08706
"2022-03-31T00:01:00Z",0.09364
"2022-03-31T00:02:00Z",0.09364
"2022-03-31T00:03:00Z",0.09319
"2022-03-31T00:04:00Z",0.09449
"2022-03-31T00:05:00Z",0.06804
"2022-03-31T00:06:00Z",0.00139
"2022-03-31T00:07:00Z",0.00036
"2022-03-31T00:08:00Z",0.00084
"2022-03-31T00:09:00Z",0.01142
"2022-03-31T00:10:00Z",0.01409
"2022-03-31T00:11:00Z",0.0143
"2022-03-31T00:12:00Z",0.01372
"2022-03-31T00:13:00Z",0.0139
"2022-03-31T00:14:00Z",0.01472
"2022-03-31T00:15:00Z",0.02486
"2022-03-31T00:16:00Z",0.02744
"2022-03-31T00:17:00Z",0.0481
"2022-03-31T00:18:00Z",0.04807
"2022-03-31T00:19:00Z",0.04808
"2022-03-31T00:20:00Z",0.0481
"2022-03-31T00:21:00Z",0.04799
"2022-03-31T00:22:00Z",0.04803
"2022-03-31T00:23:00Z",0.02363
"2022-03-31T00:24:00Z",0.00069
"2022-03-31T00:25:00Z",0.00061
"2022-03-31T00:26:00Z",0.00924
"2022-03-31T00:27:00Z",0.01357
"2022-03-31T00:28:00Z",0.01428
"2022-03-31T00:29:00Z",0.01324
"2022-03-31T00:30:00Z",0.0135
"2022-03-31T00:31:00Z",0.01639
"2022-03-31T00:32:00Z",0.02318
"2022-03-31T00:33:00Z",0.0481
"2022-03-31T00:34:00Z",0.04838
"2022-03-31T00:35:00Z",0.04849
"2022-03-31T00:36:00Z",0.04806
"2022-03-31T00:37:00Z",0.04832
"2022-03-31T00:38:00Z",0.05469
"2022-03-31T00:39:00Z",0.07296
"2022-03-31T00:40:00Z",0.05368
"2022-03-31T00:41:00Z",0.00148
"2022-03-31T00:42:00Z",0.00064
"2022-03-31T00:43:00Z",0.00484
"2022-03-31T00:44:00Z",0.01366
"2022-03-31T00:45:00Z",0.01352
"2022-03-31T00:46:00Z",0.01331
"2022-03-31T00:47:00Z",0.01381
"2022-03-31T00:48:00Z",0.01522
"2022-03-31T00:49:00Z",0.02023
"2022-03-31T00:50:00Z",0.04842
"2022-03-31T00:51:00Z",0.04818
"2022-03-31T00:52:00Z",0.04829
"2022-03-31T00:53:00Z",0.04777
"2022-03-31T00:54:00Z",0.05462
"2022-03-31T00:55:00Z",0.07397
"2022-03-31T00:56:00Z",0.07303
"2022-03-31T00:57:00Z",0.05738
"2022-03-31T00:58:00Z",0.00042
