"datetime","estimatedProcessedBytes"
"2022-03-30T23:08:00Z",1742
"2022-03-30T23:09:00Z",3484
"2022-03-30T23:10:00Z",3454
"2022-03-30T23:11:00Z",3828
"2022-03-30T23:12:00Z",17129137
"2022-03-30T23:13:00Z",94562230
"2022-03-30T23:14:00Z",29740196
"2022-03-30T23:15:00Z",99492332
"2022-03-30T23:16:00Z",107631841
"2022-03-30T23:17:00Z",28802486
"2022-03-30T23:18:00Z",140809426
"2022-03-30T23:19:00Z",41582174
"2022-03-30T23:20:00Z",94638288
"2022-03-30T23:21:00Z",115038928
"2022-03-30T23:22:00Z",22501098
"2022-03-30T23:23:00Z",141225309
"2022-03-30T23:24:00Z",47158941
"2022-03-30T23:25:00Z",87885847
"2022-03-30T23:26:00Z",119879099
"2022-03-30T23:27:00Z",16585721
"2022-03-30T23:28:00Z",140504381
"2022-03-30T23:29:00Z",54810832
"2022-03-30T23:30:00Z",79760552
"2022-03-30T23:31:00Z",126581060
"2022-03-30T23:32:00Z",10240311
"2022-03-30T23:33:00Z",143170319
"2022-03-30T23:34:00Z",61310377
"2022-03-30T23:35:00Z",75101275
"2022-03-30T23:36:00Z",133237056
"2022-03-30T23:37:00Z",8376213
"2022-03-30T23:38:00Z",138117833
"2022-03-30T23:39:00Z",66475575
"2022-03-30T23:40:00Z",5060
"2022-03-30T23:41:00Z",61549895
"2022-03-30T23:42:00Z",136289942
"2022-03-30T23:43:00Z",139548295
"2022-03-30T23:44:00Z",139119576
"2022-03-30T23:45:00Z",138147111
"2022-03-30T23:46:00Z",83959230
"2022-03-30T23:47:00Z",53648006
"2022-03-30T23:48:00Z",141010434
"2022-03-30T23:49:00Z",141924353
"2022-03-30T23:50:00Z",139852902
"2022-03-30T23:51:00Z",141950458
"2022-03-30T23:52:00Z",85782108
"2022-03-30T23:53:00Z",50278045
"2022-03-30T23:54:00Z",142069777
"2022-03-30T23:55:00Z",141003020
"2022-03-30T23:56:00Z",140535083
"2022-03-30T23:57:00Z",140368254
"2022-03-30T23:58:00Z",89605181
"2022-03-30T23:59:00Z",47533667
"2022-03-31T00:00:00Z",132486109
"2022-03-31T00:01:00Z",140524001
"2022-03-31T00:02:00Z",140352764
"2022-03-31T00:03:00Z",141876280
"2022-03-31T00:04:00Z",92630625
"2022-03-31T00:05:00Z",7475
"2022-03-31T00:06:00Z",3339
"2022-03-31T00:07:00Z",3534
"2022-03-31T00:08:00Z",20508179
"2022-03-31T00:09:00Z",26125785
"2022-03-31T00:10:00Z",26182302
"2022-03-31T00:11:00Z",26936762
"2022-03-31T00:12:00Z",26465277
"2022-03-31T00:13:00Z",27175729
"2022-03-31T00:14:00Z",27812143
"2022-03-31T00:15:00Z",53599545
"2022-03-31T00:16:00Z",74412684
"2022-03-31T00:17:00Z",74385602
"2022-03-31T00:18:00Z",74419368
"2022-03-31T00:19:00Z",74432656
"2022-03-31T00:20:00Z",74305953
"2022-03-31T00:21:00Z",92853622
"2022-03-31T00:22:00Z",38474663
"2022-03-31T00:23:00Z",3646
"2022-03-31T00:24:00Z",3814
"2022-03-31T00:25:00Z",14404222
"2022-03-31T00:26:00Z",25886089
"2022-03-31T00:27:00Z",26610018
"2022-03-31T00:28:00Z",25916019
"2022-03-31T00:29:00Z",26385437
"2022-03-31T00:30:00Z",27430584
"2022-03-31T00:31:00Z",44436406
"2022-03-31T00:32:00Z",74642850
"2022-03-31T00:33:00Z",74887969
"2022-03-31T00:34:00Z",75004530
"2022-03-31T00:35:00Z",74469391
"2022-03-31T00:36:00Z",74826504
"2022-03-31T00:37:00Z",81203694
"2022-03-31T00:38:00Z",99557614
"2022-03-31T00:39:00Z",67948861
"2022-03-31T00:40:00Z",3500
"2022-03-31T00:41:00Z",7096
"2022-03-31T00:42:00Z",7519189
"2022-03-31T00:43:00Z",26623392
"2022-03-31T00:44:00Z",26293928
"2022-03-31T00:45:00Z",26371832
"2022-03-31T00:46:00Z",26355673
"2022-03-31T00:47:00Z",24772338
"2022-03-31T00:48:00Z",39850849
"2022-03-31T00:49:00Z",74792563
"2022-03-31T00:50:00Z",74484448
"2022-03-31T00:51:00Z",74570856
"2022-03-31T00:52:00Z",74043153
"2022-03-31T00:53:00Z",80903141
"2022-03-31T00:54:00Z",100410546
"2022-03-31T00:55:00Z",99362930
"2022-03-31T00:56:00Z",83273457
"2022-03-31T00:57:00Z",5102
"2022-03-31T00:58:00Z",5078
