"datetime","estimatedALBActiveConnectionCount"
"2022-03-31T02:38:00Z",3
"2022-03-31T02:39:00Z",66.5
"2022-03-31T02:40:00Z",67
"2022-03-31T02:41:00Z",9.5
"2022-03-31T02:42:00Z",7.5
"2022-03-31T02:43:00Z",26.666666666666668
"2022-03-31T02:44:00Z",37.75
"2022-03-31T02:45:00Z",7.5
"2022-03-31T02:46:00Z",37.5
"2022-03-31T02:47:00Z",38.5
"2022-03-31T02:48:00Z",23
"2022-03-31T02:49:00Z",23.5
"2022-03-31T02:50:00Z",39
"2022-03-31T02:51:00Z",39
"2022-03-31T02:52:00Z",7.5
"2022-03-31T02:53:00Z",39.75
"2022-03-31T02:54:00Z",39.75
"2022-03-31T02:55:00Z",7.25
"2022-03-31T02:56:00Z",29.166666666666668
"2022-03-31T02:57:00Z",29.166666666666668
"2022-03-31T02:58:00Z",7.666666666666667
"2022-03-31T02:59:00Z",29.666666666666668
"2022-03-31T03:00:00Z",29.666666666666668
"2022-03-31T03:01:00Z",29.666666666666668
"2022-03-31T03:02:00Z",7.833333333333333
"2022-03-31T03:03:00Z",30.166666666666668
"2022-03-31T03:04:00Z",30.166666666666668
"2022-03-31T03:05:00Z",7.666666666666667
"2022-03-31T03:06:00Z",28.833333333333332
"2022-03-31T03:07:00Z",42.5
"2022-03-31T03:08:00Z",9.5
"2022-03-31T03:09:00Z",42
"2022-03-31T03:10:00Z",42
"2022-03-31T03:11:00Z",8
"2022-03-31T03:12:00Z",25
"2022-03-31T03:13:00Z",43
"2022-03-31T03:14:00Z",43
"2022-03-31T03:15:00Z",8
"2022-03-31T03:16:00Z",8
"2022-03-31T03:17:00Z",43
"2022-03-31T03:18:00Z",42.75
"2022-03-31T03:19:00Z",81
"2022-03-31T03:20:00Z",80
"2022-03-31T03:21:00Z",80
"2022-03-31T03:22:00Z",8
"2022-03-31T03:23:00Z",78
"2022-03-31T03:24:00Z",78
"2022-03-31T03:25:00Z",78
"2022-03-31T03:26:00Z",78
"2022-03-31T03:27:00Z",77
"2022-03-31T03:28:00Z",8
"2022-03-31T03:29:00Z",42
"2022-03-31T03:30:00Z",42.5
"2022-03-31T03:31:00Z",42.5
"2022-03-31T03:32:00Z",42.25
"2022-03-31T03:33:00Z",42.25
"2022-03-31T03:34:00Z",7
"2022-03-31T03:35:00Z",41.25
"2022-03-31T03:36:00Z",42
"2022-03-31T03:37:00Z",41
"2022-03-31T03:38:00Z",42
"2022-03-31T03:39:00Z",41.75
"2022-03-31T03:40:00Z",7.25
"2022-03-31T03:41:00Z",5.25
"2022-03-31T03:42:00Z",3.25
"2022-03-31T03:43:00Z",3.25
"2022-03-31T03:44:00Z",38.75
"2022-03-31T03:45:00Z",38.5
"2022-03-31T03:46:00Z",38.5
"2022-03-31T03:47:00Z",50.5
"2022-03-31T03:48:00Z",42.5
"2022-03-31T03:49:00Z",42
"2022-03-31T03:50:00Z",25
"2022-03-31T03:51:00Z",25
"2022-03-31T03:52:00Z",42
"2022-03-31T03:53:00Z",42.5
"2022-03-31T03:54:00Z",42
"2022-03-31T03:55:00Z",42
"2022-03-31T03:56:00Z",54.666666666666664
"2022-03-31T03:57:00Z",79.5
"2022-03-31T03:58:00Z",80
"2022-03-31T03:59:00Z",7
"2022-03-31T04:00:00Z",5
"2022-03-31T04:01:00Z",3
"2022-03-31T04:02:00Z",3.5
"2022-03-31T04:03:00Z",73.5
"2022-03-31T04:04:00Z",73.5
"2022-03-31T04:05:00Z",73.5
"2022-03-31T04:06:00Z",73.5
"2022-03-31T04:07:00Z",111.5
"2022-03-31T04:08:00Z",78
"2022-03-31T04:09:00Z",78
"2022-03-31T04:10:00Z",78
"2022-03-31T04:11:00Z",77
"2022-03-31T04:12:00Z",76.5
"2022-03-31T04:13:00Z",42
"2022-03-31T04:14:00Z",77
"2022-03-31T04:15:00Z",42
"2022-03-31T04:16:00Z",77
"2022-03-31T04:17:00Z",77
"2022-03-31T04:18:00Z",7
"2022-03-31T04:19:00Z",3
"2022-03-31T04:20:00Z",3
"2022-03-31T04:21:00Z",3
"2022-03-31T04:22:00Z",73
"2022-03-31T04:23:00Z",73
"2022-03-31T04:24:00Z",92.5
"2022-03-31T04:25:00Z",93.5
"2022-03-31T04:26:00Z",76
"2022-03-31T04:27:00Z",77
"2022-03-31T04:28:00Z",77
"2022-03-31T04:29:00Z",77
"2022-03-31T04:30:00Z",77
"2022-03-31T04:31:00Z",77
"2022-03-31T04:32:00Z",77
"2022-03-31T04:33:00Z",77
"2022-03-31T04:34:00Z",77
"2022-03-31T04:35:00Z",77
"2022-03-31T04:36:00Z",7
"2022-03-31T04:37:00Z",7
"2022-03-31T04:38:00Z",7
