"datetime","estimatedALBActiveConnectionCount"
"2022-03-31T09:25:00Z",4
"2022-03-31T09:26:00Z",4
"2022-03-31T09:27:00Z",4
"2022-03-31T09:28:00Z",5
"2022-03-31T09:29:00Z",67.5
"2022-03-31T09:30:00Z",38
"2022-03-31T09:31:00Z",40.5
"2022-03-31T09:32:00Z",67.5
"2022-03-31T09:33:00Z",8
"2022-03-31T09:34:00Z",23.5
"2022-03-31T09:35:00Z",23.5
"2022-03-31T09:36:00Z",23.5
"2022-03-31T09:37:00Z",39.5
"2022-03-31T09:38:00Z",24
"2022-03-31T09:39:00Z",24
"2022-03-31T09:40:00Z",24.5
"2022-03-31T09:41:00Z",24.75
"2022-03-31T09:42:00Z",39
"2022-03-31T09:43:00Z",18.833333333333332
"2022-03-31T09:44:00Z",19
"2022-03-31T09:45:00Z",30.166666666666668
"2022-03-31T09:46:00Z",8
"2022-03-31T09:47:00Z",30.5
"2022-03-31T09:48:00Z",19.333333333333332
"2022-03-31T09:49:00Z",19.333333333333332
"2022-03-31T09:50:00Z",30.833333333333332
"2022-03-31T09:51:00Z",9.666666666666666
"2022-03-31T09:52:00Z",7
"2022-03-31T09:53:00Z",8.25
"2022-03-31T09:54:00Z",17
"2022-03-31T09:55:00Z",25.75
"2022-03-31T09:56:00Z",8.375
"2022-03-31T09:57:00Z",8.625
"2022-03-31T09:58:00Z",26.375
"2022-03-31T09:59:00Z",26.75
"2022-03-31T10:00:00Z",33.166666666666664
"2022-03-31T10:01:00Z",33.333333333333336
"2022-03-31T10:02:00Z",32.5
"2022-03-31T10:03:00Z",8.833333333333334
"2022-03-31T10:04:00Z",32.166666666666664
"2022-03-31T10:05:00Z",32
"2022-03-31T10:06:00Z",37.4
"2022-03-31T10:07:00Z",45.25
"2022-03-31T10:08:00Z",44.75
"2022-03-31T10:09:00Z",9
"2022-03-31T10:10:00Z",44
"2022-03-31T10:11:00Z",44
"2022-03-31T10:12:00Z",44
"2022-03-31T10:13:00Z",44
"2022-03-31T10:14:00Z",44
"2022-03-31T10:15:00Z",9
"2022-03-31T10:16:00Z",82
"2022-03-31T10:17:00Z",82
"2022-03-31T10:18:00Z",80
"2022-03-31T10:19:00Z",79
"2022-03-31T10:20:00Z",79
"2022-03-31T10:21:00Z",7
"2022-03-31T10:22:00Z",5
"2022-03-31T10:23:00Z",4.5
"2022-03-31T10:24:00Z",39.5
"2022-03-31T10:25:00Z",74.5
"2022-03-31T10:26:00Z",74.5
"2022-03-31T10:27:00Z",74.5
"2022-03-31T10:28:00Z",74.5
"2022-03-31T10:29:00Z",96
"2022-03-31T10:30:00Z",96.5
"2022-03-31T10:31:00Z",80
"2022-03-31T10:32:00Z",43
"2022-03-31T10:33:00Z",78.5
"2022-03-31T10:34:00Z",78
"2022-03-31T10:35:00Z",78
"2022-03-31T10:36:00Z",78
"2022-03-31T10:37:00Z",78
"2022-03-31T10:38:00Z",78
"2022-03-31T10:39:00Z",6.5
"2022-03-31T10:40:00Z",3.5
"2022-03-31T10:41:00Z",3.5
"2022-03-31T10:42:00Z",73.5
"2022-03-31T10:43:00Z",73.5
"2022-03-31T10:44:00Z",73.5
"2022-03-31T10:45:00Z",73.5
"2022-03-31T10:46:00Z",109.5
"2022-03-31T10:47:00Z",111
"2022-03-31T10:48:00Z",77
"2022-03-31T10:49:00Z",77.5
"2022-03-31T10:50:00Z",77.5
"2022-03-31T10:51:00Z",77.5
"2022-03-31T10:52:00Z",77.5
"2022-03-31T10:53:00Z",78
"2022-03-31T10:54:00Z",78
"2022-03-31T10:55:00Z",78
"2022-03-31T10:56:00Z",7
"2022-03-31T10:57:00Z",5
"2022-03-31T10:58:00Z",4
"2022-03-31T10:59:00Z",39
"2022-03-31T11:00:00Z",74
"2022-03-31T11:01:00Z",74.5
"2022-03-31T11:02:00Z",74
"2022-03-31T11:03:00Z",74
"2022-03-31T11:04:00Z",74.5
"2022-03-31T11:05:00Z",96
"2022-03-31T11:06:00Z",131
"2022-03-31T11:07:00Z",78.5
"2022-03-31T11:08:00Z",78.5
"2022-03-31T11:09:00Z",78
"2022-03-31T11:10:00Z",78
"2022-03-31T11:11:00Z",78.5
"2022-03-31T11:12:00Z",78.5
"2022-03-31T11:13:00Z",43.5
"2022-03-31T11:14:00Z",8.5
"2022-03-31T11:15:00Z",9
