"datetime","estimatedALBConsumedLCUs"
"2022-03-31T09:25:00Z",0.00024
"2022-03-31T09:26:00Z",0.0002
"2022-03-31T09:27:00Z",0.00028
"2022-03-31T09:28:00Z",0.00154
"2022-03-31T09:29:00Z",0.38972
"2022-03-31T09:30:00Z",0.37613
"2022-03-31T09:31:00Z",0.51429
"2022-03-31T09:32:00Z",0.11967
"2022-03-31T09:33:00Z",0.52892
"2022-03-31T09:34:00Z",0.30426
"2022-03-31T09:35:00Z",0.49582
"2022-03-31T09:36:00Z",0.47932
"2022-03-31T09:37:00Z",0.19085
"2022-03-31T09:38:00Z",0.57401
"2022-03-31T09:39:00Z",0.17935
"2022-03-31T09:40:00Z",0.46086
"2022-03-31T09:41:00Z",0.38982
"2022-03-31T09:42:00Z",0.61702
"2022-03-31T09:43:00Z",0.5687
"2022-03-31T09:44:00Z",0.11663
"2022-03-31T09:45:00Z",0.25968
"2022-03-31T09:46:00Z",0.57067
"2022-03-31T09:47:00Z",0.3881
"2022-03-31T09:48:00Z",0.51533
"2022-03-31T09:49:00Z",0.60801
"2022-03-31T09:50:00Z",0.22233
"2022-03-31T09:51:00Z",0.5771
"2022-03-31T09:52:00Z",0.03772
"2022-03-31T09:53:00Z",0.90246
"2022-03-31T09:54:00Z",0.60716
"2022-03-31T09:55:00Z",0.20687
"2022-03-31T09:56:00Z",0.55555
"2022-03-31T09:57:00Z",0.40267
"2022-03-31T09:58:00Z",0.00354
"2022-03-31T09:59:00Z",0.44266
"2022-03-31T10:00:00Z",0.54379
"2022-03-31T10:01:00Z",0.52987
"2022-03-31T10:02:00Z",0.53976
"2022-03-31T10:03:00Z",0.52797
"2022-03-31T10:04:00Z",0.46579
"2022-03-31T10:05:00Z",0.40158
"2022-03-31T10:06:00Z",0.54206
"2022-03-31T10:07:00Z",0.53142
"2022-03-31T10:08:00Z",0.53196
"2022-03-31T10:09:00Z",0.53212
"2022-03-31T10:10:00Z",0.47303
"2022-03-31T10:11:00Z",0.37769
"2022-03-31T10:12:00Z",0.54283
"2022-03-31T10:13:00Z",0.54
"2022-03-31T10:14:00Z",0.53273
"2022-03-31T10:15:00Z",0.53103
"2022-03-31T10:16:00Z",0.48651
"2022-03-31T10:17:00Z",0.38232
"2022-03-31T10:18:00Z",0.55227
"2022-03-31T10:19:00Z",0.55074
"2022-03-31T10:20:00Z",0.55301
"2022-03-31T10:21:00Z",0.55284
"2022-03-31T10:22:00Z",0.5034
"2022-03-31T10:23:00Z",0.00142
"2022-03-31T10:24:00Z",0.00102
"2022-03-31T10:25:00Z",0.02348
"2022-03-31T10:26:00Z",0.25351
"2022-03-31T10:27:00Z",0.27826
"2022-03-31T10:28:00Z",0.27731
"2022-03-31T10:29:00Z",0.28256
"2022-03-31T10:30:00Z",0.37507
"2022-03-31T10:31:00Z",0.48192
"2022-03-31T10:32:00Z",0.6328
"2022-03-31T10:33:00Z",0.62825
"2022-03-31T10:34:00Z",0.62715
"2022-03-31T10:35:00Z",0.63061
"2022-03-31T10:36:00Z",0.62843
"2022-03-31T10:37:00Z",0.62947
"2022-03-31T10:38:00Z",0.62857
"2022-03-31T10:39:00Z",0.62343
"2022-03-31T10:40:00Z",0.45611
"2022-03-31T10:41:00Z",0.00082
"2022-03-31T10:42:00Z",0.00159
"2022-03-31T10:43:00Z",0.17008
"2022-03-31T10:44:00Z",0.29582
"2022-03-31T10:45:00Z",0.30065
"2022-03-31T10:46:00Z",0.29624
"2022-03-31T10:47:00Z",0.29396
"2022-03-31T10:48:00Z",0.465
"2022-03-31T10:49:00Z",0.63501
"2022-03-31T10:50:00Z",0.63702
"2022-03-31T10:51:00Z",0.63139
"2022-03-31T10:52:00Z",0.63316
"2022-03-31T10:53:00Z",0.6227
"2022-03-31T10:54:00Z",0.63677
"2022-03-31T10:55:00Z",0.69815
"2022-03-31T10:56:00Z",0.71132
"2022-03-31T10:57:00Z",0.68874
"2022-03-31T10:58:00Z",0.0003
"2022-03-31T10:59:00Z",0.00106
"2022-03-31T11:00:00Z",0.11824
"2022-03-31T11:01:00Z",0.30816
"2022-03-31T11:02:00Z",0.32768
"2022-03-31T11:03:00Z",0.33351
"2022-03-31T11:04:00Z",0.32348
"2022-03-31T11:05:00Z",0.32428
"2022-03-31T11:06:00Z",0.35231
"2022-03-31T11:07:00Z",0.50743
"2022-03-31T11:08:00Z",0.52326
"2022-03-31T11:09:00Z",0.52139
"2022-03-31T11:10:00Z",0.52399
"2022-03-31T11:11:00Z",0.52325
"2022-03-31T11:12:00Z",0.52375
"2022-03-31T11:13:00Z",0.52432
"2022-03-31T11:14:00Z",0.51694
"2022-03-31T11:15:00Z",0.00042
