"datetime","estimatedProcessedBytes"
"2022-03-31T19:34:00Z",1692
"2022-03-31T19:35:00Z",3470
"2022-03-31T19:36:00Z",3486
"2022-03-31T19:37:00Z",3420
"2022-03-31T19:38:00Z",37055431
"2022-03-31T19:39:00Z",321902272
"2022-03-31T19:40:00Z",153302966
"2022-03-31T19:41:00Z",20024376
"2022-03-31T19:42:00Z",954807066
"2022-03-31T19:43:00Z",23902607
"2022-03-31T19:44:00Z",1013047506
"2022-03-31T19:45:00Z",473337203
"2022-03-31T19:46:00Z",508457119
"2022-03-31T19:47:00Z",1012147924
"2022-03-31T19:48:00Z",3861227
"2022-03-31T19:49:00Z",998594560
"2022-03-31T19:50:00Z",532567267
"2022-03-31T19:51:00Z",460327455
"2022-03-31T19:52:00Z",1015848439
"2022-03-31T19:53:00Z",17274447
"2022-03-31T19:54:00Z",947546399
"2022-03-31T19:55:00Z",585677415
"2022-03-31T19:56:00Z",189348069
"2022-03-31T19:57:00Z",948438986
"2022-03-31T19:58:00Z",381115371
"2022-03-31T19:59:00Z",598318576
"2022-03-31T20:00:00Z",801337325
"2022-03-31T20:01:00Z",225582126
"2022-03-31T20:02:00Z",899336194
"2022-03-31T20:03:00Z",42778394
"2022-03-31T20:04:00Z",555038506
"2022-03-31T20:05:00Z",854650074
"2022-03-31T20:06:00Z",107518220
"2022-03-31T20:07:00Z",15056
"2022-03-31T20:08:00Z",533470885
"2022-03-31T20:09:00Z",966330526
"2022-03-31T20:10:00Z",966310831
"2022-03-31T20:11:00Z",961067129
"2022-03-31T20:12:00Z",958693392
"2022-03-31T20:13:00Z",492246357
"2022-03-31T20:14:00Z",469045461
"2022-03-31T20:15:00Z",988243618
"2022-03-31T20:16:00Z",986854834
"2022-03-31T20:17:00Z",986739668
"2022-03-31T20:18:00Z",986761755
"2022-03-31T20:19:00Z",513550081
"2022-03-31T20:20:00Z",438187977
"2022-03-31T20:21:00Z",973871727
"2022-03-31T20:22:00Z",975472543
"2022-03-31T20:23:00Z",975957206
"2022-03-31T20:24:00Z",977971648
"2022-03-31T20:25:00Z",532756868
"2022-03-31T20:26:00Z",415197609
"2022-03-31T20:27:00Z",979031585
"2022-03-31T20:28:00Z",975800889
"2022-03-31T20:29:00Z",979898373
"2022-03-31T20:30:00Z",979977646
"2022-03-31T20:31:00Z",556628261
"2022-03-31T20:32:00Z",7310
"2022-03-31T20:33:00Z",3942
"2022-03-31T20:34:00Z",6928
"2022-03-31T20:35:00Z",393721177
"2022-03-31T20:36:00Z",475720113
"2022-03-31T20:37:00Z",476132614
"2022-03-31T20:38:00Z",476500071
"2022-03-31T20:39:00Z",459917899
"2022-03-31T20:40:00Z",457499914
"2022-03-31T20:41:00Z",886509233
"2022-03-31T20:42:00Z",980292473
"2022-03-31T20:43:00Z",978631878
"2022-03-31T20:44:00Z",980750862
"2022-03-31T20:45:00Z",982721683
"2022-03-31T20:46:00Z",1000526346
"2022-03-31T20:47:00Z",1013677430
"2022-03-31T20:48:00Z",1017440335
"2022-03-31T20:49:00Z",363165991
"2022-03-31T20:50:00Z",3458
"2022-03-31T20:51:00Z",6866
"2022-03-31T20:52:00Z",295103233
"2022-03-31T20:53:00Z",509595053
"2022-03-31T20:54:00Z",509775417
"2022-03-31T20:55:00Z",507352195
"2022-03-31T20:56:00Z",507527588
"2022-03-31T20:57:00Z",494438930
"2022-03-31T20:58:00Z",776859036
"2022-03-31T20:59:00Z",1023035475
"2022-03-31T21:00:00Z",1016346141
"2022-03-31T21:01:00Z",1016644545
"2022-03-31T21:02:00Z",1017789185
"2022-03-31T21:03:00Z",1014494204
"2022-03-31T21:04:00Z",1024356913
"2022-03-31T21:05:00Z",1045681710
"2022-03-31T21:06:00Z",634119305
"2022-03-31T21:07:00Z",3474
"2022-03-31T21:08:00Z",3534
"2022-03-31T21:09:00Z",159268851
"2022-03-31T21:10:00Z",480501114
"2022-03-31T21:11:00Z",488889120
"2022-03-31T21:12:00Z",484578661
"2022-03-31T21:13:00Z",480325082
"2022-03-31T21:14:00Z",467109186
"2022-03-31T21:15:00Z",626399724
"2022-03-31T21:16:00Z",1016770232
"2022-03-31T21:17:00Z",1012593704
"2022-03-31T21:18:00Z",1025955071
"2022-03-31T21:19:00Z",1027652491
"2022-03-31T21:20:00Z",980229716
"2022-03-31T21:21:00Z",1003337340
"2022-03-31T21:22:00Z",1010701525
"2022-03-31T21:23:00Z",873810448
"2022-03-31T21:24:00Z",1704
"2022-03-31T21:25:00Z",1770
