"datetime","groupInServiceCapacity"
"2022-03-31T19:34:00Z",1
"2022-03-31T19:35:00Z",1
"2022-03-31T19:36:00Z",1
"2022-03-31T19:37:00Z",1
"2022-03-31T19:38:00Z",1
"2022-03-31T19:39:00Z",3
"2022-03-31T19:40:00Z",3
"2022-03-31T19:41:00Z",3
"2022-03-31T19:42:00Z",3
"2022-03-31T19:43:00Z",3
"2022-03-31T19:44:00Z",3
"2022-03-31T19:45:00Z",3
"2022-03-31T19:46:00Z",3
"2022-03-31T19:47:00Z",3
"2022-03-31T19:48:00Z",3
"2022-03-31T19:49:00Z",3
"2022-03-31T19:50:00Z",3
"2022-03-31T19:51:00Z",3
"2022-03-31T19:52:00Z",3
"2022-03-31T19:53:00Z",3
"2022-03-31T19:54:00Z",3
"2022-03-31T19:55:00Z",3
"2022-03-31T19:56:00Z",3
"2022-03-31T19:57:00Z",3
"2022-03-31T19:58:00Z",3
"2022-03-31T19:59:00Z",3
"2022-03-31T20:00:00Z",3
"2022-03-31T20:01:00Z",3
"2022-03-31T20:02:00Z",3
"2022-03-31T20:03:00Z",3
"2022-03-31T20:04:00Z",3
"2022-03-31T20:05:00Z",3
"2022-03-31T20:06:00Z",3
"2022-03-31T20:07:00Z",3
"2022-03-31T20:08:00Z",3
"2022-03-31T20:09:00Z",3
"2022-03-31T20:10:00Z",3
"2022-03-31T20:11:00Z",3
"2022-03-31T20:12:00Z",3
"2022-03-31T20:13:00Z",3
"2022-03-31T20:14:00Z",3
"2022-03-31T20:15:00Z",3
"2022-03-31T20:16:00Z",3
"2022-03-31T20:17:00Z",3
"2022-03-31T20:18:00Z",3
"2022-03-31T20:19:00Z",3
"2022-03-31T20:20:00Z",3
"2022-03-31T20:21:00Z",3
"2022-03-31T20:22:00Z",3
"2022-03-31T20:23:00Z",3
"2022-03-31T20:24:00Z",3
"2022-03-31T20:25:00Z",3
"2022-03-31T20:26:00Z",3
"2022-03-31T20:27:00Z",3
"2022-03-31T20:28:00Z",3
"2022-03-31T20:29:00Z",3
"2022-03-31T20:30:00Z",3
"2022-03-31T20:31:00Z",0
"2022-03-31T20:32:00Z",1
"2022-03-31T20:33:00Z",1
"2022-03-31T20:34:00Z",1
"2022-03-31T20:35:00Z",1
"2022-03-31T20:36:00Z",1
"2022-03-31T20:37:00Z",1
"2022-03-31T20:38:00Z",1
"2022-03-31T20:39:00Z",2
"2022-03-31T20:40:00Z",2
"2022-03-31T20:41:00Z",2
"2022-03-31T20:42:00Z",2
"2022-03-31T20:43:00Z",2
"2022-03-31T20:44:00Z",2
"2022-03-31T20:45:00Z",3
"2022-03-31T20:46:00Z",3
"2022-03-31T20:47:00Z",3
"2022-03-31T20:48:00Z",3
"2022-03-31T20:49:00Z",1
"2022-03-31T20:50:00Z",1
"2022-03-31T20:51:00Z",1
"2022-03-31T20:52:00Z",1
"2022-03-31T20:53:00Z",1
"2022-03-31T20:54:00Z",1
"2022-03-31T20:55:00Z",1
"2022-03-31T20:56:00Z",1
"2022-03-31T20:57:00Z",2
"2022-03-31T20:58:00Z",2
"2022-03-31T20:59:00Z",2
"2022-03-31T21:00:00Z",2
"2022-03-31T21:01:00Z",2
"2022-03-31T21:02:00Z",3
"2022-03-31T21:03:00Z",3
"2022-03-31T21:04:00Z",3
"2022-03-31T21:05:00Z",3
"2022-03-31T21:06:00Z",1
"2022-03-31T21:07:00Z",1
"2022-03-31T21:08:00Z",1
"2022-03-31T21:09:00Z",1
"2022-03-31T21:10:00Z",1
"2022-03-31T21:11:00Z",1
"2022-03-31T21:12:00Z",1
"2022-03-31T21:13:00Z",1
"2022-03-31T21:14:00Z",2
"2022-03-31T21:15:00Z",2
"2022-03-31T21:16:00Z",2
"2022-03-31T21:17:00Z",2
"2022-03-31T21:18:00Z",2
"2022-03-31T21:19:00Z",2
"2022-03-31T21:20:00Z",3
"2022-03-31T21:21:00Z",3
"2022-03-31T21:22:00Z",3
"2022-03-31T21:23:00Z",3
"2022-03-31T21:24:00Z",3
"2022-03-31T21:25:00Z",3
