"datetime","estimatedALBConsumedLCUs"
"2022-04-01T09:09:00Z",0.15408
"2022-04-01T09:10:00Z",0.13045
"2022-04-01T09:11:00Z",0.14304
"2022-04-01T09:12:00Z",0.19324
"2022-04-01T09:13:00Z",0.06243
"2022-04-01T09:14:00Z",0.04216
"2022-04-01T09:15:00Z",0.31921
"2022-04-01T09:16:00Z",0.37752
"2022-04-01T09:17:00Z",0.0454
"2022-04-01T09:18:00Z",0.62937
"2022-04-01T09:19:00Z",0.31152
"2022-04-01T09:20:00Z",0.292
"2022-04-01T09:21:00Z",0.63517
"2022-04-01T09:22:00Z",0.08552
"2022-04-01T09:23:00Z",0.53409
"2022-04-01T09:24:00Z",0.48165
"2022-04-01T09:25:00Z",0.14543
"2022-04-01T09:26:00Z",0.61908
"2022-04-01T09:27:00Z",0.20126
"2022-04-01T09:28:00Z",0.6282
"2022-04-01T09:29:00Z",0.63743
"2022-04-01T09:30:00Z",0.47926
"2022-04-01T09:31:00Z",0.51601
"2022-04-01T09:32:00Z",0.40719
"2022-04-01T09:33:00Z",0.5934
"2022-04-01T09:34:00Z",0.63078
"2022-04-01T09:35:00Z",0.33594
"2022-04-01T09:36:00Z",0.62863
"2022-04-01T09:37:00Z",0.5864
"2022-04-01T09:38:00Z",0.00039
"2022-04-01T09:39:00Z",0.52955
"2022-04-01T09:40:00Z",0.39225
"2022-04-01T09:41:00Z",0.10487
"2022-04-01T09:42:00Z",0.00244
"2022-04-01T09:43:00Z",0.4035
"2022-04-01T09:44:00Z",1.01372
"2022-04-01T09:45:00Z",0.58698
"2022-04-01T09:46:00Z",0.46776
"2022-04-01T09:47:00Z",0.21854
"2022-04-01T09:48:00Z",0.65405
"2022-04-01T09:49:00Z",0.65574
"2022-04-01T09:50:00Z",0.65471
"2022-04-01T09:51:00Z",0.65455
"2022-04-01T09:52:00Z",0.52751
"2022-04-01T09:53:00Z",0.13463
"2022-04-01T09:54:00Z",0.66832
"2022-04-01T09:55:00Z",0.67294
"2022-04-01T09:56:00Z",0.67283
"2022-04-01T09:57:00Z",0.67025
"2022-04-01T09:58:00Z",0.63907
"2022-04-01T09:59:00Z",0.07308
"2022-04-01T10:00:00Z",0.66128
"2022-04-01T10:01:00Z",0.6585
"2022-04-01T10:02:00Z",0.66403
"2022-04-01T10:03:00Z",0.66137
"2022-04-01T10:04:00Z",0.65974
"2022-04-01T10:05:00Z",0.03782
"2022-04-01T10:06:00Z",0.00063
"2022-04-01T10:07:00Z",0.00111
"2022-04-01T10:08:00Z",0.00891
"2022-04-01T10:09:00Z",0.2464
"2022-04-01T10:10:00Z",0.35294
"2022-04-01T10:11:00Z",0.33505
"2022-04-01T10:12:00Z",0.52251
"2022-04-01T10:13:00Z",0.54019
"2022-04-01T10:14:00Z",0.68123
"2022-04-01T10:15:00Z",0.71643
"2022-04-01T10:16:00Z",0.66318
"2022-04-01T10:17:00Z",0.68988
"2022-04-01T10:18:00Z",0.72993
"2022-04-01T10:19:00Z",0.70795
"2022-04-01T10:20:00Z",0.69628
"2022-04-01T10:21:00Z",0.70336
"2022-04-01T10:22:00Z",0.6942
"2022-04-01T10:23:00Z",0.54128
"2022-04-01T10:24:00Z",0.00029
"2022-04-01T10:25:00Z",0.00041
"2022-04-01T10:26:00Z",0.00026
"2022-04-01T10:27:00Z",0.00112
"2022-04-01T10:28:00Z",0.29568
"2022-04-01T10:29:00Z",0.35562
"2022-04-01T10:30:00Z",0.39854
"2022-04-01T10:31:00Z",0.48659
"2022-04-01T10:32:00Z",0.52893
"2022-04-01T10:33:00Z",0.64739
"2022-04-01T10:34:00Z",0.70685
"2022-04-01T10:35:00Z",0.72352
"2022-04-01T10:36:00Z",0.72554
"2022-04-01T10:37:00Z",0.73797
"2022-04-01T10:38:00Z",0.74833
"2022-04-01T10:39:00Z",0.73838
"2022-04-01T10:40:00Z",0.71618
"2022-04-01T10:41:00Z",0.72262
"2022-04-01T10:42:00Z",0.57067
"2022-04-01T10:43:00Z",0.00039
"2022-04-01T10:44:00Z",0.00028
"2022-04-01T10:45:00Z",0.00114
"2022-04-01T10:46:00Z",0.21087
"2022-04-01T10:47:00Z",0.32836
"2022-04-01T10:48:00Z",0.36237
"2022-04-01T10:49:00Z",0.42694
"2022-04-01T10:50:00Z",0.50253
"2022-04-01T10:51:00Z",0.55616
"2022-04-01T10:52:00Z",0.72819
"2022-04-01T10:53:00Z",0.72122
"2022-04-01T10:54:00Z",0.68312
"2022-04-01T10:55:00Z",0.70763
"2022-04-01T10:56:00Z",0.72486
"2022-04-01T10:57:00Z",0.74239
"2022-04-01T10:58:00Z",0.71345
"2022-04-01T10:59:00Z",0.74642
"2022-04-01T11:00:00Z",0.72268
"2022-04-01T11:01:00Z",0.10786
