"datetime","estimatedALBActiveConnectionCount"
"2022-04-01T21:25:00Z",3
"2022-04-01T21:26:00Z",83
"2022-04-01T21:27:00Z",24.5
"2022-04-01T21:28:00Z",6
"2022-04-01T21:29:00Z",37.5
"2022-04-01T21:30:00Z",37.5
"2022-04-01T21:31:00Z",7
"2022-04-01T21:32:00Z",38
"2022-04-01T21:33:00Z",7.25
"2022-04-01T21:34:00Z",22.75
"2022-04-01T21:35:00Z",39
"2022-04-01T21:36:00Z",7.5
"2022-04-01T21:37:00Z",40
"2022-04-01T21:38:00Z",40.25
"2022-04-01T21:39:00Z",6.5
"2022-04-01T21:40:00Z",18
"2022-04-01T21:41:00Z",7.5
"2022-04-01T21:42:00Z",29.5
"2022-04-01T21:43:00Z",18.5
"2022-04-01T21:44:00Z",18.833333333333332
"2022-04-01T21:45:00Z",29.833333333333332
"2022-04-01T21:46:00Z",7.5
"2022-04-01T21:47:00Z",18.833333333333332
"2022-04-01T21:48:00Z",18.666666666666668
"2022-04-01T21:49:00Z",19
"2022-04-01T21:50:00Z",30.333333333333332
"2022-04-01T21:51:00Z",18.833333333333332
"2022-04-01T21:52:00Z",5.833333333333333
"2022-04-01T21:53:00Z",25
"2022-04-01T21:54:00Z",24.75
"2022-04-01T21:55:00Z",7.5
"2022-04-01T21:56:00Z",8.5
"2022-04-01T21:57:00Z",31.833333333333332
"2022-04-01T21:58:00Z",31.833333333333332
"2022-04-01T21:59:00Z",30.833333333333332
"2022-04-01T22:00:00Z",31
"2022-04-01T22:01:00Z",31
"2022-04-01T22:02:00Z",7.666666666666667
"2022-04-01T22:03:00Z",31
"2022-04-01T22:04:00Z",31
"2022-04-01T22:05:00Z",31
"2022-04-01T22:06:00Z",30.666666666666668
"2022-04-01T22:07:00Z",36
"2022-04-01T22:08:00Z",9
"2022-04-01T22:09:00Z",43.25
"2022-04-01T22:10:00Z",42.75
"2022-04-01T22:11:00Z",43
"2022-04-01T22:12:00Z",43
"2022-04-01T22:13:00Z",43
"2022-04-01T22:14:00Z",8
"2022-04-01T22:15:00Z",43
"2022-04-01T22:16:00Z",55.666666666666664
"2022-04-01T22:17:00Z",81
"2022-04-01T22:18:00Z",79
"2022-04-01T22:19:00Z",78
"2022-04-01T22:20:00Z",8
"2022-04-01T22:21:00Z",6.5
"2022-04-01T22:22:00Z",4
"2022-04-01T22:23:00Z",4
"2022-04-01T22:24:00Z",74
"2022-04-01T22:25:00Z",74
"2022-04-01T22:26:00Z",94.5
"2022-04-01T22:27:00Z",94
"2022-04-01T22:28:00Z",78
"2022-04-01T22:29:00Z",78
"2022-04-01T22:30:00Z",78
"2022-04-01T22:31:00Z",77.5
"2022-04-01T22:32:00Z",77.5
"2022-04-01T22:33:00Z",77.5
"2022-04-01T22:34:00Z",77.5
"2022-04-01T22:35:00Z",42.5
"2022-04-01T22:36:00Z",42
"2022-04-01T22:37:00Z",77
"2022-04-01T22:38:00Z",77
"2022-04-01T22:39:00Z",5.5
"2022-04-01T22:40:00Z",3.5
"2022-04-01T22:41:00Z",3
"2022-04-01T22:42:00Z",73
"2022-04-01T22:43:00Z",38
"2022-04-01T22:44:00Z",73
"2022-04-01T22:45:00Z",88
"2022-04-01T22:46:00Z",92
"2022-04-01T22:47:00Z",77.5
"2022-04-01T22:48:00Z",77.5
"2022-04-01T22:49:00Z",77.5
"2022-04-01T22:50:00Z",77.5
"2022-04-01T22:51:00Z",77.5
"2022-04-01T22:52:00Z",77.5
"2022-04-01T22:53:00Z",78
"2022-04-01T22:54:00Z",78
"2022-04-01T22:55:00Z",78
"2022-04-01T22:56:00Z",78
"2022-04-01T22:57:00Z",8
"2022-04-01T22:58:00Z",6
"2022-04-01T22:59:00Z",4
"2022-04-01T23:00:00Z",4
"2022-04-01T23:01:00Z",4
"2022-04-01T23:02:00Z",75.5
"2022-04-01T23:03:00Z",74
"2022-04-01T23:04:00Z",74
"2022-04-01T23:05:00Z",87
"2022-04-01T23:06:00Z",87
"2022-04-01T23:07:00Z",78
"2022-04-01T23:08:00Z",78
"2022-04-01T23:09:00Z",78
"2022-04-01T23:10:00Z",77.5
"2022-04-01T23:11:00Z",77.5
"2022-04-01T23:12:00Z",77.5
"2022-04-01T23:13:00Z",77.5
"2022-04-01T23:14:00Z",77.5
"2022-04-01T23:15:00Z",77.5
"2022-04-01T23:16:00Z",7.5
"2022-04-01T23:17:00Z",7.5
