"datetime","estimatedProcessedBytes"
"2022-04-01T21:25:00Z",1840
"2022-04-01T21:26:00Z",403074907
"2022-04-01T21:27:00Z",110412412
"2022-04-01T21:28:00Z",2364
"2022-04-01T21:29:00Z",226155142
"2022-04-01T21:30:00Z",877414927
"2022-04-01T21:31:00Z",206848735
"2022-04-01T21:32:00Z",758164115
"2022-04-01T21:33:00Z",1053867345
"2022-04-01T21:34:00Z",19435590
"2022-04-01T21:35:00Z",1283727334
"2022-04-01T21:36:00Z",630571643
"2022-04-01T21:37:00Z",514358048
"2022-04-01T21:38:00Z",849184301
"2022-04-01T21:39:00Z",107783487
"2022-04-01T21:40:00Z",1012661903
"2022-04-01T21:41:00Z",422894636
"2022-04-01T21:42:00Z",652306785
"2022-04-01T21:43:00Z",944814498
"2022-04-01T21:44:00Z",395641124
"2022-04-01T21:45:00Z",953141949
"2022-04-01T21:46:00Z",712064203
"2022-04-01T21:47:00Z",424461031
"2022-04-01T21:48:00Z",1077000251
"2022-04-01T21:49:00Z",409602651
"2022-04-01T21:50:00Z",807236202
"2022-04-01T21:51:00Z",682536877
"2022-04-01T21:52:00Z",104515247
"2022-04-01T21:53:00Z",438032881
"2022-04-01T21:54:00Z",1416090257
"2022-04-01T21:55:00Z",258979107
"2022-04-01T21:56:00Z",7208
"2022-04-01T21:57:00Z",846212300
"2022-04-01T21:58:00Z",1228254282
"2022-04-01T21:59:00Z",1207381565
"2022-04-01T22:00:00Z",1198298287
"2022-04-01T22:01:00Z",1195374477
"2022-04-01T22:02:00Z",718166881
"2022-04-01T22:03:00Z",468320272
"2022-04-01T22:04:00Z",1315382020
"2022-04-01T22:05:00Z",1322241802
"2022-04-01T22:06:00Z",1321442957
"2022-04-01T22:07:00Z",1322189339
"2022-04-01T22:08:00Z",846308719
"2022-04-01T22:09:00Z",294692824
"2022-04-01T22:10:00Z",1262636699
"2022-04-01T22:11:00Z",1264110617
"2022-04-01T22:12:00Z",1270204326
"2022-04-01T22:13:00Z",1266551780
"2022-04-01T22:14:00Z",968370242
"2022-04-01T22:15:00Z",154664767
"2022-04-01T22:16:00Z",1350131962
"2022-04-01T22:17:00Z",1357141599
"2022-04-01T22:18:00Z",1356282306
"2022-04-01T22:19:00Z",1358064047
"2022-04-01T22:20:00Z",1197685658
"2022-04-01T22:21:00Z",6858
"2022-04-01T22:22:00Z",1934
"2022-04-01T22:23:00Z",1760
"2022-04-01T22:24:00Z",314717487
"2022-04-01T22:25:00Z",521111812
"2022-04-01T22:26:00Z",559952683
"2022-04-01T22:27:00Z",781748394
"2022-04-01T22:28:00Z",1004705915
"2022-04-01T22:29:00Z",1019619003
"2022-04-01T22:30:00Z",1108763152
"2022-04-01T22:31:00Z",1332112893
"2022-04-01T22:32:00Z",1364065430
"2022-04-01T22:33:00Z",1328396726
"2022-04-01T22:34:00Z",1339112932
"2022-04-01T22:35:00Z",1274271192
"2022-04-01T22:36:00Z",1366896284
"2022-04-01T22:37:00Z",1375736401
"2022-04-01T22:38:00Z",1293093935
"2022-04-01T22:39:00Z",144121394
"2022-04-01T22:40:00Z",2854
"2022-04-01T22:41:00Z",1968
"2022-04-01T22:42:00Z",28902711
"2022-04-01T22:43:00Z",469293062
"2022-04-01T22:44:00Z",581867154
"2022-04-01T22:45:00Z",518867879
"2022-04-01T22:46:00Z",969043727
"2022-04-01T22:47:00Z",1009325752
"2022-04-01T22:48:00Z",979587367
"2022-04-01T22:49:00Z",1250573584
"2022-04-01T22:50:00Z",1306080685
"2022-04-01T22:51:00Z",1364992989
"2022-04-01T22:52:00Z",1352310602
"2022-04-01T22:53:00Z",1330408533
"2022-04-01T22:54:00Z",1329275755
"2022-04-01T22:55:00Z",1296287911
"2022-04-01T22:56:00Z",1320877604
"2022-04-01T22:57:00Z",964150742
"2022-04-01T22:58:00Z",2266
"2022-04-01T22:59:00Z",1706
"2022-04-01T23:00:00Z",1706
"2022-04-01T23:01:00Z",1706
"2022-04-01T23:02:00Z",453772542
"2022-04-01T23:03:00Z",559163046
"2022-04-01T23:04:00Z",571798293
"2022-04-01T23:05:00Z",563079434
"2022-04-01T23:06:00Z",878024705
"2022-04-01T23:07:00Z",1004983951
"2022-04-01T23:08:00Z",998086012
"2022-04-01T23:09:00Z",1201321098
"2022-04-01T23:10:00Z",1356286700
"2022-04-01T23:11:00Z",1337636244
"2022-04-01T23:12:00Z",1315365795
"2022-04-01T23:13:00Z",1285918085
"2022-04-01T23:14:00Z",1268871582
"2022-04-01T23:15:00Z",1331464131
"2022-04-01T23:16:00Z",1189466974
"2022-04-01T23:17:00Z",2680
