"datetime","groupDesiredCapacity"
"2022-04-03T19:24:00Z",1
"2022-04-03T19:25:00Z",1
"2022-04-03T19:26:00Z",1
"2022-04-03T19:27:00Z",1
"2022-04-03T19:28:00Z",3
"2022-04-03T19:29:00Z",3
"2022-04-03T19:30:00Z",3
"2022-04-03T19:31:00Z",3
"2022-04-03T19:32:00Z",3
"2022-04-03T19:33:00Z",3
"2022-04-03T19:34:00Z",3
"2022-04-03T19:35:00Z",3
"2022-04-03T19:36:00Z",3
"2022-04-03T19:37:00Z",3
"2022-04-03T19:38:00Z",3
"2022-04-03T19:39:00Z",3
"2022-04-03T19:40:00Z",3
"2022-04-03T19:41:00Z",3
"2022-04-03T19:42:00Z",3
"2022-04-03T19:43:00Z",3
"2022-04-03T19:44:00Z",3
"2022-04-03T19:45:00Z",3
"2022-04-03T19:46:00Z",3
"2022-04-03T19:47:00Z",3
"2022-04-03T19:48:00Z",3
"2022-04-03T19:49:00Z",3
"2022-04-03T19:50:00Z",3
"2022-04-03T19:51:00Z",3
"2022-04-03T19:52:00Z",3
"2022-04-03T19:53:00Z",3
"2022-04-03T19:54:00Z",3
"2022-04-03T19:55:00Z",3
"2022-04-03T19:56:00Z",3
"2022-04-03T19:57:00Z",3
"2022-04-03T19:58:00Z",3
"2022-04-03T19:59:00Z",3
"2022-04-03T20:00:00Z",3
"2022-04-03T20:01:00Z",3
"2022-04-03T20:02:00Z",3
"2022-04-03T20:03:00Z",3
"2022-04-03T20:04:00Z",3
"2022-04-03T20:05:00Z",3
"2022-04-03T20:06:00Z",3
"2022-04-03T20:07:00Z",3
"2022-04-03T20:08:00Z",3
"2022-04-03T20:09:00Z",3
"2022-04-03T20:10:00Z",1
"2022-04-03T20:11:00Z",1
"2022-04-03T20:12:00Z",1
"2022-04-03T20:13:00Z",1
"2022-04-03T20:14:00Z",1
"2022-04-03T20:15:00Z",2
"2022-04-03T20:16:00Z",2
"2022-04-03T20:17:00Z",2
"2022-04-03T20:18:00Z",3
"2022-04-03T20:19:00Z",3
"2022-04-03T20:20:00Z",3
"2022-04-03T20:21:00Z",3
"2022-04-03T20:22:00Z",3
"2022-04-03T20:23:00Z",3
"2022-04-03T20:24:00Z",3
"2022-04-03T20:25:00Z",3
"2022-04-03T20:26:00Z",3
"2022-04-03T20:27:00Z",3
"2022-04-03T20:28:00Z",1
"2022-04-03T20:29:00Z",1
"2022-04-03T20:30:00Z",1
"2022-04-03T20:31:00Z",1
"2022-04-03T20:32:00Z",2
"2022-04-03T20:33:00Z",2
"2022-04-03T20:34:00Z",3
"2022-04-03T20:35:00Z",3
"2022-04-03T20:36:00Z",3
"2022-04-03T20:37:00Z",3
"2022-04-03T20:38:00Z",3
"2022-04-03T20:39:00Z",3
"2022-04-03T20:40:00Z",3
"2022-04-03T20:41:00Z",3
"2022-04-03T20:42:00Z",3
"2022-04-03T20:43:00Z",3
"2022-04-03T20:44:00Z",3
"2022-04-03T20:45:00Z",3
"2022-04-03T20:46:00Z",3
"2022-04-03T20:47:00Z",1
"2022-04-03T20:48:00Z",1
"2022-04-03T20:49:00Z",1
"2022-04-03T20:50:00Z",1
"2022-04-03T20:51:00Z",2
"2022-04-03T20:52:00Z",2
"2022-04-03T20:53:00Z",3
"2022-04-03T20:54:00Z",3
"2022-04-03T20:55:00Z",3
"2022-04-03T20:56:00Z",3
"2022-04-03T20:57:00Z",3
"2022-04-03T20:58:00Z",3
"2022-04-03T20:59:00Z",3
"2022-04-03T21:00:00Z",3
"2022-04-03T21:01:00Z",3
"2022-04-03T21:02:00Z",3
"2022-04-03T21:03:00Z",3
"2022-04-03T21:04:00Z",3
"2022-04-03T21:05:00Z",3
"2022-04-03T21:06:00Z",3
"2022-04-03T21:07:00Z",3
"2022-04-03T21:08:00Z",3
